States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,11,0,2020-04-26,11.7401,92.6586
Andhra Pradesh,1061,171,31,2020-04-26,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-26,28.218,94.7278
Assam,36,19,1,2020-04-26,26.2006,92.9376
Bihar,243,46,2,2020-04-26,25.0961,85.3131
Chandigarh,28,15,0,2020-04-26,30.7333,76.7794
Chhattisgarh,37,32,0,2020-04-26,21.2787,81.8661
Delhi,2625,869,54,2020-04-26,28.7041,77.1025
Goa,7,7,0,2020-04-26,15.2993,74.124
Gujarat,3071,282,133,2020-04-26,22.2587,71.1924
Haryana,289,176,3,2020-04-26,29.0588,76.0856
Himachal Pradesh,40,22,1,2020-04-26,31.1048,77.1734
Jammu and Kashmir,494,112,6,2020-04-26,33.7782,76.5762
Jharkhand,67,13,3,2020-04-26,23.6102,85.2799
Karnataka,500,158,18,2020-04-26,15.3173,75.7139
Kerala,457,338,4,2020-04-26,10.8505,76.2711
Ladakh,20,14,0,2020-04-26,34.2996,78.2932
Madhya Pradesh,2096,210,99,2020-04-26,22.9734,78.6569
Maharashtra,7628,1076,323,2020-04-26,19.7515,75.7139
Manipur,2,2,0,2020-04-26,24.6637,93.9063
Meghalaya,12,0,1,2020-04-26,25.467,91.3662
Mizoram,1,0,0,2020-04-26,23.1645,92.9376
Odisha,94,33,1,2020-04-26,20.9517,85.0985
Puducherry,7,3,0,2020-04-26,11.9416,79.8083
Punjab,298,67,17,2020-04-26,31.1471,75.3412
Rajasthan,2083,493,33,2020-04-26,27.0238,74.2179
Tamil Nadu,1821,960,23,2020-04-26,11.1271,78.6569
Telengana,991,280,26,2020-04-26,18.1124,79.0193
Tripura,2,2,0,2020-04-26,23.9408,91.9882
Uttarakhand,48,26,0,2020-04-26,30.0668,79.0193
