States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,0,38,2020-06-14,11.7401,92.6586
Andhra Pradesh,3195,82,5965,2020-06-14,15.9129,79.74
Arunachal Pradesh,4,0,87,2020-06-14,28.218,94.7278
Assam,1584,8,3718,2020-06-14,26.2006,92.9376
Bihar,3956,39,6290,2020-06-14,25.0961,85.3131
Chandigarh,286,5,345,2020-06-14,30.7333,76.7794
Chhattisgarh,631,6,1512,2020-06-14,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,2,0,35,2020-06-14,,
Delhi,14945,1271,38958,2020-06-14,28.7041,77.1025
Goa,70,0,523,2020-06-14,15.2993,74.124
Gujarat,15883,1448,23038,2020-06-14,22.2587,71.1924
Haryana,2803,78,6749,2020-06-14,29.0588,76.0856
Himachal Pradesh,313,6,502,2020-06-14,31.1048,77.1734
Jammu and Kashmir,2269,55,4878,2020-06-14,33.7782,76.5762
Jharkhand,816,8,1711,2020-06-14,23.6102,85.2799
Karnataka,3648,81,6824,2020-06-14,15.3173,75.7139
Kerala,1046,19,2407,2020-06-14,10.8505,76.2711
Ladakh,68,1,437,2020-06-14,34.2996,78.2932
Madhya Pradesh,7377,447,10641,2020-06-14,22.9734,78.6569
Maharashtra,49346,3830,104568,2020-06-14,19.7515,75.7139
Manipur,91,0,449,2020-06-14,24.6637,93.9063
Meghalaya,22,1,44,2020-06-14,25.467,91.3662
Mizoram,1,0,107,2020-06-14,23.1645,92.9376
Nagaland,76,0,163,2020-06-14,26.1584,94.5624
Odisha,2594,10,3723,2020-06-14,20.9517,85.0985
Puducherry,82,2,176,2020-06-14,11.9416,79.8083
Punjab,2327,65,3063,2020-06-14,31.1471,75.3412
Rajasthan,9337,282,12401,2020-06-14,27.0238,74.2179
Sikkim,4,0,63,2020-06-14,,
Tamil Nadu,23409,397,42687,2020-06-14,11.1271,78.6569
Telangana,2352,182,4737,2020-06-14,,
Tripura,315,1,1046,2020-06-14,23.9408,91.9882
Uttarakhand,1077,23,1785,2020-06-14,30.0668,79.0193
Uttar Pradesh,7875,385,13118,2020-06-14,26.8467,80.9462
West Bengal,4542,463,10698,2020-06-14,22.9868,87.855
