States,Recovered,Death,Total Cases,Date,Latitude,Longitude,Active
Andaman and Nicobar Islands,11,0,16,2020-04-21,11.7401,92.6586,5
Andhra Pradesh,96,22,757,2020-04-21,15.9129,79.74,639
Arunachal Pradesh,1,0,1,2020-04-21,28.218000000000004,94.7278,0
Assam,19,1,35,2020-04-21,26.2006,92.9376,15
Bihar,42,2,114,2020-04-21,25.0961,85.3131,70
Chandigarh,13,0,26,2020-04-21,30.7333,76.7794,13
Chhattisgarh,25,0,36,2020-04-21,21.2787,81.8661,11
Delhi,431,47,2081,2020-04-21,28.7041,77.1025,1603
Goa,7,0,7,2020-04-21,15.2993,74.124,0
Gujarat,131,77,2066,2020-04-21,22.2587,71.1924,1858
Haryana,127,3,254,2020-04-21,29.0588,76.0856,124
Himachal Pradesh,16,1,39,2020-04-21,31.1048,77.1734,22
Jammu and Kashmir,71,5,368,2020-04-21,33.7782,76.5762,292
Jharkhand,0,2,46,2020-04-21,23.6102,85.2799,44
Karnataka,114,17,415,2020-04-21,15.3173,75.7139,284
Kerala,291,3,408,2020-04-21,10.8505,76.2711,114
Ladakh,14,0,18,2020-04-21,34.2996,78.2932,4
Madhya Pradesh,127,76,1540,2020-04-21,22.9734,78.6569,1337
Maharashtra,572,232,4669,2020-04-21,19.7515,75.7139,3865
Manipur,2,0,2,2020-04-21,24.6637,93.9063,0
Meghalaya,0,1,11,2020-04-21,25.467,91.3662,10
Mizoram,0,0,1,2020-04-21,23.1645,92.9376,1
Nagaland,0,0,0,2020-04-21,26.1584,94.5624,0
Odisha,24,1,74,2020-04-21,20.9517,85.0985,49
Puducherry,3,0,7,2020-04-21,11.9416,79.8083,4
Punjab,39,16,245,2020-04-21,31.1471,75.3412,190
Rajasthan,205,25,1576,2020-04-21,27.0238,74.2179,1346
Tamil Nadu,457,17,1520,2020-04-21,11.1271,78.6569,1046
Telengana,190,23,919,2020-04-21,18.1124,79.0193,706
Tripura,1,0,2,2020-04-21,23.9408,91.9882,1
Uttar Pradesh,140,20,1294,2020-04-21,26.8467,80.9462,1134
Uttarakhand,18,0,46,2020-04-21,30.0668,79.0193,28
West Bengal,73,12,392,2020-04-21,22.9868,87.855,307
Andaman and Nicobar Islands,11,0,16,2020-04-22,11.7401,92.6586,5
Andhra Pradesh,96,22,757,2020-04-22,15.9129,79.74,639
Arunachal Pradesh,1,0,1,2020-04-22,28.218000000000004,94.7278,0
Assam,19,1,35,2020-04-22,26.2006,92.9376,15
Bihar,42,2,126,2020-04-22,25.0961,85.3131,82
Chandigarh,14,0,27,2020-04-22,30.7333,76.7794,13
Chhattisgarh,26,0,36,2020-04-22,21.2787,81.8661,10
Delhi,611,47,2156,2020-04-22,28.7041,77.1025,1498
Goa,7,0,7,2020-04-22,15.2993,74.124,0
Gujarat,139,90,2178,2020-04-22,22.2587,71.1924,1949
Haryana,127,3,254,2020-04-22,29.0588,76.0856,124
Himachal Pradesh,16,1,39,2020-04-22,31.1048,77.1734,22
Jammu and Kashmir,81,5,380,2020-04-22,33.7782,76.5762,294
Jharkhand#,0,3,45,2020-04-22,,,42
Karnataka,129,17,418,2020-04-22,15.3173,75.7139,272
Kerala,307,3,427,2020-04-22,10.8505,76.2711,117
Ladakh,14,0,18,2020-04-22,34.2996,78.2932,4
Madhya Pradesh,148,76,1552,2020-04-22,22.9734,78.6569,1328
Maharashtra,722,251,5218,2020-04-22,19.7515,75.7139,4245
Manipur,2,0,2,2020-04-22,24.6637,93.9063,0
Meghalaya,0,1,12,2020-04-22,25.467,91.3662,11
Mizoram,0,0,1,2020-04-22,23.1645,92.9376,1
Odisha,24,1,79,2020-04-22,20.9517,85.0985,54
Puducherry,3,0,7,2020-04-22,11.9416,79.8083,4
Punjab,39,16,245,2020-04-22,31.1471,75.3412,190
Rajasthan,230,25,1659,2020-04-22,27.0238,74.2179,1404
Tamil Nadu,635,18,1596,2020-04-22,11.1271,78.6569,943
Telengana,194,23,928,2020-04-22,18.1124,79.0193,711
Tripura,1,0,2,2020-04-22,23.9408,91.9882,1
Uttar Pradesh,140,20,1294,2020-04-22,26.8467,80.9462,1134
Uttarakhand,19,0,46,2020-04-22,30.0668,79.0193,27
West Bengal,73,15,423,2020-04-22,22.9868,87.855,335
Andaman and Nicobar Islands,11,0,18,2020-04-23,11.7401,92.6586,7
Andhra Pradesh,120,24,813,2020-04-23,15.9129,79.74,669
Arunachal Pradesh,1,0,1,2020-04-23,28.218000000000004,94.7278,0
Assam,19,1,35,2020-04-23,26.2006,92.9376,15
Bihar,46,2,143,2020-04-23,25.0961,85.3131,95
Chandigarh,14,0,27,2020-04-23,30.7333,76.7794,13
Chhattisgarh,26,0,36,2020-04-23,21.2787,81.8661,10
Delhi,724,48,2248,2020-04-23,28.7041,77.1025,1476
Goa,7,0,7,2020-04-23,15.2993,74.124,0
Gujarat,179,103,2407,2020-04-23,22.2587,71.1924,2125
Haryana,140,3,262,2020-04-23,29.0588,76.0856,119
Himachal Pradesh,18,1,40,2020-04-23,31.1048,77.1734,21
Jammu and Kashmir,92,5,407,2020-04-23,33.7782,76.5762,310
Jharkhand,8,3,49,2020-04-23,23.6102,85.2799,38
Karnataka,131,17,427,2020-04-23,15.3173,75.7139,279
Kerala,323,3,438,2020-04-23,10.8505,76.2711,112
Ladakh,14,0,18,2020-04-23,34.2996,78.2932,4
Madhya Pradesh,148,80,1592,2020-04-23,22.9734,78.6569,1364
Maharashtra,789,269,5652,2020-04-23,19.7515,75.7139,4594
Manipur,2,0,2,2020-04-23,24.6637,93.9063,0
Meghalaya,0,1,12,2020-04-23,25.467,91.3662,11
Mizoram,0,0,1,2020-04-23,23.1645,92.9376,1
Odisha,32,1,83,2020-04-23,20.9517,85.0985,50
Puducherry,3,0,7,2020-04-23,11.9416,79.8083,4
Punjab,49,16,251,2020-04-23,31.1471,75.3412,186
Rajasthan,230,27,1890,2020-04-23,27.0238,74.2179,1633
Tamil Nadu,662,18,1629,2020-04-23,11.1271,78.6569,949
Telengana,194,23,945,2020-04-23,18.1124,79.0193,728
Tripura,1,0,2,2020-04-23,23.9408,91.9882,1
Uttar Pradesh,173,21,1449,2020-04-23,26.8467,80.9462,1255
Uttarakhand,23,0,46,2020-04-23,30.0668,79.0193,23
West Bengal,79,15,456,2020-04-23,22.9868,87.855,362
Andaman and Nicobar Islands,11,0,22,2020-04-24,11.7401,92.6586,11
Andhra Pradesh,145,29,955,2020-04-24,15.9129,79.74,781
Arunachal Pradesh,1,0,1,2020-04-24,28.218000000000004,94.7278,0
Assam,19,1,36,2020-04-24,26.2006,92.9376,16
Bihar,46,2,176,2020-04-24,25.0961,85.3131,128
Chandigarh,14,0,27,2020-04-24,30.7333,76.7794,13
Chhattisgarh,28,0,36,2020-04-24,21.2787,81.8661,8
Delhi,808,50,2376,2020-04-24,28.7041,77.1025,1518
Goa,7,0,7,2020-04-24,15.2993,74.124,0
Gujarat,258,112,2624,2020-04-24,22.2587,71.1924,2254
Haryana,156,3,272,2020-04-24,29.0588,76.0856,113
Himachal Pradesh,18,1,40,2020-04-24,31.1048,77.1734,21
Jammu and Kashmir,92,5,427,2020-04-24,33.7782,76.5762,330
Jharkhand,8,3,55,2020-04-24,23.6102,85.2799,44
Karnataka,150,18,463,2020-04-24,15.3173,75.7139,295
Kerala,324,3,448,2020-04-24,10.8505,76.2711,121
Ladakh,14,0,18,2020-04-24,34.2996,78.2932,4
Madhya Pradesh,203,83,1852,2020-04-24,22.9734,78.6569,1566
