position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,_DFIPvNXvJk,2020-08-16T08:19:19Z,16/8/20 8:19,Tips To Build A Good Data Science / Machine Learning Project (For Your Portfolio),"In this special video, I share my views on what's required for your data science project to make it good. These are a few tips that will help you build a good #DataScience / #MachineLearning projects and will be helpful in building a good #Portfolio Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT18M4S,1084,2d,hd,FALSE,https://i.ytimg.com/vi/_DFIPvNXvJk/maxresdefault.jpg,1,7324,552,9,0,65
2,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,VAg8pMJRbgA,2020-08-14T17:22:01Z,14/8/20 17:22,Talks # 9: Vladimir Iglovikov; Detecting Masked Faces In The Pandemic World,"Abstract: In his talk, Vladimir will discuss the approach to verify that people wear face masks using Deep Learning. Bio: Valdimir is Sr. Computer Vision Engineer at Lyft, Ph.D. Physics, Veteran of The Russian Airborne Forces, Kaggle Grandmaster Vladimir got his Ph.D. in Theoretical Condensed Matter Physics at UC Davis. After graduation he was developing Energy Disaggregation algorithms that were a combination of the signal processing and machine learning techniques, working as a data scientist at Bidgely. After this, he moved to San Francisco to work in TrueAccord where he was mainly focussed on building recommender systems. Currently, Vladimir is applying Deep Learning techniques to the computer vision problems at the Lyft's Level5 Engineering Centre that is focussed on the development of the self-driving cars. #MachineLearning #DeepLearning #MaskDetection ------ Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT1H9M47S,587,2d,hd,FALSE,https://i.ytimg.com/vi/VAg8pMJRbgA/maxresdefault.jpg,,2903,203,3,0,14
3,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,2pE8_2YX9Ho,2020-08-13T20:40:48Z,13/8/20 20:40,I just got access to GitHub's Codespaces and it's amazing!,"NOTE: This is *not* a sponsored/promotional video. I just got access to #GitHub #Codespaces and it's amazing! Check it out in action in this video! Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT11M8S,668,2d,hd,FALSE,https://i.ytimg.com/vi/2pE8_2YX9Ho/maxresdefault.jpg,1,3258,150,5,0,27
4,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,D-BlhDFXt30,2020-08-10T17:00:07Z,10/8/20 17:00,BERT Model Architectures For Semantic Similarity,"In this video, I discuss different kinds of model architectures that you can use for #SemanticSimilarity using #BERT or any other #Transformers based model. Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT19M29S,1169,2d,hd,FALSE,https://i.ytimg.com/vi/D-BlhDFXt30/maxresdefault.jpg,1,2349,121,0,0,21
5,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,#NAME?,2020-08-02T12:33:23Z,2/8/20 12:33,Data Science PC Configs: From Low Range to Super-High Range,"In this video, I will tell you which parts you should buy for building a home PC for machine learning and data science. Check out the details of NVIDIA Titan RTX here: https://nvda.ws/309DJGp Follow Damien here: https://twitter.com/Laurae_Cht Very-low range: https://pcpartpicker.com/list/DNkR7T Low range: https://pcpartpicker.com/list/fDqFvW Medium range: https://pcpartpicker.com/list/9j2yYH Mid-high range: https://pcpartpicker.com/list/ZjjrNq High range: https://pcpartpicker.com/list/yRKrNq Super-high range: https://pcpartpicker.com/list/63hzQq #DataScience #MachineLearning #Workstation Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT19M10S,1150,2d,hd,FALSE,https://i.ytimg.com/vi/-DmEhtCo2eo/maxresdefault.jpg,1,4055,149,9,0,45
6,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,1zMQBe0l1bM,2020-07-31T17:24:31Z,31/7/20 17:24,Talks # 8: Sebastián Ramírez; Build a machine learning API from scratch with FastAPI,"First half: Learn the basics of FastAPI to serve ML models. Second half: build a basic ML API from scratch. From absolute zero to a production-ready, minimal API. Sebastián Ramírez is the creator of FastAPI, Typer, and other open source tools. He's currently a developer at Explosion in Berlin, Germany Follow him on twitter: https://twitter.com/tiangolo Github: https://github.com/tiangolo/fastapi #MachineLearning #FastAPI ------ Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT1H15M10S,910,2d,hd,FALSE,https://i.ytimg.com/vi/1zMQBe0l1bM/maxresdefault.jpg,,4894,340,0,0,8
7,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,QxJgKPdEBV4,2020-07-28T16:27:47Z,28/7/20 16:27,"WTFML: Simple, reusable code for PyTorch models","In this video, I will introduce #WTFML (https://github.com/abhishekkrthakur/wtfml) and explain how to write simple re-usable code (without too much abstraction) for training #PyTorch models with an example of melanoma classification. WTFML: Well That's Fantastic Machine Learning Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT23M48S,1428,2d,hd,FALSE,https://i.ytimg.com/vi/QxJgKPdEBV4/maxresdefault.jpg,1,1531,75,4,0,8
8,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,_FBAsoALOjs,2020-07-27T16:57:36Z,27/7/20 16:57,Live Q&A: Getting Started With Data Science,"I’m doing a live Q&A on getting started with #DataScience I will take live questions and questions that have been asked before. Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT47M48S,2868,2d,hd,FALSE,https://i.ytimg.com/vi/_FBAsoALOjs/maxresdefault.jpg,1,2807,140,5,0,3
9,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,IcLEJB2pY2Y,2020-07-26T17:15:15Z,26/7/20 17:15,Captcha recognition using PyTorch (Convolutional-RNN + CTC Loss),"In this video, I will show you how you can implement a Convolutional-RNN model for captcha recognition. We will be using CTC loss and everything will be done in PyTorch. You can find the code for this tutorial here: https://github.com/abhishekkrthakur/captcha-recognition-pytorch 00:00 Introduction 01:10 Data & Config 04:30 Dataset 13:45 Training File Part - 1 26:16 Data View 30:30 Engine 34:38 Model 58:28 Train File Part - 2 1:12:35 Training and Inference Note: This tutorial was heavily inspired by Aakash Nain's code example available in keras blog: https://keras.io/examples/vision/captcha_ocr/ Connect with him on LinkedIn: https://in.linkedin.com/in/aakash-kumar-nain Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT1H17M28S,1048,2d,hd,FALSE,https://i.ytimg.com/vi/IcLEJB2pY2Y/maxresdefault.jpg,1,4208,244,3,0,47
10,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur,2ydxPvlrPUA,2020-07-20T17:58:52Z,20/7/20 17:58,"I finally got a copy of ""Approaching (Almost) Any Machine Learning Problem""","I finally got a copy of my own book, ""Approaching (Almost) Any Machine Learning Problem"" and in this live video I will show and talk about some of the chapters and will answer live questions :) Please subscribe and like the video to help me keep motivated to make awesome videos like this one. :) To buy my book, Approaching (Almost) Any Machine Learning problem, please visit: https://bit.ly/buyaaml Follow me on: Twitter: https://twitter.com/abhi1thakur LinkedIn: https://www.linkedin.com/in/abhi1thakur/ Kaggle: https://kaggle.com/abhishek Instagram: https://instagram.com/abhi4ml",27,Education,PT51M26S,3086,2d,hd,FALSE,https://i.ytimg.com/vi/2ydxPvlrPUA/maxresdefault.jpg,1,4181,217,5,0,22
