position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,j1uBHvL6Yr0,2019-08-12T04:50:18Z,12/8/19 4:50,Lecture 29 — Multinomial Naive Bayes A Worked Example — [ NLP || Dan Jurafsky || Stanford ],. . . .,27,Education,PT8M59S,539,2d,sd,FALSE,,1,1974,21,1,0,2
2,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,3SgiGhEZQCs,2019-08-11T20:00:47Z,11/8/19 20:00,Lecture 46 — Maximum Entropy Sequence Models — [ NLP || Christopher Manning || Stanford University ],. . . .,27,Education,PT13M3S,783,2d,sd,FALSE,,1,1296,11,0,0,0
3,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,46Hfn8dwUEs,2019-08-11T20:00:21Z,11/8/19 20:00,Lecture 45 — Sequence Models for Named Entity Recognition — [ NLP || Christopher Manning ],. . . .,27,Education,PT15M6S,906,2d,sd,FALSE,,1,722,7,0,0,0
4,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,MY9fs1Plh_o,2019-08-11T19:59:50Z,11/8/19 19:59,Lecture 44 — Evaluation of Named Entity Recognition — [ NLP || Christopher Manning || Stanford ],. . . .,27,Education,PT6M36S,396,2d,sd,FALSE,,1,1192,10,0,0,0
5,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,Tj3Dkiw-iZg,2019-08-11T19:59:21Z,11/8/19 19:59,Lecture 43 — Introduction to Information Extraction — [ NLP || Christopher Manning || Stanford ],. . . .,27,Education,PT9M19S,559,2d,sd,FALSE,,1,1412,7,0,0,0
6,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,5llH2_YudZ8,2019-08-11T19:58:49Z,11/8/19 19:58,Lecture 42 — Generative vs Discriminative models The problem of overcounting evidence — [ NLP ],. . . .,27,Education,PT12M11S,731,2d,sd,FALSE,,1,476,3,0,0,0
7,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,IpN9Gcpuf0U,2019-08-11T19:58:02Z,11/8/19 19:58,Lecture 41 — Building a Maxent Model The Nuts and Bolts — [ NLP || Christopher Manning ],. . . .,27,Education,PT8M5S,485,2d,sd,FALSE,,1,347,2,0,0,0
8,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,VOZuIolF5So,2019-08-11T14:09:02Z,11/8/19 14:09,Lecture 40 — Feature Based Linear Classifiers — [ NLP || Christopher Manning|| Stanford University ],. . . .,27,Education,PT13M35S,815,2d,sd,FALSE,,1,500,3,0,0,0
9,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,vlp-B7Jg8Ag,2019-08-11T14:08:54Z,11/8/19 14:08,Lecture 39 — Making features from text for discriminative NLP models —[ NLP || Christopher Manning ],. . . .,27,Education,PT18M13S,1093,2d,sd,FALSE,,1,443,2,0,0,0
10,UC5zx8Owijmv-bbhAK6Z9apg,Artificial Intelligence - All in One,OCCgRDbrr1A,2019-08-11T14:08:37Z,11/8/19 14:08,Lecture 38 — Generative vs Discriminative Models — [ NLP || Christopher Manning || Stanford ],. . . .,27,Education,PT7M50S,470,2d,sd,FALSE,,1,773,9,0,0,0
