position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,smWEhWKVS_Q,2020-08-20T11:22:32Z,20/8/20 11:22,SQL Tutorial - EXISTS,"Another video brought to you by BeardedDev, bringing you tutorials on Data Engineering, Business Intelligence, T-SQL Programming and Data Analysis. If you like the video you can support me on Patreon, https://www.patreon.com/beardeddev In this SQL tutorial we take a look at exists, how to use exists with subqueries, how to create a correlated subquery and the difference between exists and in/not in. Exists can be used when we want to return results from one set based on whether the data exists in another set. Exists is not a replacement for joins and in the tutorial I discuss why, there are times when working with not in and NULL exists in the data that the results we are expecting are not returned but when using exists the results are what we expect. If you would like to follow along with this SQL tutorial then you can use the below SQL to create the necessary objects. Please feel free to post any comments. DROP TABLE IF EXISTS dbo.T1; CREATE TABLE dbo.T1 ( col1 TINYINT NULL ); DROP TABLE IF EXISTS dbo.T2; CREATE TABLE dbo.T2 ( col1 TINYINT NULL ); INSERT INTO dbo.T1 (col1) VALUES (1), (2), (3); INSERT INTO dbo.T2 (col1) VALUES (1), (2), (NULL); SELECT * FROM dbo.T1; SELECT * FROM dbo.T2; DROP TABLE IF EXISTS dbo.Employees; CREATE TABLE dbo.Employees ( EmpId INT NOT NULL IDENTITY(1, 1) PRIMARY KEY, FirstName VARCHAR(50) NOT NULL, LastName VARCHAR(50) NOT NULL, Position VARCHAR(50) NOT NULL ); DROP TABLE IF EXISTS dbo.Customers; CREATE TABLE dbo.Customers ( CustId INT NOT NULL IDENTITY(1, 1) PRIMARY KEY, FirstName VARCHAR(50) NOT NULL, LastName VARCHAR(50) NOT NULL ); INSERT INTO dbo.Employees (FirstName, LastName, Position) VALUES ('Deidre', 'Walsh', 'Sales Assistant'), ('Matthew', 'Arlington', 'Sales Assistant'), ('Michelle', 'Montgomery', 'Sales Assistant'), ('Lee', 'Chen', 'Sales Assistant'); INSERT INTO dbo.Customers (FirstName, LastName) VALUES ('Deidre', 'Walsh'), ('Raphael', 'Jones'), ('Lee', 'Chen');",27,Education,PT19M41S,1181,2d,hd,FALSE,,1,60,9,0,0,5
2,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,AB3PNRT3YDw,2020-08-10T23:00:05Z,10/8/20 23:00,How I Passed 70-768 - Developing SQL Data Models,"Another video brought to you by BeardedDev, bringing you tutorials on Data Engineering, Business Intelligence, T-SQL Programming and Data Analysis. If you like the videos you can support me on Patreon, https://www.patreon.com/beardeddev In this video I talk about my experience with the Microsoft Certification, 70-768: Developing SQL Data Models. For a full list of the exam objectives please check out this link and click on Download exam skills outline: https://docs.microsoft.com/en-us/learn/certifications/exams/70-768 Resources https://www.edx.org/course/developing-a-multidimensional-data-model https://www.edx.org/course/developing-a-tabular-data-model https://docs.microsoft.com/en-us/analysis-services/?view=asallproducts-allversions And I provide my own tips on taking the 70-768 certification but these can be applied to any microsoft certification. What certifications are you taking this year? Let me know in the comments below.",27,Education,PT18M50S,1130,2d,hd,FALSE,https://i.ytimg.com/vi/AB3PNRT3YDw/maxresdefault.jpg,1,107,7,0,0,4
3,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,#NAME?,2020-07-13T11:16:39Z,13/7/20 11:16,T-SQL Tutorial - REPLICATE,"Another video brought to you by BeardedDev, bringing you tutorials on Data Engineering, Business Intelligence, T-SQL Programming and Data Analysis. If you like the videos you can support me on Patreon, https://www.patreon.com/beardeddev Have you ever wondered how to leading 0s in SQL Server? What about creating a histogram? In this T-SQL Tutorial I show you how you can do both using the REPLICATE function. Adding leading 0s is something I have to do a lot in my work life and creating histograms gives you a good visual representation of the variances in the data. You can use the code examples below to follow along. Please feel free to post any comments Code Examples: IF OBJECT_ID(N'dbo.Invoice', N'U') IS NOT NULL DROP TABLE dbo.Invoice; GO CREATE TABLE dbo.Invoice ( InvoiceKey INT NOT NULL IDENTITY(1, 1), InvoiceNumber CHAR(10) NOT NULL, InvoiceAmount DECIMAL(10, 2) NOT NULL ) DECLARE @i INT = 1 WHILE @i (add less than symbol here)= 10 BEGIN INSERT INTO dbo.Invoice (InvoiceNumber, InvoiceAmount) SELECT POWER(@i, 3) AS InvoiceNumber, CAST(RAND() * (10000 * SQUARE(@i)) AS DECIMAL(10, 2)) AS InvoiceAmount SET @i = @i + 1 END SELECT InvoiceKey, REPLICATE('0', 10 - LEN(InvoiceNumber)) + InvoiceNumber AS InvoiceNumber, InvoiceAmount FROM dbo.Invoice UPDATE dbo.Invoice SET InvoiceNumber = REPLICATE('0', 10 - LEN(InvoiceNumber)) + InvoiceNumber WHERE LEN(InvoiceNumber) (add not equal too here) 10 SELECT *, CAST(100 * InvoiceAmount / SUM(InvoiceAmount) OVER(ORDER BY (SELECT NULL)) AS INT) AS PctofTotal, REPLICATE('*', CAST(100 * InvoiceAmount / SUM(InvoiceAmount) OVER(ORDER BY (SELECT NULL)) AS INT)) AS [Histogram] FROM dbo.Invoice",27,Education,PT18M31S,1111,2d,hd,FALSE,https://i.ytimg.com/vi/-n2be_uOacw/maxresdefault.jpg,1,129,9,0,0,2
4,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,xPMbgM8Eb2k,2020-07-09T11:50:34Z,9/7/20 11:50,T-SQL Tutorial - PIVOT without using PIVOT,"Another video brought to you by BeardedDev, bringing you tutorials on Data Engineering, Business Intelligence, T-SQL Programming and Data Analysis. If you like the videos you can support me on Patreon, https://www.patreon.com/beardeddev In this video I talk about an alternative approach to using the PIVOT statement in T-SQL, if you are not familiar with PIVOT click here to watch this tutorial: https://youtu.be/OuV7cES4Qcs. The PIVOT statement is extremely useful if we want to transfer rows to columns but what if we want to perform multiple aggregations on the data and how does SQL Server handle that internally. The alternative approach is to use CASE statements and apply grouping, I walk through some examples of CASE statements that return the same results as PIVOT then add more aggregations. You can use the code examples below to follow along. Please feel free to post any comments Code Examples: IF OBJECT_ID(N'dbo.LocationSales', N'U') IS NOT NULL DROP TABLE dbo.LocationSales; GO CREATE TABLE dbo.LocationSales ( [Location] [varchar](20) NOT NULL, -- grouping [Date] [date] NOT NULL, -- spreading Amount [decimal](6, 2) NOT NULL -- aggregating ) INSERT INTO dbo.LocationSales ([Location], [Date], Amount) VALUES ('Birmingham', '20170101', 1564.82), ('Birmingham', '20170201', 3984.64), ('Birmingham', '20180101', 6821.46), ('Birmingham', '20180201', 7018.56), ('Birmingham', '20180301', 6736.89), ('Birmingham', '20190101', 7832.93), ('Birmingham', '20190201', 6821.46), ('Birmingham', '20190301', 6821.46), ('Birmingham', '20200101', 8901.76), ('Birmingham', '20200201', 6821.46), ('Birmingham', '20200301', 6821.46), ('London', '20180101', 3755.81), ('London', '20180201', 4512.01), ('London', '20190101', 5087.54), ('London', '20190201', 4309.53), ('London', '20190301', 5168.38), ('London', '20200101', 8206.48), ('London', '20200201', 9468.54), ('London', '20200301', 5087.54), ('Manchester', '20190101', 2472.72), ('Manchester', '20190201', 5937.28), ('Manchester', '20200101', 5369.37), ('Manchester', '20200201', 5862.94), ('Manchester', '20200301', 4674.28); -- 3. Create SELECT SELECT [Location], [2017], [2018] [2019], [2020] FROM -- 1. Create a Derived Table ( SELECT [Location], YEAR([Date]) AS [Year], Amount FROM LocationSales ) AS D -- 2. Create PIVOT PIVOT ( SUM(Amount) FOR [Year] IN ([2017], [2018], [2019], [2020]) ) AS P SELECT [Location], SUM(CASE WHEN YEAR([Date]) = 2017 THEN Amount END) AS [Sum2017], SUM(CASE WHEN YEAR([Date]) = 2018 THEN Amount END) AS [Sum2018], SUM(CASE WHEN YEAR([Date]) = 2019 THEN Amount END) AS [Sum2019], SUM(CASE WHEN YEAR([Date]) = 2020 THEN Amount END) AS [Sum2020], AVG(CASE WHEN YEAR([Date]) = 2017 THEN Amount END) AS [Avg2017], AVG(CASE WHEN YEAR([Date]) = 2018 THEN Amount END) AS [Avg2018], AVG(CASE WHEN YEAR([Date]) = 2019 THEN Amount END) AS [Avg2019], AVG(CASE WHEN YEAR([Date]) = 2020 THEN Amount END) AS [Avg2020], max(CASE WHEN YEAR([Date]) = 2017 THEN Amount END) AS [max2017], max(CASE WHEN YEAR([Date]) = 2018 THEN Amount END) AS [max2018], max(CASE WHEN YEAR([Date]) = 2019 THEN Amount END) AS [max2019], max(CASE WHEN YEAR([Date]) = 2020 THEN Amount END) AS [max2020] FROM dbo.LocationSales GROUP BY [Location]",27,Education,PT15M43S,943,2d,hd,FALSE,https://i.ytimg.com/vi/xPMbgM8Eb2k/maxresdefault.jpg,1,158,8,0,0,7
5,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,OuV7cES4Qcs,2020-07-08T10:08:03Z,8/7/20 10:08,T-SQL Tutorial - PIVOTing Made Easy,"Another video brought to you by BeardedDev, bringing you tutorials on Data Engineering, Business Intelligence, T-SQL Programming and Data Analysis. If you like the videos you can support me on Patreon, https://www.patreon.com/beardeddev In this video I talk about the PIVOT statement in T-SQL, I talk about the two different types of PIVOT; Many-To-One and One-To-One and also the operations; Grouping, Spreading and Aggregating that make up PIVOT. I also show how you can create your data to practice using PIVOT in SQL Server and then walk through some PIVOT examples. You can use the code examples below to follow along. Please feel free to post any comments Code Examples: IF OBJECT_ID(N'dbo.LocationSales', N'U') IS NOT NULL DROP TABLE dbo.LocationSales; GO CREATE TABLE dbo.LocationSales ( [Location] [varchar](20) NOT NULL, -- grouping [Date] [date] NOT NULL, -- spreading Amount [decimal](6, 2) NOT NULL -- aggregating ) INSERT INTO dbo.LocationSales ([Location], [Date], Amount) VALUES ('Birmingham', '20170101', 1564.82), ('Birmingham', '20170201', 3984.64), ('Birmingham', '20180101', 6821.46), ('Birmingham', '20180201', 7018.56), ('Birmingham', '20180301', 6736.89), ('Birmingham', '20190101', 7832.93), ('Birmingham', '20190201', 6821.46), ('Birmingham', '20190301', 6821.46), ('Birmingham', '20200101', 8901.76), ('Birmingham', '20200201', 6821.46), ('Birmingham', '20200301', 6821.46), ('London', '20180101', 3755.81), ('London', '20180201', 4512.01), ('London', '20190101', 5087.54), ('London', '20190201', 4309.53), ('London', '20190301', 5168.38), ('London', '20200101', 8206.48), ('London', '20200201', 9468.54), ('London', '20200301', 5087.54), ('Manchester', '20190101', 2472.72), ('Manchester', '20190201', 5937.28), ('Manchester', '20200101', 5369.37), ('Manchester', '20200201', 5862.94), ('Manchester', '20200301', 4674.28); -- 3. Create SELECT SELECT [Location], [2017], [2018] [2019], [2020] FROM -- 1. Create a Derived Table ( SELECT [Location], YEAR([Date]) AS [Year], Amount FROM LocationSales ) AS D -- 2. Create PIVOT PIVOT ( SUM(Amount) FOR [Year] IN ([2017], [2018], [2019], [2020]) ) AS P -- PIVOT -- ONE to ONE Example -- 3. Create SELECT SELECT [Location], [2017], [2018], [2019], [2020] FROM -- 1. Create a Derived Table ( SELECT [Location], YEAR([Date]) AS [Year], SUM(Amount) AS Amount FROM dbo.LocationSales GROUP BY [Location], YEAR([Date]) ) AS D -- 2. Create PIVOT PIVOT ( MAX(Amount) FOR [Year] IN ([2017], [2018], [2019], [2020]) ) AS P",27,Education,PT21M28S,1288,2d,hd,FALSE,https://i.ytimg.com/vi/OuV7cES4Qcs/maxresdefault.jpg,1,164,10,0,0,3
6,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,IkPYrcPr3is,2020-02-15T23:13:59Z,15/2/20 23:13,How long does it take to pass Microsoft Certifications,"Another video brought to you by BeardedDev, bringing you tutorials on Business Intelligence, SQL Programming and Data Analysis. If you like the videos you can support me on Patreon, https://www.patreon.com/beardeddev In this video I talk about how long it takes to pass Microsoft certifications, Microsoft certifications prove you have the technical knowledge of the exam topics. The views expressed in this video are my own and based on my own research, you may be able to pass the certifications a lot quicker. Whilst the Microsoft certifications are not a substitute for real world experience they can help you get in to a field of work that you are interested in. Microsoft certifications are also recognised all over the world and I have even seen adverts that would hold a candidate that currently holds any certifications in high regard. If you would like to view the video I did on How to pass 70-767 - Implementing a Data Warehouse in Microsoft SQL Server 2016, you can view the video here: https://youtu.be/Nb9ANmsoF1w Please feel free to post any comments",27,Education,PT8M9S,489,2d,hd,FALSE,https://i.ytimg.com/vi/IkPYrcPr3is/maxresdefault.jpg,1,400,18,1,0,6
7,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,hbLj8-ZfKYg,2020-02-10T19:45:50Z,10/2/20 19:45,SQL Tutorial - Additive CASE statements,"Another video brought to you by BeardedDev, bringing you tutorials on Business Intelligence, SQL Programming and Data Analysis. If you like the videos you can support me on Patreon, https://www.patreon.com/beardeddev In this video I talk about how to use additive CASE statements in SQL Server. For an introduction to CASE statements check out this video: https://youtu.be/ZANtieWGDWM If you are new to CTEs check out this video: https://youtu.be/3QuYuU9OJfA, there is also a playlist on my channel It is important to note that in the first case statement: CASE WHEN Cat.EnglishProductCategoryName = 'Bikes' THEN 0.10 END This will cause any product categories that are not Bikes to be NULL, if this is not the desired result you can edit the query by adding ELSE: CASE WHEN Cat.EnglishProductCategoryName = 'Bikes' THEN 0.10 ELSE 0.00 END CASE Statements were introduced to SQL Server in 2008. They are used to evaluate conditions and return a result based on those conditions. CASE Statements can be used in SELECT, UPDATE, DELETE, WHERE, HAVING. In this CASE Tutorial we look at a common use of CASE statements within SELECT and also the benefit and common downfalls when writing CASE queries. CASE Statement Syntax: CASE WHEN [condition] THEN [value if true] ELSE [value if fales] END SQL Queries in this video: SELECT Cat.EnglishProductCategoryName , Subcat.EnglishProductSubcategoryName , Prod.EnglishProductName , CASE WHEN Cat.EnglishProductCategoryName = 'Bikes' THEN 0.10 END + CASE WHEN Subcat.EnglishProductSubcategoryName = 'Road Bikes' THEN 0.10 ELSE 0.00 END + CASE WHEN Subcat.EnglishProductSubcategoryName = 'Road Bikes' AND (Prod.EnglishProductName LIKE '%Red%' OR Prod.EnglishProductName LIKE '%Yellow%') THEN 0.05 ELSE 0.00 END AS Discount FROM dbo.DimProductCategory AS Cat INNER JOIN dbo.DimProductSubcategory AS Subcat ON Cat.ProductCategoryKey = Subcat.ProductCategoryKey INNER JOIN dbo.DimProduct AS Prod ON Subcat.ProductSubcategoryKey = Prod.ProductSubcategoryKey WHERE Cat.EnglishProductCategoryName = 'Bikes' --AND Subcat.EnglishProductSubcategoryName = 'Road Bikes' Please feel free to post any comments.",27,Education,PT18M41S,1121,2d,hd,FALSE,https://i.ytimg.com/vi/hbLj8-ZfKYg/maxresdefault.jpg,1,1615,54,0,0,9
8,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,DS8QZ2HEqvk,2019-07-21T13:01:19Z,21/7/19 13:01,SQL Tutorial - How to use NTILE in SQL Server,"Another video brought to you by BeardedDev, bringing you tutorials on Business Intelligence, SQL Programming and Data Analysis. You can now support me on patreon - https://www.patreon.com/beardeddev To improve your T-SQL skills check out my recommended reading list: T-SQL Querying https://www.amazon.com/gp/product/0735685045/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0735685045&linkCode=as2&tag=beardeddev05-20&linkId=e93b0f7483b1fa06aca5a3aec4f7764b T-SQL Fundamentals https://www.amazon.com/gp/product/150930200X/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=150930200X&linkCode=as2&tag=beardeddev05-20&linkId=70aa2ffa3e84cab66cb964ca1e9cee62 Microsoft SQL Server 2012 High-Performance T-SQL Using Window Functions https://www.amazon.com/gp/product/0735658366/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0735658366&linkCode=as2&tag=beardeddev05-20&linkId=b88746aea666c9f98da147e70b4491ca In this SQL Tutorial we cover an overview of NTILE and the syntax, a discussion of the difference between partitions and tiles. We also demonstrate a particularly poor example of using NTILE and typical use cases. To follow along with the video please use scripts below: IF OBJECT_ID(N'dbo.Sale', N'U') IS NOT NULL DROP TABLE dbo.Sale IF OBJECT_ID(N'dbo.SaleChannel', N'U') IS NOT NULL DROP TABLE dbo.SaleChannel CREATE TABLE SaleChannel ( SaleChannelId INT NOT NULL IDENTITY(1, 1) CONSTRAINT PK_SalesChannel_SaleChannelId PRIMARY KEY (SaleChannelId) , SaleChannel VARCHAR(10) NOT NULL ) INSERT INTO dbo.SaleChannel (SaleChannel) VALUES ('In-Store'), ('Online') CREATE TABLE Sale ( SaleId INT NOT NULL IDENTITY(1, 1) CONSTRAINT PK_Sales_SaleId PRIMARY KEY (SaleId) , SaleChannelId INT NOT NULL CONSTRAINT FK_Sales_SaleChannelId FOREIGN KEY (SaleChannelId) REFERENCES SaleChannel (SaleChannelId) , SaleDate DATE NOT NULL , SaleAmount DECIMAL(6, 2) NOT NULL ) INSERT INTO dbo.Sale (SaleChannelId, SaleDate, SaleAmount) VALUES (1, '20180101', 15.99) , (1, '20180201', 7.49) , (1, '20180301', 14.99) , (1, '20180401', 6.49) , (1, '20180501', 13.99) , (1, '20180601', 5.49) , (1, '20180701', 19.99) , (1, '20180801', 10.49) , (1, '20180901', 18.99) , (1, '20181001', 11.49) , (1, '20181101', 17.99) , (1, '20181201', 12.49) , (2, '20180101', 16.99) , (2, '20180201', 13.49) , (2, '20180301', 15.99) , (2, '20180401', 14.49) , (2, '20180501', 19.99) , (2, '20180601', 7.49)",27,Education,PT15M28S,928,2d,hd,FALSE,,1,1113,27,1,0,3
9,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,PmSbugwxNX0,2019-05-12T15:12:48Z,12/5/19 15:12,SQL Tutorial - How to remove data using CTEs,"Another video brought to you by BeardedDev, bringing you tutorials on Business Intelligence, SQL Programming and Data Analysis. You can now support me on patreon - https://www.patreon.com/beardeddev In this SQL Tutorial we remove data from a table using a CTE. We go through examples of populating duplicate data in a table then identifying the row number then deleting from the CTE which in turn deletes from the underlying table. We also discuss that when using this method there can only be one underlying table in the CTE and show an error that will be shown when joins are involved. If you would like to see more video tutorials on CTEs check out my playlist: https://www.youtube.com/watch?v=3QuYuU9OJfA&list=PLgR-BOYibnN1jq0eQtCztDmNN6Af5RY-G Code to follow tutorial: -- check if Customers table exists IF OBJECT_ID(N'dbo.Customers', N'U') IS NOT NULL DROP TABLE dbo.Customers -- create table Customers CREATE TABLE dbo.Customers ( FirstName VARCHAR(50) , LastName VARCHAR(50) , DOB DATE , CityId INT ) -- check if City table exists IF OBJECT_ID(N'dbo.City', N'U') IS NOT NULL DROP TABLE dbo.City -- create table City CREATE TABLE dbo.City ( CityId INT , City VARCHAR(50) ) -- populate City table INSERT INTO dbo.City (CityId, City) VALUES (1, 'Birmingham') , (2, 'London') , (3, 'Manchester') , (4, 'Newcastle') -- simulate inserting duplicate data, each customer is inserted 3x INSERT INTO dbo.Customers (FirstName, LastName, DOB, CityId) VALUES ('Tony', 'Smith', '19840407', 1) , ('Michelle', 'Carter', '19951122', 2) , ('Sarah', 'Gulliver', '19790730', 3) , ('Matthew', 'Wilkins', '19880808', 4) , ('Tony', 'Smith', '19840407', 1) , ('Michelle', 'Carter', '19951122', 2) , ('Sarah', 'Gulliver', '19790730', 3) , ('Matthew', 'Wilkins', '19880808', 4) , ('Tony', 'Smith', '19840407', 1) , ('Michelle', 'Carter', '19951122', 2) , ('Sarah', 'Gulliver', '19790730', 3) , ('Matthew', 'Wilkins', '19880808', 4) WITH CTE AS ( SELECT ROW_NUMBER() OVER(PARTITION BY FirstName, LastName, DOB, CityId ORDER BY FirstName) AS R , * FROM dbo.Customers ) DELETE FROM CTE WHERE R (insert greater than or equal to here) 2",27,Education,PT11M52S,712,2d,hd,FALSE,https://i.ytimg.com/vi/PmSbugwxNX0/maxresdefault.jpg,1,804,31,0,0,2
10,UCWczzX6DyFV2KOYP_-CEZUA,BeardedDev,qA9Atd1IeJU,2018-11-13T23:46:22Z,13/11/18 23:46,SQL Tutorial - How to Calculate Rolling Totals,"Another video brought to you by BeardedDev, bringing you tutorials on Business Intelligence, SQL Programming and Data Analysis. You can now support me on patreon - https://www.patreon.com/beardeddev In this SQL Tutorial we discuss how to calculate rolling totals using window functions. We go through examples using the over clause and taking advantage of changing our window/frames by using rows preceding and current row. There is also a bonus in this tutorial where we show an example of how to use current row and rows following. If you would like to see more video tutorials on window functions there is a playlist available on my channel. SQL: SELECT * , SUM(SalesAmount) OVER(ORDER BY [Date] ROWS BETWEEN 9 PRECEDING AND CURRENT ROW) AS Total , SUM(SalesAmount) OVER(ORDER BY [Date] ROWS BETWEEN CURRENT ROW AND 9 FOLLOWING) AS Forward FROM #TempSales ORDER BY [Date] Please feel free to comment below.",27,Education,PT10M6S,606,2d,hd,FALSE,https://i.ytimg.com/vi/qA9Atd1IeJU/maxresdefault.jpg,1,2955,105,1,0,7
