position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,d_5RQiWJDNs,2020-07-21T23:43:26Z,21/7/20 23:43,Show Matching Items in Excel List,"Pick a region from a drop down list, and see a list of employees from that region. There are no macros in this Excel workbook, just INDEX/MATCH and other Excel formulas. This video shows how to set up the Excel tables, and the drop down list. Then, see how to add the formulas, and learn how those formulas work. Download the free Excel workbook on this page: https://www.contextures.com/matchingitemsforselection.html Video Timeline: 00:00 Introduction 01:01 Create 2 Lists 01:26 Named Tables 02:08 Name the Tables 02:48 Named Ranges 03:41 Drop Down List 04:50 Employee Numbers 07:31 Number in Region 08:44 Matching Items List 09:29 Number Formula 11:48 Employee Name Formula 13:47 Get the Workbook Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1 #ContexturesExcelTips",27,Education,PT14M9S,849,2d,hd,FALSE,https://i.ytimg.com/vi/d_5RQiWJDNs/maxresdefault.jpg,1,863,48,1,0,8
2,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,rl4PvR7G_5k,2020-06-16T18:49:26Z,16/6/20 18:49,Connect Excel Slicers to Multiple Pivot Tables,"If you create two or more pivot tables from the same source data (pivot cache), you can connect them to the same Excel Slicers. That will make it easy to filter all the connected pivot tables at the same time. This short video shows the easy steps for creating the Slicers, based on one pivot table. Next, see how to connect another pivot table to the same Slicers. Download the free Excel workbook on this page: https://www.contextures.com/excelpivottableslicers.html Video Timeline: 00:00 Introduction 00:22 Two Pivot Tables 00:58 Add Slicers 02:55 Connect Another Pivot Table 04:29 Get More Information Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1 #ContexturesExcelTips",27,Education,PT4M51S,291,2d,hd,FALSE,https://i.ytimg.com/vi/rl4PvR7G_5k/maxresdefault.jpg,1,1546,46,0,0,7
3,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,IDXpoyjl11U,2020-05-19T20:39:34Z,19/5/20 20:39,Copy Excel Formulas with Table References,"If you create formulas with table references, and then try to copy those formulas to adjacent columns, you might run into problems. This video shows a SUMIFS formula that has a correct total. When the formula is dragged to the next column, the total there is incorrect. See two easy ways to prevent that problem, when copying Excel formulas with table references. Get the details on this page: https://www.contextures.com/xlFunctions01.html#tablerefs Video Timeline: 00:00 Introduction 00:46 SUBTOTAL Formula to Check Totals 01:19 SUMIFS Formula with Table References 01:42 Copy the Formula Down One Row 02:13 Copy Across 03:09 Copy With No Problems 03:45 Get More Information Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1 #ContexturesExcelTips",27,Education,PT4M8S,248,2d,hd,FALSE,https://i.ytimg.com/vi/IDXpoyjl11U/maxresdefault.jpg,1,1136,64,0,0,11
4,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,Cbs1DNW_wxo,2020-02-18T17:25:54Z,18/2/20 17:25,Excel Drop Down Lists from Dynamic Arrays,"Select a region name in one Excel drop down list, and then select an employee from that region, in the next drop down list. This example uses new Excel functions, UNIQUE, SORT, and FILTER, to create dynamic arrays for the lists used in the drop downs. To get the free workbook for this video, go to my Contextures website: https://www.contextures.com/exceldatavaldependdynamic.html Video Timeline: 0:00 Introduction 0:31 Create a Unique List of Regions 2:38 Make a Region Drop Down 3:30 Create an Employee List 5:50 Make an Employee Drop Down 7:35 Get the Workbook Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1 #ContexturesExcelTips",27,Education,PT7M57S,477,2d,hd,FALSE,https://i.ytimg.com/vi/Cbs1DNW_wxo/maxresdefault.jpg,1,2465,77,2,0,9
5,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,KxFEPYdcymU,2020-02-04T21:34:02Z,4/2/20 21:34,Excel Copy and Paste Problem for Multiple Selections,"You can run into problems if you try to copy multiple ranges, and paste them to a new location. --You might see an error, ""This action won't work on multiple selections"" --Or, Excel might paste values, instead of formulas. To get the free workbook for this video, go to my Contextures website: https://www.contextures.com/xlDataEntry01.html Video Timeline: 0:00 Introduction 0:15 Copy Error Message 0:42 Avoid the Error Message 1:54 Paste Problem 2:40 Copy 2 Ranges 3:23 Paste With Formulas 4:13 Get the Workbook Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1 #ContexturesExcelTips",27,Education,PT4M35S,275,2d,hd,FALSE,https://i.ytimg.com/vi/KxFEPYdcymU/maxresdefault.jpg,1,10954,65,9,0,5
6,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,qCD1iN5GsM4,2019-09-04T23:32:34Z,4/9/19 23:32,Excel AutoFilter for Date Range Two Ways,"In Excel, see how to AutoFilter for a Date Range in 2 different ways: 1. Use a Date filter, with the Between option 2. Add Conditional Formatting to the cells, and filter by font colour. Which AutoFilter method will you choose? To get the free workbook with the Date Range filter example, go to my Contextures website: https://www.contextures.com/xlautofilter01.html This video shows both ways to AutoFilter for a date range in Excel. Video Timeline: 0:00 Intro 0:17 Use the Date Filter 2:01 Another Way to Filter 2:42 Create a Formula 4:03 Add Conditional Formatting 6:21 Get the Workbook Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1 #ContexturesExcelTips '----- VIDEO TRANSCRIPT I'm going to check whether each date is on or after this date, and on or before this date. We could do that on the worksheet with a formula, and we'll do it here first, and then use the same formula in conditional formatting. In this cell I'm going to type an equal sign. I want to check two things. So I'm going to use the AND function and an open bracket. The first thing I want to check is if this cell B4 is greater than or equal to this cell. B4 greater than, equal to, and the start date. Now it's gone in as a relative reference, but no matter which row I'm checking, I always want it to check this cell. I'm going to press the F4 key, to put dollar signs in there, and make that an absolute reference. Then I'll type a comma and the next thing I want to check is if B4 is less than or equal to the end date. B4 less than equal to. Click on the end date and again press F4, to lock that and make it an absolute reference to that cell. Close the bracket and press Enter. Now this one is not in that date range, but if I drag down, and we've got a few more dates here, going down to the beginning of April, we can see that these are all TRUE and they're from January 17th to February 14th. If I look at that count down here, we've got 8. We're going to use this same formula in the conditional formatting rule that we'll set up. So I've selected the first cell, I want to be in the first row. I'll highlight that in the formula bar, Ctrl+C to copy it. Then press Enter, to get out of the edit mode in that cell. I'm going to click the heading of the Date column, to select all the date cells. Then up on the Home tab, Conditional Formatting. New Rule. In here, I want to use a formula. We're going to use that formula that we just copied and I'll click in the format values, formula cell, and Ctrl+V to paste that formula. I'm going to click Format, and on the Font tab, I'm just going to make a subtle change to the color. That way, if we wanted to print this sheet, nobody would notice that there is a difference in some of the cells. So instead of Automatic, which right now is black, I'm going down to this last one, which is Black Text, 1 Lighter 5%. I'll click OK and we can see the formatting example here. Click OK and now we don't really see any difference here, but if I go to that drop down arrow, now there's a Filter by Color option. Filter by Font Color, and it shows in the filtered results, just the ones where we have the TRUE. And it's got the same 8 count that we had before. To clear that, I've got a shortcut up on my Quick AccessToolbar. Now all the records are showing again, We can clear out this list of formulas that we entered. Now if I want to look at from January 1st to February 15th. I can go back to my Filter by Color, and it now includes all of the dates in this new date range. without having to go in and change the settings in the filter Between that we did before. .",27,Education,PT6M46S,406,2d,hd,TRUE,https://i.ytimg.com/vi/qCD1iN5GsM4/maxresdefault.jpg,1,6507,82,2,0,9
7,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,QqNRPBmPtqE,2019-08-17T17:23:34Z,17/8/19 17:23,How to Change Sheet Names in Excel Macro Code,"If you change sheet names in your workbook, you might need to change sheet names in Excel macro code too. This video shows 2 options for changing the macro code. 1. Change the sheet tab names in the code, with find and replace 2. Use sheet code names, instead of sheet tab names, for a better solution to the problem To get the free workbook, go to my Contextures website: https://www.contextures.com/exceldataentryupdateform.html This video shows both options to change sheet names in Excel macro code. Video Timeline: 00:00 Intro 0:59 View the Code 2:10 Two Options 2:58 Find and Replace 4:55 Use Code Names 7:26 Get the Workbook Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1",27,Education,PT7M50S,470,2d,hd,FALSE,https://i.ytimg.com/vi/QqNRPBmPtqE/maxresdefault.jpg,1,4023,46,0,0,9
8,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,U5Rk2fa29Zo,2019-08-13T18:33:12Z,13/8/19 18:33,Show or Hide Borders in Excel Weekly Planner,"See how to show or hide borders in this free Excel weekly planner template. Select options on the Setup sheet, and conditional formatting changes the related cell formatting on the weekly planner print out page. Get the free weekly planner template on my Contextures website: https://www.contextures.com/excelweeklyplannertemplate.html Video Timeline: 0:00 Intro 0:17 Change the Setup Options 2:08 Day Section Lines 3:53 To Do List Lines 7:20 Get the Weekly Planner Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1",27,Education,PT7M36S,456,2d,hd,FALSE,https://i.ytimg.com/vi/U5Rk2fa29Zo/maxresdefault.jpg,1,1083,33,2,0,5
9,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,Mqow3hp5yr0,2019-07-18T23:21:53Z,18/7/19 23:21,How to Move or Remove Groups on Excel Ribbon Tabs,"See how to move or remove groups on Excel Ribbon tabs, instead of leaving them in their default position. Make your favourite commands easy to reach, by rearranging the Ribbon groups. Find more Excel Ribbon and QAT tips my Contextures website: Customize Quick Access Toolbar https://www.contextures.com/excel-quick-access-toolbar-customize.html Save Your Excel Ribbon Customizations https://contexturesblog.com/archives/2017/06/29/save-your-excel-ribbon-customizations/ In this video, you'll see how to move groups in an Excel Ribbon tab, and how to remove some groups. Then, if you need those commands again, see how to restore a group to the Excel Ribbon. Video Timeline: 00:00 Intro 0:17 Excel Ribbon Changes 1:25 Move a Group 2:52 Remove a Group 3:42 Restore a Group 4:23 More Excel Tips Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1",27,Education,PT4M35S,275,2d,hd,FALSE,https://i.ytimg.com/vi/Mqow3hp5yr0/maxresdefault.jpg,1,1471,28,2,0,2
10,UCNFqyNLJshdysCyj-xeegnA,Contextures Inc.,lLeuj58mzh4,2019-06-04T19:56:34Z,4/6/19 19:56,Pivot Table Drop Down List Shows Old Items,"If you remove items from a pivot table's source data, you might see that Pivot Table drop down list shows old items, even after you refresh the pivot table. To get the free workbook, go to my Contextures website: https://www.contextures.com/xlPivot04.html In this video, you'll see how to remove those old items from a pivot table, with a change to the pivot table settings. And, if you're using Excel for Office 365, or Excel 2019, you can change the pivot table default settings. Then, when you create new pivot tables, they'll automatically have the settings that you prefer. Video Timeline: 00:00 Intro 1:37 Change a Setting 2:57 Default Setting 4:21 Get the Sample File Instructor: Debra Dalgleish, Contextures Inc. Get Debra's weekly Excel tips: http://www.contextures.com/signup01 More Excel Tips and Tutorials: http://www.contextures.com/tiptech.html Subscribe to Contextures YouTube: https://www.youtube.com/user/contextures?sub_confirmation=1",27,Education,PT4M35S,275,2d,hd,FALSE,https://i.ytimg.com/vi/lLeuj58mzh4/maxresdefault.jpg,1,5824,59,1,0,8
