position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,HPF3ZLTIErw,2020-08-20T14:05:00Z,20/8/20 14:05,Devops In Data Science: reclaiming 80% of your time - Alex Remedios,"Talk Summary: Explaining the discipline of devops (developer-operations) and how it must evolve to keep data science teams productive. I'm going to lay out the Jupyter, Github Actions,Docker stack which we advise teams to invest in and how we are helping with open source technology at Treebeard. Bio: Alex is co-founder and CTO at Treebeard, a data science devops startup. Over the last 7 years he has worked in software engineering roles keeping large websites online at Microsoft and Amazon. More recently Alex worked in the modelling team at Improbable building decision-support technology.",1,Film & Animation,PT56M45S,3405,2d,sd,FALSE,,,21,2,0,0,0
2,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,ZF57NxeF_QU,2020-08-13T16:03:37Z,13/8/20 16:03,"Understanding Bias in Data Science - Leila Seith Hassan, Divya Rana and Paramdeep Khangura.","Talk Summary: Data Science is an amazing and innovative space to work in, and its applications have changed our daily lives for the better. Unfortunately, this doesn’t make it immune from issues relating to bias and a lack of diversity. In a world where more and more processes are automated by AI, ensuring the algorithms are unbiased has become essential for society. We will look at different types of biases that occur in data science, their real world impact, and things to help mitigate them. Bio: Divya is a Data Scientist at Digitas UK. Recently she’s been working on a project involving predicting outcomes for a hotel business, as a result of different Covid-19 scenarios. When not working Divya enjoys art, learning to drum and the NBA. Bio: Throughout her career, Leila has worked in large creative agencies and niche data consultancies in Australia, the USA, and Europe. Her analytics experience covers a wide variety of clients including American Express, Vodafone, IBM, British Airways and Nestlé. As Head of Data Science and Analytics for Digitas UK, Leila is responsible for driving connected experiences powered by analytics and data science. To do this, her team combines methods that are tried and tested such as statistics, web, social and media analytics, data visualisation and data strategy with new techniques made possible with enhanced technology such as Machine and Deep Learning and Natural Language Processing. Bio: Paramdeep is a Data Scientist at Digitas and has a special interest in NLP, having worked on a number of projects using text data and also having competed in NLP based data science competitions.",1,Film & Animation,PT58M20S,3500,2d,sd,FALSE,,,75,3,0,0,0
3,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,d9ColKmnIsE,2020-08-10T15:51:30Z,10/8/20 15:51,DSF Lunch & Learn - A Fashionista’s Dream – Using Computer Vision to gain an edge.,"Speakers: Scott Charlesworth, Saudamini Sonalker and Kareem Rodgers. Talk Title: Fashionista’s Dream – Using Computer Vision to gain an edge. Talk Summary: This session will show how to use Python to scrape millions of fashion images online, a pre-trained GPU enabled image classification model to compare images and how these results can be served to a dynamic web app; all hosted in the cloud. We will also explain how these techniques have been successfully deployed at scale at a luxury retailer. Bio: Scott is one of those infamous Data Science Unicorns, working across the whole pipeline from data acquisition & cleaning to model visualisation & deployment and all the sexy modelling in between. Contact Scott on LinkedIn https://www.linkedin.com/in/docscottcharlesworth/ Bio: Saudamini is a Data Science Consultant, loves solving problems using machine learning and has a keen interest in natural language processing. Bio: Kareem is a Machine Learning enthusiast with a particular interest in supervised and unsupervised deep learning methodologies.",28,Science & Technology,PT57M30S,3450,2d,sd,FALSE,,,67,3,0,0,0
4,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,7cGlq75V_e4,2020-07-30T16:30:13Z,30/7/20 16:30,DSF Lunch & Learn – Real-time Chat Moderation using Deep Transformer Networks.,"Speakers: Oduwa Edo-Osagie and Leo Rickayzen – Data Scientists at Depop. Talk Title: Real-time Chat Moderation using Deep Transformer Networks. Talk Summary: Moderation is an important aspect of any social platform in order to keep users safe and maintain their trust in the platform. At Depop, one of the ways we do this is by protecting our users from being scammed on our digital marketplace. In order to do this, we need to be able to quickly detect and react to scammers coaxing users off-site to take advantage of them. This talk will present our approach to solving this problem, diving into the architecture of the deep transformer network we employ, along with its implementation, evaluation and interesting productionisation details. Bio: Leo is a Data Scientist at Depop, the fashion marketplace where the next generation buy, sell and get inspired. For the last year he’s been working as part of the Trust & Safety team to help keep our community of over 20 million users safe. He’s interested in Trust & Safety, Machine Learning and MLOps. Bio: Oduwa is a data scientist working in Trust and Safety at Depop. Previously, he completed a PhD in machine learning for social media mining at the University of East Anglia. During that time he carried out research projects with Public Health England in Birmingham and the Alan Turing Institute in London. When not working, Oduwa enjoys live music and trashy films.",28,Science & Technology,PT51M25S,3085,2d,sd,FALSE,,,57,0,0,0,0
5,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,ce5KPQGCry0,2020-07-23T14:08:47Z,23/7/20 14:08,The Science of Knowledge Integrity – Research at Wikimedia - Miriam Redi,"Miriam Redi – Research Scientist at Wikimedia Foundation. Talk Summary: Wikipedia is one of the most visited sites on the Web and a common source of information for many users. As an encyclopedia, Wikipedia is not a source of original information, but was conceived as a gateway to secondary sources: according to Wikipedia’s guidelines, to ensure knowledge integrity facts must be backed up by reliable sources that reflect the full spectrum of views on the topic. Although citations lie at the very heart of Wikipedia, little is known about how users interact with them, how contributors use them, and the overall citation coverage. In this talk, we will see how machine learning can support knowledge integrity and help understand and monitor information quality in Wikimedia spaces. Bio: Miriam Redi is a Research Scientist at the Wikimedia Foundation and Visiting Research Fellow at King’s College London. Formerly, she worked as a Research Scientist at Yahoo Labs in Barcelona and Nokia Bell Labs in Cambridge. She received her PhD from EURECOM, Sophia Antipolis. She conducts research in social multimedia computing, working on fair, interpretable, multimodal machine learning solutions to improve knowledge equity.",28,Science & Technology,PT57M48S,3468,2d,sd,FALSE,,,32,0,0,0,0
6,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,EGAtNE8tEyQ,2020-07-21T10:15:58Z,21/7/20 10:15,Data architecture and system integration to become a data-driven business - Amélie Haudiquet,"Talk Title: Building a data architecture and system integration to become a data-driven business Talk Summary: Before being able to visualise data or build some cool algorithms, it is critical to ensure the data is in a good shape and in a good place! I will walk you through how at Climate-KIC we build our data architecture, integrated our systems and build some business intelligence on top of it.",28,Science & Technology,PT50M1S,3001,2d,sd,FALSE,,,92,2,0,0,1
7,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,Lcceo41Gknc,2020-07-13T10:29:10Z,13/7/20 10:29,Domain Adaptation & Synthetic Data - Jakub Langr,"Summary: Many start-ups, academics and even corporates are struggling to get enough data. Many go as far as to generate new data from game engines. In this talk, we will explore using domain adaptation to make this data more photorealistic to minimize the gap between our training set & deployment. We will review the literature as well as look at some practical examples and pitfalls. Bio: Jakub Langr graduated from the University of Oxford where he also taught at OU Computing Services. He has worked in data science since 2013, most recently as a Data Science Tech Lead at Filtered.com and as an R&D Data Scientist at Mudano. Jakub is a co-author of GANs in Action by Manning Publications. Jakub also designed and teaches Data Science courses at the University of Birmingham, numerous private companies and is a guest lecturer at the University of Oxford.",28,Science & Technology,PT1H13S,13,2d,sd,FALSE,,,115,6,0,0,0
8,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,cR-OrmxhnQc,2020-07-01T17:51:23Z,1/7/20 17:51,DSF Panel Series – Maximising your Data Science Team,"Shorful Islam - Managing Teams remotely, on and off shore. Orestis Chrysafis - Let 1,000 flowers bloom: establishing, managing and growing a data science team for innovation. Aji Ghose - Focusing on Business Outcomes: Linking customer feedback with business metrics Bhagya Annapareddy - Why Data Engineering is critical for Data Science Shorful Islam - Chief Product and Data Officer at OutThink Talk Summary: I will discuss my experience of setting up and managing remote data and analytic teams both on and off shore Orestis Chrysafis - Senior Manager, Research & Development at HSBC Talk Summary: This lightning talk will immerse itself in the factors that affect the daily dynamics of a professional data science team that holds a brief for continuous innovation. Talent acquisition, structure, skillsets, knowlegde management and the interplay between individual intellect and the hive mind. Aji Ghose - VP of Data & Research at Chattermill Talk Summary:Customer experience professionals spanning insight, market research and strategy roles all want to gain an in-depth understanding of customer perceptions and behaviours in order to turn data into actionable business recommendations. Yet, many are still not engaged in large-scale and data-driven analysis of their customer feedback data. Moreover, linking this to actual customer behaviours is rarely explored. Here we present Chattermill's approach to large-scale analysis of customer feedback and connecting this to both soft and hard commercial metrics. Bhagya Annapareddy - Principal Data Engineer at QuantumBlack, a Mckinsey Company Talk Summary: Data scientists spend 80% of their time cleaning data rather than creating insights. Data scientists only spend 20% of their time creating insights, the rest wrangling data. It's frequently used to highlight the need to address a number of issues around data quality, standards à access for all of this to be addresses and the solution for this is having data engineers for data science projects.",28,Science & Technology,PT1H35M34S,2134,2d,sd,FALSE,,,74,0,0,0,0
9,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,zdu7L9QEdoE,2020-06-25T16:49:23Z,25/6/20 16:49,Designing Software for Next Gen Machine Intelligence Models. - Alex Titterton,"As machine learning workloads explode in complexity and size, new hardware and software is required to support next gen AI models for both training and inference. This talk will highlight the evolution of Machine Intelligence, why Graphcore invented the IPU and go into detail on the co-designed Poplar Software Stack – the world’s first graph tool chain. It will also summarise our performance benchmarks and how the IPU enables cutting-edge applications such as ResNext. Growing up, Alex Titterton became interested primarily in mathematics, computers, coffee and old Italian cars, and moved south in order to undertake a master’s degree in mathematics and physics at the University of Bristol. In 2015 he started a PhD in particle physics, jointly appointed between the University of Bristol, University of Southampton and the Rutherford Appleton Laboratory, and as part of this in 2017 moved to France to work at CERN. For 18 months he spent the weekdays searching for Supersymmetry and the weekends skiing and driving an old Alfa Romeo around scenic mountain roads. A thesis later, he finally finished his PhD in Bristol, and found a new home at Graphcore, working in the Product Support Engineering team, where he has been enjoying tackling new challenges for almost a year.",28,Science & Technology,PT38M34S,2314,2d,hd,FALSE,https://i.ytimg.com/vi/zdu7L9QEdoE/maxresdefault.jpg,,69,2,0,0,0
10,UCB02fDSj9GR4rhb1APMNclw,Data Science Festival,84la-BGWvno,2020-06-18T15:11:09Z,18/6/20 15:11,From coal to solar: tracking power with machine learning - Laurence Watson – Treebeard Technologies,"Laurence Watson – Co-founder and CEO @Treebeard Technologies Summary: Satellite imagery and machine learning can be used to estimate emissions from coal power plants across the world, and locate solar panels in the UK. Plentiful data, cloud compute, and open source tools means even small teams can do powerful things – in this talk we’ll go through the steps to setup a machine learning pipeline to analyse overhead imagery and discuss the results and lessons learnt. For energy analysis, it is necessary to first deeply understand the distribution of the underlying infrastructure. Only then can the steps to create a representative and useful dataset be taken. There are many different imagery providers and datasets – the strengths and weaknesses of different data sources are discussed along with techniques to pre-process them. Satellite and aerial imagery and geospatial data need some extra steps compared to plain image analysis, but python has several powerful packages like rasterio to handle them. Computer vision CNNs and transfer learning mean training a model on geospatial raster data in a pipeline is reasonably straightforward. This talk will go through the necessary steps for a generic task, and the code will be available. Open source geospatial learning tools like RasterVision can jump-start this kind of project, but come with their own learning curves. Specific lessons learned from two projects, understanding coal power plant output from smoke plumes, and identifying solar PV from aerial imagery will be explained with particular emphasis on data science techniques used. From an initial pilot, understanding the output of coal power plants based on visual band imagery of smoke plumes has led to a significant project supported by a Google AI Impact grant currently underway by WattTime and the Carbon Tracker Initiative.",28,Science & Technology,PT57M47S,3467,2d,hd,FALSE,https://i.ytimg.com/vi/84la-BGWvno/maxresdefault.jpg,,72,1,0,0,0
