position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,VLMl8_5txRs,2020-08-14T13:35:23Z,14/8/20 13:35,Xlookup function,How to use Xlookup function to analyze Excel data.,27,Education,PT11M8S,668,2d,hd,FALSE,https://i.ytimg.com/vi/VLMl8_5txRs/maxresdefault.jpg,1,1015,59,0,0,37
2,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,nMtE8A2F_UU,2020-08-05T09:44:40Z,5/8/20 9:44,List Files in Folder Create Hyperlink,How to list all files in a folder and create hyperlink for each file using VBA. Details also available at https://www.exceltrainingvideos.com/list-files-in-folder-create-hyperlink/,27,Education,PT9M36S,576,2d,hd,FALSE,https://i.ytimg.com/vi/nMtE8A2F_UU/maxresdefault.jpg,1,1353,113,0,0,26
3,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,ilF8rlEXJjA,2020-07-30T15:23:39Z,30/7/20 15:23,Hide Show Ribbon in Excel Using VBA,How to hide and show ribbon in Excel using VBA. For more details visit https://www.exceltrainingvideos.com/hide-show-ribbon-in-excel-using-vba/,27,Education,PT4M57S,297,2d,hd,FALSE,https://i.ytimg.com/vi/ilF8rlEXJjA/maxresdefault.jpg,1,1354,111,0,0,35
4,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,wjSvoWgb5Lk,2020-07-24T13:17:45Z,24/7/20 13:17,Send Customized Emails Using Excel Hyperlink and IF Functions,How to send customized emails using Excel Hyperlink and IF functions. No VBA required.,27,Education,PT8M51S,531,2d,hd,FALSE,https://i.ytimg.com/vi/wjSvoWgb5Lk/maxresdefault.jpg,1,1434,103,0,0,20
5,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,aIoMAtSYW_8,2020-07-21T03:15:01Z,21/7/20 3:15,Extract Data from Word Document Using Word and Excel VBA,"How to extract data from a Word document using both Word VBA and Excel VBA. Here's the complete code: Sub ExtractText() Dim cDoc As Word.Document Dim cRng As Word.Range Dim i As Long i = 2 Dim wordapp As Object Set wordapp = CreateObject(""word.Application"") wordapp.Documents.Open ""c:\bracketdata\bracket-data.docx"" wordapp.Visible = True Set cDoc = ActiveDocument Set cRng = cDoc.Content With cRng.Find .Forward = True .Text = ""["" .Wrap = wdFindStop .Execute Do While .Found 'Collapses a range or selection to the starting or ending position cRng.Collapse Word.WdCollapseDirection.wdCollapseEnd cRng.MoveEndUntil Cset:=""]"" Cells(i, 1) = cRng cRng.Collapse Word.WdCollapseDirection.wdCollapseEnd .Execute i = i + 1 Loop End With wordapp.Quit Set wordapp = Nothing End Sub Option Explicit Sub ExtractText() Dim cDoc As Word.Document, nDoc As Word.Document Dim cRng As Word.Range, nRng As Word.Range Set cDoc = ActiveDocument Set nDoc = Documents.Add Set cRng = cDoc.Content Set nRng = nDoc.Content cRng.Find.ClearFormatting With cRng.Find .Forward = True .Text = ""["" .Wrap = wdFindStop .Execute Do While .Found cRng.Collapse Word.WdCollapseDirection.wdCollapseEnd cRng.MoveEndUntil Cset:=""]"", Count:=Word.wdForward nRng.FormattedText = cRng.FormattedText nRng.InsertParagraphAfter nRng.Collapse Word.WdCollapseDirection.wdCollapseEnd cRng.Collapse Word.WdCollapseDirection.wdCollapseEnd .Execute Loop End With End Sub Reference: https://social.msdn.microsoft.com/Forums/en-US/bbdc6c84-240e-43e1-aec9-402ca60c0c84/macro-code-help-extracting-text-between-brackets-from-word-file-into-a-new-file",27,Education,PT8M27S,507,2d,hd,FALSE,https://i.ytimg.com/vi/aIoMAtSYW_8/maxresdefault.jpg,1,1173,68,0,0,25
6,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,TRIGxZhMhSg,2020-07-15T06:44:46Z,15/7/20 6:44,Create Data Entry Forms under 10 seconds No VBA,How to create multiple data entry forms under 10 seconds without VBA. If you select a cell inside your data and press ALT + D + O you can work even faster because the form opens immediately without having to create an icon in the Quick Access Toolbar (QAT).,27,Education,PT4M9S,249,2d,hd,FALSE,https://i.ytimg.com/vi/TRIGxZhMhSg/maxresdefault.jpg,1,1495,81,1,0,14
7,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,nseGp-VnrUg,2020-07-08T17:51:09Z,8/7/20 17:51,Create Forms with Microsoft Forms App,How to create forms with the free Microsoft Forms App without VBA quickly and easily.,27,Education,PT13M20S,800,2d,hd,FALSE,https://i.ytimg.com/vi/nseGp-VnrUg/maxresdefault.jpg,1,2734,100,0,0,26
8,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,3n95xby7yRs,2020-07-01T08:10:32Z,1/7/20 8:10,Add Comments to Data from Another Worksheet Column,"How to add comments to data from another worksheet column automatically using VBA. Here's the complete VBA code: Option Explicit Sub AddCommentFromAnotherColumn() Dim counter As Long Dim lastrow As Long lastrow = Application.WorksheetFunction.CountA(Range(""A:A"")) 'MsgBox lastrow For counter = 2 To lastrow Cells(counter, 1).ClearComments Next For counter = 2 To lastrow Range(""A"" & counter).AddComment Range(""A"" & counter).Comment.Text Text:=Range(""Y"" & counter).Value Next End Sub",27,Education,PT6M42S,402,2d,hd,FALSE,https://i.ytimg.com/vi/3n95xby7yRs/maxresdefault.jpg,1,709,53,0,0,10
9,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,R0qzfYJr6d8,2020-06-29T08:13:02Z,29/6/20 8:13,Get Outlook Data from Picked Folder,"How to pick a folder from Microsoft Outlook and get the data into an Excel worksheet automatically with vba. Here's the complete VBA code: Option Explicit Sub getDataFromOutlookChoiceFolder() Dim OutlookApp As Outlook.Application Dim OutlookNamespace As Namespace Dim Folder As MAPIFolder Dim OutlookMail As Variant Dim i As Long Set OutlookApp = New Outlook.Application Set OutlookNamespace = OutlookApp.GetNamespace(""MAPI"") Set Folder = OutlookNamespace.pickfolder If Folder.Items.Count = 0 Then MsgBox ""No emails. Exiting procedure!"" Exit Sub End If i = 1 Dim rngName As Name Sheet1.Cells.Clear For Each rngName In ActiveWorkbook.Names rngName.Delete Next Range(""A1"").Name = ""email_Subject"" Range(""A1"") = ""EmailSubject"" Range(""B1"").Name = ""email_Date"" Range(""B1"") = ""Email Date"" Range(""C1"").Name = ""email_Sender"" Range(""C1"") = ""Email Sender"" Range(""D1"").Name = ""email_Body"" Range(""D1"") = ""Email Body"" Range(""E1"").Name = ""email_Receipt_Date"" Range(""email_Receipt_Date"").Value = InputBox(""Enter Receipt Date like 20-mar-2020"") For Each OutlookMail In Folder.Items If OutlookMail.ReceivedTime 'GREATER THAN'= Range(""email_Receipt_Date"").Value Then Range(""email_Subject"").Offset(i, 0).Value = OutlookMail.Subject Range(""email_Subject"").Offset(i, 0).Columns.AutoFit Range(""email_Subject"").Offset(i, 0).VerticalAlignment = xlTop Range(""email_Date"").Offset(i, 0).Value = OutlookMail.ReceivedTime Range(""email_Date"").Offset(i, 0).Columns.AutoFit Range(""email_Date"").Offset(i, 0).VerticalAlignment = xlTop Range(""email_Sender"").Offset(i, 0).Value = OutlookMail.SenderName Range(""email_Sender"").Offset(i, 0).Columns.AutoFit Range(""email_Sender"").Offset(i, 0).VerticalAlignment = xlTop Range(""email_Body"").Offset(i, 0).Value = OutlookMail.Body Range(""email_Body"").Offset(i, 0).Columns.AutoFit Range(""email_Body"").Offset(i, 0).VerticalAlignment = xlTop i = i + 1 End If Next OutlookMail Set Folder = Nothing Set OutlookNamespace = Nothing Set OutlookApp = Nothing End Sub Note: Replace 'GREATER THAN' with an angular bracket Reference: https://www.exceltrainingvideos.com/get-data-from-outlook-into-excel-worksheet/",27,Education,PT7M17S,437,2d,hd,FALSE,https://i.ytimg.com/vi/R0qzfYJr6d8/maxresdefault.jpg,1,966,52,0,0,10
10,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar,bpcS2foDDJo,2020-06-21T19:29:04Z,21/6/20 19:29,Sort Worksheet Tabs By Color,"How to sort worksheet tabs by color automatically using VBA. Here's the complete VBA code: Sub SortWorksheetTabsBycolor() Dim CurrentSheetIndex As Long Dim PreviousSheetIndex As Long Application.ScreenUpdating = False For CurrentSheetIndex = 1 To Sheets.Count For PreviousSheetIndex = 1 To Sheets.Count - 1 If Sheets(PreviousSheetIndex).Tab.ColorIndex = Sheets(CurrentSheetIndex).Tab.ColorIndex Then Sheets(PreviousSheetIndex).Move before:=Sheets(CurrentSheetIndex) End If Next PreviousSheetIndex Next CurrentSheetIndex Application.ScreenUpdating = True End Sub References: (1) Color codes: http://dmcritchie.mvps.org/excel/colors.htm (2) Refer to Sheets by Index Number: https://docs.microsoft.com/en-us/office/vba/excel/concepts/workbooks-and-worksheets/refer-to-sheets-by-index-number#:~:text=An%20index%20number%20is%20a,(1).Activate%20End%20Sub (3)Worksheet.Move method (Excel): https://docs.microsoft.com/en-us/office/vba/api/excel.worksheet.move Details also available at https://www.exceltrainingvideos.com/sort-worksheet-tabs-by-color/",27,Education,PT8M44S,524,2d,hd,FALSE,https://i.ytimg.com/vi/bpcS2foDDJo/maxresdefault.jpg,1,1100,96,0,0,30
