position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,ShZGLG7q2o4,2020-08-19T04:30:00Z,19/8/20 4:30,[R Shiny Basic App] #4 - R Shiny Bar Plot,#RShiny #Dashboards #R Within R Shiny we can do a bar plot easily with the barplot function. We use the usual plotOutput method to show the bar plot in the UI section. Code Link: https://github.com/KunaalNaik/YT_R_Shiny_Dashboards/tree/master/1%20Basic%20App,27,Education,PT6M58S,418,2d,hd,FALSE,https://i.ytimg.com/vi/ShZGLG7q2o4/maxresdefault.jpg,,26,3,0,0,0
2,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,DxVuO9gqotk,2020-08-12T14:30:01Z,12/8/20 14:30,Create Basic Pipeline using Sklearn and Visualize,#sklearn #pipeline We can Create a Basic Pipeline and then visualize it using sklearn's new update 0.23. Just use the set_config to turn on the Pipeline display.,27,Education,PT2M45S,165,2d,hd,FALSE,https://i.ytimg.com/vi/DxVuO9gqotk/maxresdefault.jpg,,91,9,0,0,0
3,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,iUUiO-FL0Js,2020-08-05T14:30:08Z,5/8/20 14:30,Pivot Table Playground #9 - Group by month not working,"Annoyed when Group by month is not working? In this video, we will cover how to resolve the issue. Also, we will learn about date formatting, which is the primary cause of such problems. The simple trick here is to convert the Text looking date to Number and then Group by month. Follow this method to ensure your dates start grouping again. #pivottables #excel GitHub file link: https://github.com/KunaalNaik/YT_Excel_Pivot_Table_Playground Stay Connected: https://linktr.ee/KunaalNaik",27,Education,PT7M25S,445,2d,hd,FALSE,https://i.ytimg.com/vi/iUUiO-FL0Js/maxresdefault.jpg,,34,4,0,0,0
4,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,GTXs5XMLmjY,2020-07-29T14:30:03Z,29/7/20 14:30,Machine Learning Tutorial : Decision Tree example with Tree Visualization,"Decision Tree Classifiers are very handy to visualize how each of the independent variables impacts the dependent variable. In this video, we cover a basic example of a Decision Tree and how we can it using Graphviz library. Also, we will learn how to limit the tree and export is for sharing purposes. We will use the Kaggle Kernel for executing this code. If you have a Kaggle account you can get started immediately. Kaggle Kernal: https://www.kaggle.com/funxexcel/p1-sklearn-decision-tree-with-tree-visualization",27,Education,PT5M45S,345,2d,hd,FALSE,https://i.ytimg.com/vi/GTXs5XMLmjY/maxresdefault.jpg,,45,4,0,0,0
5,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,VUs2lpYt8Ig,2020-07-23T04:30:00Z,23/7/20 4:30,Pivot Table Playground #8 - Group by Week and Month,"#pivottables #excel If you group by week, you cannot group by month within Excel Pivot Tables. To do so, you need to create helper columns which will help you ""group by""week and month. In this video, we create helper columns such as Month, Year, Quarter and Week. With these helper columns, we can easily achieve the desired summary we want. GitHub file link: https://github.com/KunaalNaik/YT_Excel_Pivot_Table_Playground Stay Connected: https://linktr.ee/KunaalNaik",27,Education,PT6M2S,362,2d,hd,FALSE,https://i.ytimg.com/vi/VUs2lpYt8Ig/maxresdefault.jpg,,44,2,0,0,0
6,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,c4mS7KaOIGY,2020-07-16T04:30:04Z,16/7/20 4:30,Random Forest Hyperparameter Tuning using randomizedsearchcv | Machine Learning Tutorial,"Getting 100% Train Accuracy when using sklearn Randon Forest model? You are most likely prey of overfitting! In this video, you will learn how to use Random Forest by optimising the hyperparameter or parameters. We will be using randomizedsearchcv for tuning the parameters due to its speed. By tuning you are most likely to avoid overfitting using Randon Forest. Kaggle Kernel Link: https://www.kaggle.com/funxexcel/p2-sklearn-randon-forest-parameter-tuning Stay Connected: https://linktr.ee/KunaalNaik",27,Education,PT6M44S,404,2d,hd,FALSE,https://i.ytimg.com/vi/c4mS7KaOIGY/maxresdefault.jpg,,141,10,0,0,0
7,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,i4_exRlvIHI,2020-07-16T04:30:04Z,16/7/20 4:30,Perform Automated EDA using SweetViz & Python,"#sweetviz #python #eda Perform Automated EDA using SweetViz & Python by writing only a few lines of code. The beauty of this EDA library is that it creates a self-contained HTML which can be accessed even when you close you Jupyter Notebooks. Also, you get to customize the columns that go into the analysis or force change variables to categorical or numerical.",27,Education,PT13M36S,816,2d,hd,FALSE,https://i.ytimg.com/vi/i4_exRlvIHI/maxresdefault.jpg,,161,7,0,0,0
8,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,Yz52vuswhEk,2020-07-10T10:33:17Z,10/7/20 10:33,How to add a README to your GitHub Profile,"In this video, you will learn how to add a README to your GitHub Profile. GitHub has recently introduced this feature. All you need to do is create a Repository and all it the same name as your GitHub Profile name. You would have discovered a GitHub Secret!",27,Education,PT4M12S,252,2d,hd,FALSE,https://i.ytimg.com/vi/Yz52vuswhEk/maxresdefault.jpg,,559,25,0,0,6
9,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,cURBIgEokY8,2020-07-09T04:30:05Z,9/7/20 4:30,Pivot Table Playground #7 - Uneven Histogram | Group by uneven intervals,"Pivot tables can easily group by even intervals. To group by uneven interval, you need to create a helper table by doing VLOOKUP using the exact_match as TRUE. In this video, we will create a small table to create uneven intervals and then look them up into the main table. Post which we can create a Pivot table and use the interval to create our summary. GitHub files link: https://github.com/KunaalNaik/YouTube-Working-Files/tree/master/Pivot%20Table%20Playground #pivottables #excel",27,Education,PT4M59S,299,2d,hd,FALSE,https://i.ytimg.com/vi/cURBIgEokY8/maxresdefault.jpg,,36,1,0,0,0
10,UCZN-xTV6lFwfJHl6ZId_dOg,Kunaal Naik,3Spa10-mwsw,2020-07-02T04:30:00Z,2/7/20 4:30,Sklearn K-Means Python Example | Interpreting Clustering results,"I have been using sklearn K-Means algorithm for clustering customer data for years. This algorithm is fairly straightforward to implement. However, interpreting the output is where we need to be very smart. In this video, we will cover how to write a K-means algorithm and also interpret the results to bring out some business outcomes. Kaggle Kernel: https://www.kaggle.com/funxexcel/p1-sklearn-k-means-example 0:0 Introduction to Data 0:59 Clean data and choose variables for clustering 5:30 Sklearn K-Means example code 7: 50 Interpreting clustering results 11:30 Wrapping up #machineleaning #kmeans #clusterning",27,Education,PT12M22S,742,2d,hd,FALSE,https://i.ytimg.com/vi/3Spa10-mwsw/maxresdefault.jpg,,190,9,0,0,0
