position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,gHHy2w2agEo,2020-07-21T02:35:44Z,21/7/20 2:35,Language Model Evaluation and Perplexity,"Course Link: https://www.coursera.org/lecture/probabilistic-models-in-nlp/language-model-evaluation-SEO4T Transcript: In this video I'll show you how to evaluate a language model. The metric for this is called perplexity and I will explain what this is. First, you'll divide the text corpus into train validation and test data, then you will dive into the concepts of perplexity an important metric used to evaluate language models. So, how can you tell how well your language model is performing? Recall from the previous videos that a language model assigns a probability to each sentence. The model was trained on the corpus. So for the training sentences, it may assign very high probabilities. You should therefore first split the corpus to have some testing and validation data that are not used for the training. As you may have done in the other machine learning projects, you'll create the following splits of training validation and test sets. The training set is used to train your model. The validation set is used for things like tuning hyper-parameters, and the test set is held out for the end. Where you test it once and get an accuracy score that reflects how well your model performs on unseen data.",28,Science & Technology,PT6M46S,406,2d,hd,FALSE,https://i.ytimg.com/vi/gHHy2w2agEo/maxresdefault.jpg,1,375,13,0,0,0
2,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,_z-a6WoNC2s,2020-06-02T12:48:05Z,2/6/20 12:48,"Common Patterns in Time Series: Seasonality, Trend and Autocorrelation","Course link: https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction Time-series come in all shapes and sizes, but there are a number of very common patterns. So it's useful to recognize them when you see them. For the next few minutes we'll take a look at some examples. The first is trend, where time series have a specific direction that they're moving in. As you can see from the Moore's Law example we showed earlier, this is an upwards facing trend. Another concept is seasonality, which is seen when patterns repeat at predictable intervals. For example, take a look at this chart showing active users at a website for software developers. It follows a very distinct pattern of regular dips. Can you guess what they are? Well, what if I told you if it was up for five units and then down for two? Then you could tell that it very clearly dips on the weekends when less people are working and thus it shows seasonality. Other seasonal series could be shopping sites that peak on weekends or sport sites that peak at various times throughout the year, like the draft or opening day, the All-Star day playoffs and maybe the championship game. Of course, some time series can have a combination of both trend and seasonality as this chart shows.",28,Science & Technology,PT5M6S,306,2d,hd,FALSE,https://i.ytimg.com/vi/_z-a6WoNC2s/maxresdefault.jpg,1,529,24,1,0,0
3,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,H6oOhElB3yE,2020-03-20T22:30:41Z,20/3/20 22:30,Limitations of Graph Neural Networks (Stanford University),,28,Science & Technology,PT1H26M35S,1595,2d,hd,FALSE,https://i.ytimg.com/vi/H6oOhElB3yE/maxresdefault.jpg,1,4285,131,0,0,2
4,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,0lpT-yveuIA,2020-02-12T20:30:47Z,12/2/20 20:30,Understanding Metropolis-Hastings algorithm,"Course link: https://www.coursera.org/learn/mcmc-bayesian-statistics Metropolis-Hastings is an algorithm that allows us to sample from a generic probability distribution, which we'll call our target distribution, even if we don't know the normalizing constant. To do this, we construct and sample from a Markov chain whose stationary distribution is the target distribution that we're looking for. It consists of picking an arbitrary starting value and then iteratively accepting or rejecting candidate samples drawn from another distribution, one that is easy to sample. Let's say we want to produce samples from a target distribution. We're going to call it p of theta. But we only know it up to a normalizing constant or up to proportionality. What we have is g of theta. So we don't know the normalizing constant because perhaps this is difficult to integrate. So we only have g of theta to work with. The Metropolis Hastings Algorithm will proceed as follows. The first step is to select an initial value for theta. We're going to call it theta-naught. The next step is for a large number of iterations, so for i from 1 up to some large number m, we're going to repeat the following. The first thing we're going to do is draw a candidate. We'll call that theta-star as our candidate. And we're going to draw this from a proposal distribution. We're going to call the proposal distribution q of theta-star, given the previous iteration's value of theta. We'll take more about this q distribution soon. The next step is to compute the following ratio. We're going to call this alpha. It is this g function evaluated at the candidate divided by the distribution, or the density here of q, evaluated at the candidate given the previous iteration. And all of this will be divided by g evaluated at the old iteration. That divided by q, evaluated at the old iteration. Given the candidate value. If we rearrange this, it'll be g of the candidate times q of the previous value given the candidate divided by g at the previous value. And q evaluated at the candidate, given the previous value.....",28,Science & Technology,PT9M49S,589,2d,hd,FALSE,https://i.ytimg.com/vi/0lpT-yveuIA/maxresdefault.jpg,1,7769,163,7,0,12
5,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,ByeRnmHJ-uk,2020-02-07T11:55:39Z,7/2/20 11:55,Learning to learn: An Introduction to Meta Learning,"Slides PDF: https://drive.google.com/file/d/1DuHyotdwEAEhmuHQWwRosdiVBVGm8uYx/view Abstract: In recent years, high-capacity models, such as deep neural networks, have enabled very powerful machine learning techniques in domains where data is plentiful. However, domains where data is scarce have proven challenging for such methods because high-capacity function approximators critically rely on large datasets for generalization. This can pose a major challenge for domains ranging from supervised medical image processing to reinforcement learning where real-world data collection (e.g., for robots) poses a major logistical challenge. Meta-learning or few-shot learning offers a potential solution to this problem: by learning to learn across data from many previous tasks, few-shot meta-learning algorithms can discover the structure among tasks to enable fast learning of new tasks. The objective of this tutorial is to provide a unified perspective of meta-learning: teaching the audience about modern approaches, describing the conceptual and theoretical principles surrounding these techniques, presenting where these methods have been applied previously, and discussing the fundamental open problems and challenges within the area. We hope that this tutorial is useful for both machine learning researchers whose expertise lies in other areas, while also providing a new perspective to meta-learning researchers. All in all, we aim to provide audience members with the ability to apply meta-learning to their own applications, and develop new meta-learning algorithms and theoretical analyses driven by the current challenges and limitations of existing work. We will provide a unified perspective of how a variety of meta-learning algorithms enable learning from small datasets, an overview of applications where meta-learning can and cannot be easily applied, and a discussion of the outstanding challenges and frontiers of this sub-field.",28,Science & Technology,PT1H27M17S,1637,2d,sd,FALSE,,1,3238,67,1,0,4
6,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,-zq9-6RbKZc,2019-12-20T13:11:20Z,20/12/19 13:11,Page Ranking: Web as a Graph (Stanford University 2019),,28,Science & Technology,PT1H26M56S,1616,2d,hd,FALSE,https://i.ytimg.com/vi/-zq9-6RbKZc/maxresdefault.jpg,1,1578,55,0,0,2
7,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,yFLiiK8c9CU,2019-11-14T17:06:02Z,14/11/19 17:06,Deep Graph Generative Models (Stanford University - 2019),In this video you will learn about the generative models which are applied directly on graph structures. This is a lecture of Stanford University.,28,Science & Technology,PT1H22M31S,1351,2d,hd,FALSE,https://i.ytimg.com/vi/yFLiiK8c9CU/maxresdefault.jpg,1,6728,152,0,0,8
8,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,7JELX6DiUxQ,2019-11-01T11:41:07Z,1/11/19 11:41,Graph Node Embedding Algorithms (Stanford - Fall 2019),"In this video a group of the most recent node embedding algorithms like Word2vec, Deepwalk, NBNE, Random Walk and GraphSAGE are explained by Jure Leskovec. Amazing class!",28,Science & Technology,PT1H25M51S,1551,2d,hd,FALSE,https://i.ytimg.com/vi/7JELX6DiUxQ/maxresdefault.jpg,1,17964,438,2,0,33
9,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,YrhBZUtgG4E,2019-10-03T17:50:14Z,3/10/19 17:50,Graph Representation Learning (Stanford university),Slide link: http://snap.stanford.edu/class/cs224w-2018/handouts/09-node2vec.pdf,28,Science & Technology,PT1H16M53S,1013,2d,hd,FALSE,,1,32090,738,5,0,22
10,UChIaUcs3tho6XhyU6K6KMrw,Machine Learning TV,vyExfvVMk7A,2019-09-16T02:55:14Z,16/9/19 2:55,Understanding Word Embeddings,"Full course link: https://www.coursera.org/learn/intro-to-deep-learning So, the core idea here is that basically you want the words that have similar neighbores , similar contexts, to be similar in this new virtual representation. Now, let's see how we achieve that. But before we do that, let's actually cover some kind of math of how do we represent the words efficiently. So have a word named word. And technically, to fit it into TensorFlow, you'd probably have to represent it as some kind of number. For example, the ID of this word in your dictionary. And basically, the way you usually use this word in your pipeline is you take one-hot vectors, this large size of a dictionary vector that only has one nonzero value. And then push it through some kind of linear models or neural networks, or similar stuff. The only problem is, you're actually doing this thing very inefficiently. So you have this one-hot vector, and then you multiply it by a weight vector, or a weight matrix. It actually, it's actually process, because you have a lot of weights that gets multiplied by zeros. Now, you could actually compute this kind of weighted sum much more efficiently. If you look slightly closer, you could actually write the answer, you could actually write the answer itself without any sums or multiplications....",28,Science & Technology,PT13M22S,802,2d,hd,FALSE,https://i.ytimg.com/vi/vyExfvVMk7A/maxresdefault.jpg,1,3804,38,15,0,4
