position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,fVAJ8BDOMYw,2020-08-18T11:00:20Z,18/8/20 11:00,How to Prioritize AI Implementations in Your Organization,"AI can be introduced in many parts of the organization, but doing all of it is infeasible. So how can you select the most important parts of your company where AI will make sense. Here we explore one way to think about the challenge using a banking example. ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT8M59S,539,2d,hd,FALSE,https://i.ytimg.com/vi/fVAJ8BDOMYw/maxresdefault.jpg,1,412,32,0,0,3
2,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,_MXcUzGi-G8,2020-08-15T14:52:54Z,15/8/20 14:52,How to Tame Artificial Intelligence in Your Organization - #PMI-CIC,"I’m delighted to be speaking at the “Professional Development Day” at the PMI – Central Illinois Chapter, on Sep. 30th. Here’s a preview of what I’ll be sharing virtually. Yes, this is not one of my regular videos, but I thought that a few of you might be interested in registering to get your PDU credits. You can find more information here: https://pmi-cic.org/meetinginfo.php?id=242&ts=1597114041 Thank you. Raj ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT1M58S,118,2d,hd,FALSE,,,559,26,0,0,4
3,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,0mKw3QiERI0,2020-08-04T11:00:01Z,4/8/20 11:00,How can you play an important role in AI digital transformation without becoming a technical expert,"Organizations are using #AI for #digitaltransformation. Don't worry if you don't have much experience in AI itself. There are a ton of other roles where you can contribute, be valuable, and build on your foundational skills of what you already know. In this video, I share some options. Of course, if you are or want to become a data scientist, that's great as well. Here are a couple of videos for you to become a data scientist: https://youtu.be/hUf7E68IakQ https://youtu.be/krEjkpMbvWs ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT10M55S,655,2d,hd,FALSE,,1,826,72,2,0,17
4,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,GeNcs6xAxvU,2020-07-21T11:00:08Z,21/7/20 11:00,Why do you Need More Innovation Outside your Business than Inside?,"Most companies seem to focus on the inside for its innovation. But external innovation is probably as important or even more important. This video explains why. ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT10M13S,613,2d,hd,FALSE,https://i.ytimg.com/vi/GeNcs6xAxvU/maxresdefault.jpg,1,604,48,0,0,6
5,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,1A-waE80SYU,2020-07-07T11:00:00Z,7/7/20 11:00,How much data do you need to train a machine learning system,"How much data do you need to create a good model? Well, that depends, but this video explains why that's the case. ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT5M34S,334,2d,hd,FALSE,https://i.ytimg.com/vi/1A-waE80SYU/maxresdefault.jpg,1,811,47,0,0,3
6,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,nHAchHALb10,2020-06-23T11:00:25Z,23/6/20 11:00,How to Create and Deliver a Presentation in less than Four Hours,"As data scientists or architects, we are often asked to do presentations. We may communicate to inform, educate, convince, explain, or for other purposes. In this video I'll summarize how to do that effectively. I used this same technique to create this video - to communicate to you. Of course, the tools you use might be different from what I use, but the concept is critical. You can always change the tools later. As the Edwin Catmull of Pixar cites in his book, Creativity Inc., the story is the most important part. ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT8M11S,491,2d,hd,FALSE,https://i.ytimg.com/vi/nHAchHALb10/maxresdefault.jpg,1,1439,92,1,0,16
7,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,krEjkpMbvWs,2020-06-09T11:00:16Z,9/6/20 11:00,Don't be Just a Data Scientist - Aim Higher and Get Paid for It! Part 2,"This is a two-part series on how to become a great data scientist. From my perspective, I frame the steps and the concepts that one would take to differentiate. There is no need to have an advanced degree to become a data scientist, but you do need some passion and curiosity. This is guidance for both beginners and for people who have sufficiently advanced in their careers. Few other videos you might want to check out: What is Enterprise Architecture: https://youtu.be/9TVc32M_gIY What are the different roles in data science: https://youtu.be/00xLZuxTzQc ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT10M46S,646,2d,hd,FALSE,https://i.ytimg.com/vi/krEjkpMbvWs/maxresdefault.jpg,1,883,53,0,0,2
8,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,hUf7E68IakQ,2020-05-26T11:00:27Z,26/5/20 11:00,Don't Just be a Data Scientist - Aim Higher and Get Paid for It! - Part 1,"This is a two-part series on how to become a great data scientist. From my perspective, I frame the steps and the concepts that one would take to differentiate. There is no need to have an advanced degree to become a data scientist, but you do need some passion and curiosity. This is guidance for both beginners and for people who have sufficiently advanced in their careers. Few other videos you might want to check out: What is Enterprise Architecture: https://youtu.be/9TVc32M_gIY What are the different roles in data science: https://youtu.be/00xLZuxTzQc ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT8M58S,538,2d,hd,FALSE,https://i.ytimg.com/vi/hUf7E68IakQ/maxresdefault.jpg,1,1617,102,2,0,18
9,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,p5rXAMG4xJc,2020-05-12T11:00:32Z,12/5/20 11:00,Give me a framework to build a trusted AI system,"Link to EU governance framework https://ec.europa.eu/digital-single-market/en/news/ethics-guidelines-trustworthy-ai In the last video I gave an example of a system that rejected a loan for an individual and what could possibly be wrong with such a system. It takes a lot to build trust with an AI system. In this video I share from my perspective the framework proposed by a high-level expert group on artificial intelligence at the EU. I have reframed the document to make it simpler for people to grasp and understand in a page. Obviously, there are nuances that I skipped over and if you are deeply involved with ethics, then please refer to the full document. The audience for this video is people who want to understand the framework for AI ethics but don’t necessarily work on it day to day. ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and I'll get back in touch. Thanks for watching my videos and for subscribing. www.drrrajramesh.com www.linkedin.com/in/rajramesh",27,Education,PT12M41S,761,2d,hd,FALSE,https://i.ytimg.com/vi/p5rXAMG4xJc/maxresdefault.jpg,1,914,39,1,0,6
10,UCbojg-FJgI1L6iLWUzgcsww,Raj Ramesh,YzKh7wgRGpQ,2020-04-28T11:00:29Z,28/4/20 11:00,How can you trust artificial intelligence and machine learning systems?,"Trust is always a big challenge with AI systems because we don’t often know how to interpret what is going on “in its head,” if you will. This is an active area of research, including the challenge of being able to explain how an AI system comes to the conclusion that it did. In this video, I simplify the concepts of trust so a business manager can understand how to look consider and build trusted AI within the context of their environment. Here’s a video about how ML and AI are related, and the field of AI in general: https://youtu.be/2ePf9rue1Ao ------------------ Here's what I can do to help you. I speak on the topics of architecture and AI, help you integrate AI into your organization, educate your team on what AI can or cannot do, and make things simple enough that you can take action from your new knowledge. I work with your organization to understand the nuances and challenges that you face, and together we can understand, frame, analyze, and address challenges in a systematic way so you see improvement in your overall business, is aligned with your strategy, and most importantly, you and your organization can incrementally change to transform and thrive in the future. If any of this sounds like something you might need, please reach out to me at dr.raj.ramesh@topsigma.com, and we'll get back in touch within a day. Thanks for watching my videos and for subscribing. www.topsigma.com www.linkedin.com/in/rajramesh",27,Education,PT7M57S,477,2d,hd,FALSE,https://i.ytimg.com/vi/YzKh7wgRGpQ/maxresdefault.jpg,1,1025,64,0,0,12
