position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,l3yhAaaNmXU,2015-12-09T21:28:00Z,9/12/15 21:28,Quadratic regression using StatCrunch for Chapter 15,"How to solve 15.1.3 using StatCrunch: Add a second independent variable, the square of the given x variable.",27,Education,PT5M58S,358,2d,hd,FALSE,https://i.ytimg.com/vi/l3yhAaaNmXU/maxresdefault.jpg,1,1467,12,0,0,0
2,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,3buZ4Qq3GUc,2015-12-01T20:10:43Z,1/12/15 20:10,Chapter 09: Relationship between hypothesis testing and jury decision (2/2),Discusses the many parallels between the hypothesis testing methodology and concepts and what happens in a court of law when a jury makes its decision. Part 2 of 2.,27,Education,PT1M43S,103,2d,hd,FALSE,https://i.ytimg.com/vi/3buZ4Qq3GUc/maxresdefault.jpg,1,96,0,0,0,0
3,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,pgmLR0DKCNE,2015-12-01T20:10:43Z,1/12/15 20:10,Chapter 09: Relationship between hypothesis testing and jury decision (1/2),Discusses the many parallels between the hypothesis testing methodology and concepts and what happens in a court of law when a jury makes its decision. Part 1 of 2.,27,Education,PT10M1S,601,2d,hd,FALSE,https://i.ytimg.com/vi/pgmLR0DKCNE/maxresdefault.jpg,1,198,0,0,0,0
4,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,jkHSg7098QY,2015-12-01T03:07:04Z,1/12/15 3:07,Chapter 09: Hypothesis testing: Introduction to Directional Tests and Worked ex. 9.44 (3/3),"Step-by-step approach to solving a one sample, directional, t-test hypothesis tersting problem",27,Education,PT3M41S,221,2d,hd,FALSE,https://i.ytimg.com/vi/jkHSg7098QY/maxresdefault.jpg,1,247,1,0,0,0
5,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,kmmwqmeV4r4,2015-12-01T02:52:25Z,1/12/15 2:52,Chapter 6: Normal distribution worked problem (1/2),Intuitive approach to solving normal distribution problems.,27,Education,PT10M1S,601,2d,hd,FALSE,https://i.ytimg.com/vi/kmmwqmeV4r4/maxresdefault.jpg,1,341,1,0,0,0
6,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,2V0bgLdbpuY,2015-12-01T02:23:17Z,1/12/15 2:23,Chapter 6: Normal Distribution - Introduction (2/3),Interpreting the Normal Distribution as the 'limit' of a histogram.,27,Education,PT12M1S,721,2d,hd,FALSE,https://i.ytimg.com/vi/2V0bgLdbpuY/maxresdefault.jpg,1,317,3,0,0,0
7,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,DsdZHbPeyLs,2014-08-13T20:58:40Z,13/8/14 20:58,"Chapter 05: Introduction, derivation of the binomial distribution [1/4]",Introduction and derivation of the binomial distribution formula Part 1 of 4,27,Education,PT10M1S,601,2d,hd,FALSE,,1,537,0,0,0,0
8,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,Igs5mQx6aoU,2013-10-29T01:25:00Z,29/10/13 1:25,Chi square homework 12 2,Using StatCrunch to solve a chi-squared contingency table problem (test if two factors are independent).,27,Education,PT4M25S,265,2d,hd,FALSE,https://i.ytimg.com/vi/Igs5mQx6aoU/maxresdefault.jpg,1,540,0,0,0,0
9,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,3w4pa2FdzzI,2013-04-11T04:28:57Z,11/4/13 4:28,Anova 2-way Part 3 of 3,Part 3 of 3 2-way ANOVA-Example 11.7 using StatCrunch,27,Education,PT2M55S,175,2d,hd,FALSE,https://i.ytimg.com/vi/3w4pa2FdzzI/maxresdefault.jpg,1,413,1,0,0,0
10,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,FUzC44-m6cI,2013-04-11T04:04:46Z,11/4/13 4:04,ANOVA 2-Way Part 2,"Part 2 of 3: Demonstration, using StatCrunch, of how to solve a 2-way ANOVA with interaction (Example 11.7)",27,Education,PT2M38S,158,2d,hd,FALSE,https://i.ytimg.com/vi/FUzC44-m6cI/maxresdefault.jpg,1,661,0,0,0,0
11,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,z6admW1P-Bg,2013-04-11T04:00:02Z,11/4/13 4:00,Two-way ANOVA Example 11.7 - Part 1 of 3,Demonstration of how to solve a two-way ANOVA (Example 11.7) using StatCrunch. Part 1 of 3.,27,Education,PT6M18S,378,2d,hd,FALSE,https://i.ytimg.com/vi/z6admW1P-Bg/maxresdefault.jpg,1,1607,0,0,0,0
12,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,3igeAe7m8Yo,2012-07-08T23:02:58Z,8/7/12 23:02,Chapter 9 2 25 P value via StatCrunch, ,27,Education,PT3M12S,192,2d,hd,FALSE,https://i.ytimg.com/vi/3igeAe7m8Yo/maxresdefault.jpg,1,972,4,0,0,1
13,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,nJa6UqhUMDs,2011-09-27T18:19:05Z,27/9/11 18:19,Simulation of Sampling Distribution of the Mean -Chapter 7,"This demonstrates how to use Excel to create the random numbers, the 200 random means and calculate the mean and standard deviation of the 200 means. This is Parts 'a' and 'b' for Simulation 2 for DS 2334 and simulation 3 for DS 2333.",27,Education,PT5M37S,337,2d,sd,FALSE,https://i.ytimg.com/vi/nJa6UqhUMDs/maxresdefault.jpg,1,11877,11,1,0,0
14,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,1k3CELMGf9k,2011-09-22T05:41:23Z,22/9/11 5:41,StatCrunch demonstration using hw 3.2.3,Demonstration of the power and ease of using StatCrunch for almost all problems in this class on MyLab/Mastering.,27,Education,PT5M29S,329,2d,sd,FALSE,https://i.ytimg.com/vi/1k3CELMGf9k/maxresdefault.jpg,1,811,1,0,0,0
15,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,GWvbZ3yBxgw,2011-09-16T05:30:38Z,16/9/11 5:30,Chapter 6 Normal Dist HW 6 2 5,Chapter 6: Normal Distribution homework 6.2.5. Shows how to find the x-values that together encompass 99% of the given normal distribution.,27,Education,PT7M40S,460,2d,hd,FALSE,https://i.ytimg.com/vi/GWvbZ3yBxgw/maxresdefault.jpg,1,628,2,0,0,0
16,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,kcPkDx4SBWE,2011-06-24T07:36:52Z,24/6/11 7:36,Chapter 11-ANOVA-Two-Way. part 2,"Part 2 of 2: Chapter 11: Analysis of Variance (ANoVA) Two-way model: Two-way ANOVA including interaction. Demonstration ""How to"" export the data from the CourseCompass homework; to then modify it in Excel (to the 'univariate' data structure) and then import it into StatCrunch. Finally, the buttons to check to produce the two-way ANOVA table, the means summary and the interaction plots.",27,Education,PT4M28S,268,2d,hd,FALSE,https://i.ytimg.com/vi/kcPkDx4SBWE/maxresdefault.jpg,1,4180,7,0,0,6
17,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,pJq6dL3raoE,2011-06-24T07:21:00Z,24/6/11 7:21,Chapter 11-ANOVA-Two-Way. Part 1,"Part 1 of 2: Chapter 11: Analysis of Variance (ANoVA) Two-way model: Two-way ANOVA including interaction. Demonstration ""How to"" export the data from the CourseCompass homework; to then modify it in Excel (to the 'univariate' data structure) and then import it into StatCrunch. Finally, the buttons to check to produce the two-way ANOVA table, the means summary and the interaction plots.",27,Education,PT4M23S,263,2d,hd,FALSE,https://i.ytimg.com/vi/pJq6dL3raoE/maxresdefault.jpg,1,10899,3,1,0,0
18,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,HCqfrlNzWzc,2011-06-17T07:35:44Z,17/6/11 7:35,Chapter 9 2 25 P value via StatCrunch, ,27,Education,PT3M14S,194,2d,hd,FALSE,https://i.ytimg.com/vi/HCqfrlNzWzc/maxresdefault.jpg,1,17589,13,2,0,3
19,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,XfsH_LzpnPo,2011-05-02T04:58:24Z,2/5/11 4:58,Chapter 14- Multiple Regression Technology to calculate confidence interval,"Chapter 14- Multiple Regression Technology to calculate confidence interval Question 14.7.1 This demonstrates how to cut and paste data into StatCrunch (a freebee with CourseCompass) and then how to produce the multiple regresson output including 95% confidence intervals for a mean and 95 prediction values for specific X-values (x1=310 and x2=40, in this exampe).",27,Education,PT5M19S,319,2d,sd,FALSE,,1,8801,18,8,0,4
20,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,0O-Vnxko3Z4,2011-05-02T02:09:03Z,2/5/11 2:09,DS 2334 Simulation 3: Linear Regression,"DS 2334 Simulation 3: Linear Regression Describes in detail Steps 1 and 2 and discusses some of the theoretical implications that will help you with the other steps, as well.",27,Education,PT7M9S,429,2d,sd,FALSE,,1,1893,4,2,0,1
21,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,1viJz1Zfxgo,2010-10-13T22:29:32Z,13/10/10 22:29,Simulation 1: Excel histogram part 2 of 2,This video demonstrates how to create a histogram using the ToolPak AddIn.,27,Education,PT1M56S,116,2d,hd,FALSE,https://i.ytimg.com/vi/1viJz1Zfxgo/maxresdefault.jpg,1,2154,1,0,0,0
22,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,IjXLZrg1Y7E,2010-10-13T22:24:00Z,13/10/10 22:24,Simulation 1: Excel histogram part 1 of 2,This video demonstrates how to access the Analysis ToolPak AddIn and how to use the Randbetween function.,27,Education,PT2M17S,137,2d,hd,FALSE,https://i.ytimg.com/vi/IjXLZrg1Y7E/maxresdefault.jpg,1,3106,6,0,0,0
23,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,NiGCYEK-Q4Y,2010-05-03T21:31:57Z,3/5/10 21:31,Chapter 16: Time Series Analysis (3/4),Time Series Analysis: Worked example using the Seasonal Adjustment Method Part 3 of 4,27,Education,PT10M1S,601,2d,hd,FALSE,https://i.ytimg.com/vi/NiGCYEK-Q4Y/maxresdefault.jpg,1,42966,88,0,0,3
24,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,2b5qwNkL5S8,2010-05-03T03:21:01Z,3/5/10 3:21,Chapter 14: Mult. Reg: Dummy variables and Interaction,"Multiple Regression: Dummy variables, Interaction Multiplying an X1 and X2 to create an X3 variable, allows for testing if there is interaction between X1 and X2.",27,Education,PT4M16S,256,2d,hd,FALSE,https://i.ytimg.com/vi/2b5qwNkL5S8/maxresdefault.jpg,1,34786,62,9,0,7
25,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,xGu4gseCY2M,2010-05-03T02:59:30Z,3/5/10 2:59,Chapter 15: Multiple regression applied to a quadratic relationship,"Multiple regression applied to a quadratic relationship: Y=aX-sq +bX +c+epsilon. By adding a second cariable, X2 (which is really X-squared) and running the multiple regression, we can find the a, b and c by associating them with the b0, b2 and b2 respectively.",27,Education,PT6M15S,375,2d,hd,FALSE,https://i.ytimg.com/vi/xGu4gseCY2M/maxresdefault.jpg,1,6369,14,1,0,2
26,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,Lh_mkM8sDtE,2010-05-03T01:56:24Z,3/5/10 1:56,Chapter 16: Time Series Analysis (4/4),Time Series Analysis: Worked example using the Seasonal Adjustment Method Part 4 of 4,27,Education,PT3M46S,226,2d,hd,FALSE,https://i.ytimg.com/vi/Lh_mkM8sDtE/maxresdefault.jpg,1,33295,137,6,0,20
27,UCvgxdV-O4_nfN4HjiD4Lisw,Simcha Pollack,2S5kf73Cdws,2010-05-03T01:35:01Z,3/5/10 1:35,Chapter 16: Time Series Analysis (2/4),Time Series Analysis: Worked example using the Seasonal Adjustment Method Part 2 of 4,27,Education,PT10M1S,601,2d,hd,FALSE,https://i.ytimg.com/vi/2S5kf73Cdws/maxresdefault.jpg,1,67917,162,7,0,8
