position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,348a-EubKOg,2020-07-07T06:27:50Z,7/7/20 6:27,SQL OUTER JOIN,,27,Education,PT8M38S,518,2d,hd,TRUE,https://i.ytimg.com/vi/348a-EubKOg/maxresdefault.jpg,1,144,,,0,
2,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,BoW9oTRGoFA,2020-06-30T06:13:50Z,30/6/20 6:13,SQL INNER JOIN,,27,Education,PT8M33S,513,2d,hd,FALSE,https://i.ytimg.com/vi/BoW9oTRGoFA/maxresdefault.jpg,1,159,,,0,
3,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,bqZuegSt_Fw,2020-06-30T02:06:51Z,30/6/20 2:06,"SQL WHERE Function, OR AND Function, DISTINCT Function",,27,Education,PT10M11S,611,2d,hd,TRUE,https://i.ytimg.com/vi/bqZuegSt_Fw/maxresdefault.jpg,,155,,,0,
4,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,4ijm9zpOuRo,2020-06-30T02:06:38Z,30/6/20 2:06,SQL SELECT FROM Function,Database website: https://www.w3schools.com/sql/trysql.asp?filename=trysql_op_in,27,Education,PT11M19S,679,2d,hd,TRUE,https://i.ytimg.com/vi/4ijm9zpOuRo/maxresdefault.jpg,,143,,,0,
5,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,ceX08P04Azg,2020-06-29T22:27:23Z,29/6/20 22:27,How to Use the Database and SQL Tutorial Website,Database website: https://www.w3schools.com/sql/trysql.asp?filename=trysql_op_in,27,Education,PT5M,300,2d,sd,TRUE,,1,143,,,0,
6,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,rbX253HKp4s,2020-04-16T10:24:14Z,16/4/20 10:24,What Is Machine Learning? A Useful Quick & Easy No Mathematics Explanation,1. PowerPoint Slide Download https://drive.google.com/file/d/10MCuFsvWD3jC_uHOP8kIDK_02JtPeqYR/view?usp=sharing 2. Gradient Descent Algorithm Details: https://www.youtube.com/watch?v=sDv4f4s2SB8,27,Education,PT11M37S,697,2d,sd,FALSE,,1,99,,,0,
7,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,K6yHncPCnzY,2019-12-02T22:31:51Z,2/12/19 22:31,Sensitivity Analysis in Python,1. Sensivity Analysis in Python Code https://drive.google.com/open?id=1-WwbgV_YeS_ZcZEfj8WbPrucAoTO9PsA 2. Linear Programming in Python Lecture Video https://www.youtube.com/watch?v=1hECt5mVfWo&list=PL_iP0SGUzx9SR_33wUp58T1B-lzO8qNrq&index=4,27,Education,PT10M5S,605,2d,hd,FALSE,,1,1777,,,0,
8,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,1hECt5mVfWo,2019-12-01T03:18:40Z,1/12/19 3:18,"Linear Programming and Optimization Analysis in Python (Python and pulp Tutorial Starts from 7'53"")",1. Linear Programming Using Python & pulp Code: https://drive.google.com/open?id=1hr6CKld5uMggX4dSjDp159L9X5raK0jk 2. Linear Programming Using Python & pulp Tutorial Lecture PowerPoint https://drive.google.com/open?id=1LVbSeJfugQU4D8-vXbNJrQ4VJiYknRXU 3. Python (Jupyter) Installation Guide https://drive.google.com/open?id=0Bz9Gf6y-6XtTc0xXNUtLMXdXQTA 4. Introduction to Linear Programming (Optimization Analysis) Tutorial Videos https://www.youtube.com/watch?v=qvyCnB-GPsE&list=PL_iP0SGUzx9SFNNhZ7Zm2oEoXwJule4aO&index=2,27,Education,PT19M31S,1171,2d,hd,FALSE,,1,2131,,,0,
9,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,JwteBpgMYuE,2019-10-27T07:42:13Z,27/10/19 7:42,How to Upload Source Data to Jupyter Notebook in Python,How to import source data into Jupyter Notebook for data analysis.,27,Education,PT4M1S,241,2d,hd,FALSE,,1,7790,,,0,
10,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,YO8Ar66fYqQ,2019-06-20T17:52:08Z,20/6/19 17:52,Time Series Forecasting: Seasonality Analysis in Excel Using Holt-Winters Method,Holt-Winters seasonality analysis example in Excel. The Holt-Winters method is an algorithm for handling triple exponential smoothing.,27,Education,PT32M22S,1942,2d,sd,FALSE,,1,4553,,,0,
11,UCLSFrH7H3Memua6CV7bdVcQ,The Data Science Show,jigv9lWKT5g,2019-06-14T17:25:49Z,14/6/19 17:25,Time Series Forecasting: Autoregressive and Moving Average Approaches,Tutorial video using astsa package in R Source Data SalesByDays.csv Download Link https://drive.google.com/open?id=1dyK4FGy73yxT3fG7KX3-Boo5q8szLls4 Time Series Analysis R Script Download Link https://drive.google.com/open?id=1dpvTRz86_BnkZ48kT7N9l87Fo62DcTUg Lecture PowerPoint Download Link https://drive.google.com/open?id=1gP9bVeUDp7GDz4ecymNpMjz-m11QzfK2 ACF & PACF Analysis Lecture Video: https://www.youtube.com/watch?v=5Q5p6eVM7zM&list=PL_iP0SGUzx9RDm1hIaj1wc1YRV70vAJ7W&index=3 Stationary Data Assumption of Time Series Analysis Tutorial Video https://www.youtube.com/watch?v=BSFD_snVCWI,27,Education,PT19M32S,1172,2d,hd,FALSE,,1,1980,,,0,
