position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,GLcoTaSqHsQ,2020-08-05T15:02:21Z,5/8/20 15:02,"Panel: Creative Ways to Collect & Use Data for AI | H. Ngo, S. Sun, H. Kontozopoulos, and R. Tabrizi","A talk from the Toronto Machine Learning Summit: https://torontomachinelearning.com/ The video is hosted by https://towardsdatascience.com/ Speakers: Helen Ngo, Sarah Sun, Helen Kontozopoulos, and Rogayeh Tabrizi",27,Education,PT31M55S,1915,2d,hd,FALSE,https://i.ytimg.com/vi/GLcoTaSqHsQ/maxresdefault.jpg,,196,10,0,0,3
2,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,6rX7DwhBzxc,2020-07-29T17:33:49Z,29/7/20 17:33,"Determining Which ML Technologies To Act On | T. Pillai, S. Gandrabur, O. Shai & T. Poutanen","A talk from the Toronto Machine Learning Summit: https://torontomachinelearning.com/ The video is hosted by https://towardsdatascience.com/ About the speakers: Trishala Pillai: Partnerships Lead of Voice + AI Channel Partners @ Myplanet Simona Gandrabur: Sr. Director, AI Lead at the National Bank of Canada, Wealth Division Ofer Shai: Chief AI Officer in Omnia AI Tomi Poutanen: Chief AI Officer at TD About: Choosing which AI projects to invest in can be a daunting task. How do Layer6’s capabilities fit within TD bank? How does ML research get rolled into products at National Bank of Canada? How is Hudson’s Bay Company selecting the AI projects to build out? How has advanced research from Toronto’s Machine Learning Group help clients at Deloitte?",27,Education,PT59M41S,3581,2d,hd,FALSE,https://i.ytimg.com/vi/6rX7DwhBzxc/maxresdefault.jpg,,149,4,0,0,0
3,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,sPbpogsfSS4,2020-07-24T14:14:13Z,24/7/20 14:14,The ultimate guide to building maintainable Machine Learning pipelines using DVC | Déborah Mesquita,Learn the principles for building maintainable Machine Learning pipelines using DVC By Déborah Mesquita: https://towardsdatascience.com/@dehhmesquita http://deborahmesquita.com/ About DVC: https://dvc.org/ Read the full article here: https://towardsdatascience.com/the-ultimate-guide-to-building-maintainable-machine-learning-pipelines-using-dvc-a976907b2a1b,27,Education,PT28M35S,1715,2d,hd,FALSE,https://i.ytimg.com/vi/sPbpogsfSS4/maxresdefault.jpg,,392,14,0,0,0
4,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,Hf_u3YRnUkA,2020-07-14T14:43:41Z,14/7/20 14:43,AI in Clinical Decision Support: Roadblocks & Opportunities | Niki Athanasiadou,"A talk from the Toronto Machine Learning Summit: https://torontomachinelearning.com/ The video is hosted by https://towardsdatascience.com/ About the speaker: Having earned a PhD in molecular and cellular biology by the University of Edinburgh (UK), I have experience in computational modeling in genomic research, medicine, and population health. Notably, as a fellow in the NIH (US), I prototyped a pipeline that uses genomic and EHR-level information to create personalized models of disease risk. Alongside being published in international peer-reviewed journals, my work has earned several awards in the UK and US, including the NYC Open Data competition for a Data Science project in 2018. I am currently a data scientist in H2O.ai, working closely with companies in the healthcare industry helping them to expand their capabilities using AI. About the talk: As data processing and storage is becoming cheaper, the main barrier to entry for AI adoption is often data availability. This couldn’t be better exemplified than in medicine, where advancements in AI-enabled clinical decision support are mirroring innovations of how data are recorded and stored within healthcare systems. AI-enabled clinical decision support includes diagnosis and prognosis, and involves classification or regression algorithms that can predict the probability of a medical outcome or the risk for a certain disease. Several image classification algorithms using medical images have been approved by the FDA as diagnostic tools in the last two years, and more are certain to follow. Similarly, FDA approval has already been given to wearable devices that monitor vital signs to capture irregularities. These early examples demonstrate the huge potential of AI applications in medicine, as the volume and variety of medical data that get captured increases. More than 80-90% of US hospitals and physician offices are implementing some form of an EHR, and similar or even higher adoption rates are seen globally. Despite persistent outstanding issues, the lack of interoperability between EHR systems or patient history continuity, past barriers to adoption relating to data usability and availability are being overcome. Three examples of clinical decision support AI models built on EHR data will be discussed. (1) Accumulation of medical histories from birth alongside linked maternal EHR information in a healthcare facility, enabled the prediction of high obesity risk children as early as two years after birth, possibly allowing life-altering preventative interventions. (2) The Advanced Alert Monitoring system developed and deployed by Kaiser Permanente uses Intensive Care Unit (ICU) data to predict fatally deteriorating cases and alert staff to the need of life-saving interventions. (3) Last, but not least, clinical decision support systems are often required to provide sufficient explanations of their predictions. Global and local explanations of predictions regarding hospital readmissions demonstrate how interpretability techniques enable such explanations. As EHR information becomes standardized and enriched with eg. genomic information, medicine is poised to leverage AI breakthroughs to improve health outcomes.",27,Education,PT30M46S,1846,2d,hd,FALSE,https://i.ytimg.com/vi/Hf_u3YRnUkA/maxresdefault.jpg,,389,12,0,0,0
5,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,M5hyQN2YSm8,2020-07-09T16:54:53Z,9/7/20 16:54,Explain Yourself! Leveraging Language Models for Common Sense Reasoning | Nazneen Rajani,"A talk from the Toronto Machine Learning Summit: https://torontomachinelearning.com/ The video is hosted by https://towardsdatascience.com/ About the speaker: Nazneen Fatema Rajani is a senior research scientist at Salesforce Research. https://www.linkedin.com/in/nazneenrajani/ About the talk: Deep learning models perform poorly on tasks that require commonsense reasoning, which often necessitates some form of world-knowledge or reasoning over information not immediately present in the input. We collect human explanations for commonsense reasoning in the form of natural language sequences and highlighted annotations in a new dataset called Common Sense Explanations (CoS-E). We use CoS-E to train language models to automatically generate explanations that can be used during training and inference in a novel Commonsense Auto-Generated Explanation (CAGE) framework. CAGE improves the state-of-the-art by 10% on the challenging CommonsenseQA task. We further study commonsense reasoning in DNNs using both human and auto-generated explanations including transfer to out-of-domain tasks. Empirical results indicate that we can effectively leverage language models for commonsense reasoning.",27,Education,PT25M21S,1521,2d,hd,FALSE,https://i.ytimg.com/vi/M5hyQN2YSm8/maxresdefault.jpg,,547,11,2,0,0
6,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,X3SO-QMTX0s,2020-07-02T15:05:06Z,2/7/20 15:05,DevOps for ML and other Half-Truths: Processes and Tools for the ML Life Cycle | Kenny Daniel,"A talk from the Toronto Machine Learning Summit: https://torontomachinelearning.com/ The video is hosted by https://towardsdatascience.com/ About the speaker: Kenny Daniel is a founder and CTO of Algorithmia. He came up with the idea for Algorithmia while working on his PhD and seeing the plethora of algorithms that never saw the light of day. In response, he built the Algorithmia Cloud AI Layer, which has helped more than 80,000 developers share, pipeline, and consume more than 7000 models. Through his work with hundreds of companies implementing ML, he then created the Enterprise AI Layer, which helps the largest organizations in the world deploy, connect, manage, and secure machine learning operations at scale. Kenny holds degrees from Carnegie Mellon University and the University of Southern California, where he studied artificial intelligence and mechanism design.",27,Education,PT33M36S,2016,2d,hd,FALSE,https://i.ytimg.com/vi/X3SO-QMTX0s/maxresdefault.jpg,,1101,28,1,0,0
7,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,Wd8ccHC-w98,2020-06-30T19:35:07Z,30/6/20 19:35,A Fresh Look at Clustering Algorithms | Dmitry Selemir,"A deep dive into a new methodology for cluster recognition. By Dmitry Selemir: https://towardsdatascience.com/@datingpolygons ""The project is by no means in its final stages. Sharing the current thinking and going through code in some detail to get some feedback and see if this is worth developing further. Born out of frustration with the current methods ( at least the ones available via standard libraries), particularly the adhoc nature of all the main approaches, including the crowd favourite KMeans. I am not claiming that the proposed code is done in the most efficient manner possible, but I certainly made an effort to get there. Tips on improvement would be greatly appreciated."" Linkedin: https://www.linkedin.com/in/selemir/ Read the full article here: https://towardsdatascience.com/a-fresh-look-at-clustering-algorithms-c3c4caa1a691",27,Education,PT31M54S,1914,2d,hd,FALSE,https://i.ytimg.com/vi/Wd8ccHC-w98/maxresdefault.jpg,,580,9,0,0,0
8,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,QENqWUAPeAI,2020-06-26T00:30:34Z,26/6/20 0:30,A Bayesian Approach to Linear Mixed Models (LMM) in R | Eduardo Coronado Sroka,"There seems to be a general misconception that Bayesian methods are harder to implement than Frequentist ones. Sometimes this is true, but more often existing R and Python libraries can help simplify the process. By Eduardo Coronado Sroka: https://towardsdatascience.com/@ecoronado92 Read the full article here: https://towardsdatascience.com/a-bayesian-approach-to-linear-mixed-models-lmm-in-r-python-b2f1378c3ac8 Twitter: https://twitter.com/ecoronado92",27,Education,PT23M4S,1384,2d,hd,FALSE,https://i.ytimg.com/vi/QENqWUAPeAI/maxresdefault.jpg,,458,21,0,0,0
9,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,kMlAwjyFH2w,2020-06-26T00:08:07Z,26/6/20 0:08,A Bayesian Approach to Linear Mixed Models (LMM) in Python | Eduardo Coronado Sroka,"There seems to be a general misconception that Bayesian methods are harder to implement than Frequentist ones. Sometimes this is true, but more often existing R and Python libraries can help simplify the process. By Eduardo Coronado Sroka: https://towardsdatascience.com/@ecoronado92 Read the full article here: https://towardsdatascience.com/a-bayesian-approach-to-linear-mixed-models-lmm-in-r-python-b2f1378c3ac8 Twitter: https://twitter.com/ecoronado92",27,Education,PT24M56S,1496,2d,hd,FALSE,https://i.ytimg.com/vi/kMlAwjyFH2w/maxresdefault.jpg,,697,15,0,0,2
10,UCuHZ1UYfHRqk3-5N5oc97Kw,Towards Data Science,7IgJnO_6DpM,2020-06-24T17:27:04Z,24/6/20 17:27,A Flexible Framework for Entity Resolution | Hoyoung Jang & Cheng Lin,"A talk from the Toronto Machine Learning Summit: https://torontomachinelearning.com/ The video is hosted by https://towardsdatascience.com/ About the speakers: Hoyoung Jang, Lead Data Scientist at ThinkData Works Cheng Lin, Honours Student at McGill University About the talk: A critical component of data management and enrichment pipelines is connecting large datasets from various sources to form a holistic view; to make connections between entities across data sources. Oftentimes, these entities – such as individuals, organizations, or addresses – may not have a unique identifier that can be used as a key to detect duplicates or to merge datasets on. ThinkData has developed a scalable entity resolution engine to solve these problems. After experimenting with both deep learning and traditional NLP techniques, the team has found the best balance of accuracy and performance. Specifically, we have achieved near-parity in accuracy compared to Magellan (the leading entity resolution project in research), albeit with much better performance metrics and greater scalability. This talk will discuss the importance of entity resolution, our approach to solving real-world challenges, and the potential in using entity resolution and graph relationships in tandem.",27,Education,PT22M9S,1329,2d,hd,FALSE,https://i.ytimg.com/vi/7IgJnO_6DpM/maxresdefault.jpg,,356,6,0,0,0
