position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	uOwCiZKj2rg	2020-01-27T08:00:11Z	2020-01-27 08:00:11	Install Anaconda and Jupyter on Windows (2020)	Step by Step Instructions (Blog): https://medium.com/@GalarnykMichael/install-python-anaconda-on-windows-2020-f8e188f9a63d Installing Anaconda and Jupyter on Windows as well as Setting Python and Conda Path (environment variables). This tutorial also deals with conda, python, or jupyter is not recognized errors	28	Science & Technology	PT9M42S	582	2d	hd	false	https://i.ytimg.com/vi/uOwCiZKj2rg/maxresdefault.jpg		21125	207	3	0	31
2	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	BE8CVGJuftI	2019-10-16T02:09:45Z	2019-10-16 02:09:45	Boxplots using Matplotlib, Pandas, and Seaborn Libraries (Python)	This is a free preview video from the Using Python for Data Visualization Course: https://www.linkedin.com/learning/python-for-data-visualization/effectively-present-data-with-python Matplotlib has two prominent wrappers Seaborn and Pandas. After watching this video, you will be able to see when each library should be used. Specifically, you will create boxplots using Matplotlib, Pandas, and Seaborn.	28	Science & Technology	PT5M7S	307	2d	hd	false	https://i.ytimg.com/vi/BE8CVGJuftI/maxresdefault.jpg		15400	85	7	0	10
3	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	hHUZwVWfzbQ	2018-12-31T23:18:51Z	2018-12-31 23:18:51	Python Olympic Visualization Iteration 2 (Histogram Improvements)	From the 120 years of Olympic History Kaggle Dataset: https://www.kaggle.com/heesoo37/120-years-of-olympic-history-athletes-and-results This is a second iteration visualization using Python (Matplotlib, Pandas) and FFMPEG. Added x labels, and better titles. Also made the graphs look better for when there is no data. I think I will go with a type of graph that shows time trends next.	28	Science & Technology	PT59S	59	2d	hd	false			406	9	1	0	0
4	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	lfTauWTbwco	2018-12-31T19:46:22Z	2018-12-31 19:46:22	Python Olympic Visualization Iteration 1 (Histograms, Needs serious work)	From the 120 years of Olympic History Kaggle Dataset: https://www.kaggle.com/heesoo37/120-years-of-olympic-history-athletes-and-results This is a first pass visualization using Python (Matplotlib, Pandas) and FFMPEG.	28	Science & Technology	PT59S	59	2d	hd	false			420	7	0	0	1
5	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	kA_b9NlGUls	2018-11-13T06:58:27Z	2018-11-13 06:58:27	Normal Distribution and Standard Normal Table (Z-Table) Example	Material shown in video: https://towardsdatascience.com/how-to-use-and-create-a-z-table-standard-normal-table-240e21f36e53 z-tables: http://users.stat.ufl.edu/~athienit/Tables/Ztable.pdf	28	Science & Technology	PT4M47S	287	2d	hd	false	https://i.ytimg.com/vi/kA_b9NlGUls/maxresdefault.jpg		5642	12	0	0	1
6	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	hZPNPh5Zg3M	2018-11-06T09:10:24Z	2018-11-06 09:10:24	Python Sets and Set Theory	Blog Post: https://towardsdatascience.com/python-sets-and-set-theory-2ace093d1607 Twitter: https://twitter.com/galarnykmichael	28	Science & Technology	PT10M30S	630	2d	hd	false	https://i.ytimg.com/vi/hZPNPh5Zg3M/maxresdefault.jpg		619	12	0	0	1
7	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	AQCr0zU5Lzg	2018-11-05T06:55:49Z	2018-11-05 06:55:49	Differences between Python Tuples and Lists	Python Lists and List Manipulation: https://towardsdatascience.com/python-basics-6-lists-and-list-manipulation-a56be62b1f95 Python Tuples and Tuple Methods: https://medium.com/@GalarnykMichael/python-tuples-and-tuple-methods-4817a6bb6fff Python Sets and Set Theory: https://towardsdatascience.com/python-sets-and-set-theory-2ace093d1607	28	Science & Technology	PT3M13S	193	2d	hd	false	https://i.ytimg.com/vi/AQCr0zU5Lzg/maxresdefault.jpg		1743	20	0	0	2
8	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	sPf74-YmQuw	2018-05-06T05:10:24Z	2018-05-06 05:10:24	About me + Getting a Data Science Job	I gave a talk for Colorado State University Online that I got permission to republish on my youtube. The original title of the talk was Enlightening Talks “Data Analytics Knowledge is Power in Business”, but most of this is about making a portfolio for data science like careers. Let me Original Talk: https://youtu.be/YgVwNTki0nw	28	Science & Technology	PT30M26S	1826	2d	hd	false	https://i.ytimg.com/vi/sPf74-YmQuw/maxresdefault.jpg		728	28	0	0	3
9	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	mf5u2chPBjY	2018-03-19T07:20:34Z	2018-03-19 07:20:34	Setup Windows Server with Amazon Web Services (AWS) EC2 + Setup Data Science Environment	How to Setup Windows Server 2016 with Amazon Web Services (AWS) + Setup Python, R, RStudio, and Git. Tutorial Based on DataCamp Tutorial: https://www.datacamp.com/community/tutorials/aws-ec2-beginner-tutorial Install Python (Anaconda) on Windows: https://medium.com/@GalarnykMichael/install-python-on-windows-anaconda-c63c7c3d1444 Install R and RStudio on Windows: https://medium.com/@GalarnykMichael/install-r-and-rstudio-on-windows-5f503f708027 The end of the tutorial goes over how a question about how to set python and conda path on windows.	28	Science & Technology	PT18M1S	1081	2d	hd	false	https://i.ytimg.com/vi/mf5u2chPBjY/maxresdefault.jpg		66586	311	16	0	59
10	UC2QvKS5O6QhqaZi4LyAEUnA	Michael Galarnyk	n3Mh9SOSEUA	2017-12-19T08:20:05Z	2017-12-19 08:20:05	Install Git on Windows	Step by Step Tutorial: https://medium.com/@GalarnykMichael/install-git-on-windows-9acf2a1944f0 Install Git on Windows and how to avoid having Vim as your default editor	28	Science & Technology	PT5M16S	316	2d	hd	false			2361	30	0	0	9
