position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	5AQYOm0EVzE	2020-08-13T13:30:00Z	2020-08-13 13:30:00	How to Remove Comma in Excel (from Numbers and Text Strings)	In this video, I will show you how easily remove commas from numbers and from text strings in Excel. Download Example File: https://bit.ly/3iu4JGW The following techniques are covered in this video: (00:09) - Remove comma from numbers using Number Formatting (01:19) - Remove comma from numbers using NumberVlaue Formula (02:47) - Remove comma from Text using Find and Replace (03:49) - Remove comma from Text using SUBSTITUTE Function (05:23) - Remove comma from Text using Flash Fill Based on how your data is structured, you can use any of the above methods to delete commas in Excel. ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB ✅ Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ ✅ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course ✅ Free VBA course - https://bit.ly/excel-vba-course ✅ Free Power Query Course - https://bit.ly/power-query-course ✅ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT6M46S	406	2d	hd	true	https://i.ytimg.com/vi/5AQYOm0EVzE/maxresdefault.jpg	1	4306	281	2	0	33
2	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	7gJIMrFzwJ0	2020-07-23T14:30:02Z	2020-07-23 14:30:02	5 Awesome Excel Keyboard and Mouse Tricks	In this video, I cover some amazing keyboard and mouse tricks for Excel that will save you some time in your day-to-day work. The following Excel keyboard and mouse tricks are covered: (00:15) Quickly Move Rows and Columns in Excel (02:18) Quickly Copy Rows and Columns in Excel (03:29) Copy Worksheets (05:39) Insert Rows/Columns in Existing Dataset (06:42) Deselect Cells ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB ✅ Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ ✅ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course ✅ Free VBA course - https://bit.ly/excel-vba-course ✅ Free Power Query Course - https://bit.ly/power-query-course ✅ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT8M25S	505	2d	hd	true	https://i.ytimg.com/vi/7gJIMrFzwJ0/maxresdefault.jpg	1	7599	468	5	0	59
3	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	sgISE1MCqH8	2020-06-18T12:30:13Z	2020-06-18 12:30:13	How to Print Multiple Sheets (or Print All Sheets) in Excel in One Go	In this video, I will show you how to print multiple sheets (or print all sheets) in Excel in one go. The following topics are covered in this video: -- Print all sheets in one go -- Print selected sheets in one go -- Print same range of cells (selection) in all sheets -- Print varied ranges in multiple sheets You can also read about it here: https://trumpexcel.com/print-multiple-sheets-excel/ ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB ✅ Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ ✅ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course ✅ Free VBA course - https://bit.ly/excel-vba-course ✅ Free Power Query Course - https://bit.ly/power-query-course ✅ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT5M3S	303	2d	hd	true	https://i.ytimg.com/vi/sgISE1MCqH8/maxresdefault.jpg	1	5902	345	5	0	38
4	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	dv7sSVmjPlI	2020-06-11T12:30:05Z	2020-06-11 12:30:05	How to Add Plus Sign (+) Before Positive Number in Excel (Easy Custom Formatting Trick)	In this video, I will show you how to easily add a plus sign (+) before positive numbers in Excel. By default, when you add a plus sign before a number, Excel would remove it (as it considers it redundant). But in some cases, you may actually need the plus sign - for example, when you're entering numbers with country code. This can easily be done using a simple conditional formatting trick. You can read more about this here: https://trumpexcel.com/add-plus-sign-before-numbers-excel/ ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB ✅ Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ ✅ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course ✅ Free VBA course - https://bit.ly/excel-vba-course ✅ Free Power Query Course - https://bit.ly/power-query-course ✅ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT5M49S	349	2d	hd	true	https://i.ytimg.com/vi/dv7sSVmjPlI/maxresdefault.jpg	1	8397	552	2	0	49
5	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	_7Mx8iZctDk	2020-06-04T12:30:03Z	2020-06-04 12:30:03	How to LOCK Scroll Area in Excel | Limit Scrolling in the Worksheet	In this video, I will show you how to lock the scroll area in a worksheet in Excel so that the user can not select and specific outside of a range. This can easily be done by changing the properties of the worksheet. Also, since the scroll area property resets when you close and reopen the workbook, I will also show you how to make sure the only a specific area is allowed for the user and rest all are locked. ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB ✅ Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ ✅ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course ✅ Free VBA course - https://bit.ly/excel-vba-course ✅ Free Power Query Course - https://bit.ly/power-query-course ✅ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT5M58S	358	2d	hd	true	https://i.ytimg.com/vi/_7Mx8iZctDk/maxresdefault.jpg	1	8217	486	4	0	47
6	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	aQmnRLB_X6o	2020-04-30T13:30:01Z	2020-04-30 13:30:01	How to Convert Decimals to Fractions in Excel	In this video, I will show you how to convert decimals into fractions in Excel. This can easily be done using the Fraction formatting option in the Home tab in Excel. But that would always give you the fraction where the denominator is a single digit. But you can easily use other fraction formats and even create your own fraction format in Excel. ☕ If you find my Excel tips videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course/ Free VBA course - https://bit.ly/excel-vba-course Free Power Query Course - https://bit.ly/power-query-course Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT4M20S	260	2d	hd	true	https://i.ytimg.com/vi/aQmnRLB_X6o/maxresdefault.jpg	1	6573	290	2	0	22
7	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	TsqrVAdWRfE	2020-04-23T13:30:02Z	2020-04-23 13:30:02	3 Easy Ways to Remove Leading Apostrophe in Excel	A lot of people add an apostrophe to convert numbers to text. In this video, I will show you three simple ways to remove apostrophe in Excel. The following three methods to remove apostrophe in Excel are covered in this video: -- Using Text to Columns method -- Multiplying by 1 -- Using a Simple VBA code Below is the VBA code I have used in this video: Sub RemoveApostrophe() 'Code by Sumit Bansal from TrumpExcel.com With Worksheets("Sheet1").Columns(1) .NumberFormat = "General" .Value = .Value End With End Sub ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ Free Dashboard Course - https://bit.ly/free-excel-dashboard-course Free VBA course - https://bit.ly/excel-vba-course Free Power Query Course - https://bit.ly/power-query-course Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #ExcelTips #ExcelTutorial	27	Education	PT4M15S	255	2d	hd	true	https://i.ytimg.com/vi/TsqrVAdWRfE/maxresdefault.jpg	1	10637	348	8	0	29
8	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	yguT5TaqeXc	2020-04-02T12:30:24Z	2020-04-02 12:30:24	01 - Introduction to Excel Power Query (Get &Transform in Excel)	In this power Query Introduction video, I cover the need for Power Query and what it can do. With Power Query, you can easily extract, transform and load data into Excel. And if you need to do this quite often, you can also automate the flow so that it takes you a lot less time the next time you have to do this: ✅ Power Query Course Download files: https://bit.ly/power-query-download ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #PowerQuery #ExcelTips	27	Education	PT6M17S	377	2d	hd	true	https://i.ytimg.com/vi/yguT5TaqeXc/maxresdefault.jpg	1	15280	258	1	0	23
9	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	xy6ig3HuGXc	2020-04-02T12:30:16Z	2020-04-02 12:30:16	30 - Adding a Custom Column in Power Query in Excel	In this video, I will show you how to add a custom column in your data in Power Query editor ✅ Power Query Course Download files: https://bit.ly/power-query-download ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #PowerQuery #ExcelTips	27	Education	PT5M28S	328	2d	hd	true	https://i.ytimg.com/vi/xy6ig3HuGXc/maxresdefault.jpg	1	2793	47	1	0	3
10	UCi0jBGKMYsoefrRSjyUADag	TrumpExcel	tFXBXxyCTyY	2020-04-02T12:30:15Z	2020-04-02 12:30:15	26 - Columns Operations Rename Move Delete Duplicate in Power Query	In this video, I will show you how to perform some common column operations in Power Query, such as renaming the columns, moving the columns, deleting the columns and duplicating the columns. ✅ Power Query Course Download files: https://bit.ly/power-query-download ☕ If you find my Excel videos useful and would like to support me, you can buy me a coffee - https://www.buymeacoffee.com/SumitB Free Excel Course (Basic to Advanced) - https://trumpexcel.com/learn-excel/ Best Excel Books: https://trumpexcel.com/best-excel-books/ Subscribe to get awesome Excel Tips every week: https://www.youtube.com/user/trumpexcel?sub_confirmation=1 #Excel #PowerQuery #ExcelTips	27	Education	PT3M16S	196	2d	hd	true	https://i.ytimg.com/vi/tFXBXxyCTyY/maxresdefault.jpg	1	1598	39	1	0	1
