position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC8uU_wruBMHeeRma49dtZKA	Chandoo	365QLiCTm1Q	2020-08-12T08:26:03Z	2020-08-12 08:26:03	How to make animated charts in Power Point	Do you want to create chart animations for your upcoming Power Point presentation? You can use PPT animations to quickly set up animation on any chart by either category or series elements. This way you can create an animated line or column chart easily. Using the "add animation" feature, you can further enhance the animation by emphasizing a point or element of data. In this video, learn how to create chart animations with Microsoft Power Point. For a free example slides with animations, visit: ======================================= https://chandoo.org/wp/wp-content/uploads/2020/08/Animated-Charts.pptx Timestamps: ========== 0:00 Introduction 1:13 Demonstration of animation effect 2:10 How to animate the charts in PPT slideshow - line chart example 5:10 Automatically running animation instead of click activation 6:40 Animating the column chart 8:04 Pie chart animation in Power Point 8:48 Emphasizing a point on the graph with "Add animation" feature #PowerPoint #ChartAnimation	28	Science & Technology	PT10M21S	621	2d	hd	false	https://i.ytimg.com/vi/365QLiCTm1Q/maxresdefault.jpg	1	837	50	2	0	12
2	UC8uU_wruBMHeeRma49dtZKA	Chandoo	VQhwn7TlZY0	2020-08-04T07:45:26Z	2020-08-04 07:45:26	Easiest Lookup formulas for any situation - an interview with Oz Du Soliel (Excel on Fire)	Ever wondered which lookup formula to use given a situation? Me too. So I asked Oz to tell me how to get lookups right. In this informative interview, Oz talks about: 1) When to use VLOOKUP 2) When to use XLOOKUP 3) When to avoid lookup formulas and use DA functions like FILTER() 4) When to use Power Query We will be looking at 5 most common scenarios for lookups in business data situations and analysing them. These are 1) Simple lookups 2) Lookup from a column in the middle 3) Two way lookup 4) Lookup based on multiple conditions 5) Lookup and return all matching results Video topics: 0:00 - Introduction 1:23 - Oz on stage 4:24 - A quick look at the data and five scenarios 5:31 - Simple lookup 7:18 - Lookup in the middle - based on a column not on left 9:51 - Two way lookup (both column and row based conditions) 12:09 - Multiple conditions in lookups 15:22 - Multiple matching results with lookup formulas 17:45 - Power Query for getting multiple results or multiple conditions 20:00 - Closing remarks on what attitude we need to have to build necessary data skills Links & Resources: =============== Workbook from the video: https://chandoo.org/wp/wp-content/uploads/2020/07/best-lookups-with-oz.xlsx Oz's Excel on Fire Channel - https://www.youtube.com/user/WalrusCandy Chris Penn's article mentioned by Oz - https://www.christopherspenn.com/2017/05/avoid-magic-for-magicians-marketing-for-marketers/ #MsExcel #VLOOKUP #XLOOKUP Sound effects from zapsplat.com	28	Science & Technology	PT23M52S	1432	2d	hd	false	https://i.ytimg.com/vi/VQhwn7TlZY0/maxresdefault.jpg	1	1385	88	0	0	18
3	UC8uU_wruBMHeeRma49dtZKA	Chandoo	W7NVKjg56ZY	2020-07-29T07:45:00Z	2020-07-29 07:45:00	Excel Gantt chart with drill-down feature	Learn how to create a multi-level Gantt chart / Project Plan using Microsoft Excel. You can use this to drill-down to an individual module or department activities and see the progress, completion and upcoming items. For the gantt chart template and more visit: https://chandoo.org/wp/drill-down-gantt-chart-template/ ABOUT THE GANTT CHART TEMPLATE ================================ We can use Excel's conditional formatting, slicers and tables to quickly create an automated, interactive project plan (or Gantt chart). In this video, I will show you how to make such a chart from raw project plan data such as module, activities, start date and finish date. We will create the chart that can be filtered by a module (or other things like team, deliverable milestone etc.). We will be using slicers for the user interaction. Whenever there is new data or change to project plan, you can refresh the pivot table (shortcut CTRL+ALT+F5) and the gantt chart will be automatically updated. #GanttCharts #ProjectManagement #MsExcel	28	Science & Technology	PT17M51S	1071	2d	hd	false	https://i.ytimg.com/vi/W7NVKjg56ZY/maxresdefault.jpg	1	3188	126	3	0	24
4	UC8uU_wruBMHeeRma49dtZKA	Chandoo	vRVD7LXdc8k	2020-07-22T06:54:23Z	2020-07-22 06:54:23	Announcing Power BI Online Class from Chandoo org	Do you want to learn Power BI? I am very happy to announce my latest online class - Power BI Play Date. As the name suggests, this online course teaches you all about Power BI - right from Power Query for data management to Power Pivot for data analysis and finally Power BI for rich & immersive reporting. Please visit https://chandoo.org/wp/power-bi-play-date/ for full details & to enrol.	28	Science & Technology	PT7M2S	422	2d	hd	false			2178	69	1	0	21
5	UC8uU_wruBMHeeRma49dtZKA	Chandoo	Pq4ltHJcjeA	2020-07-16T08:59:59Z	2020-07-16 08:59:59	Wow your boss with Excel Stream Charts	Ever wanted to make a stream chart in Excel? Of course not. But that is the exact question I found myself asking after seeing the magnificent x-men appearances poster by Cedric Scherer. So I made this. In this video, learn what a stream chart or stream plot is, how to create one in Excel and how to make it all interactive and jazzy. Original design & inspiration: ======================= Cedric Scherer - https://github.com/Z3tt/TidyTuesday Excel Workbook, explanation & more: =============================== https://chandoo.org/wp/stream-graph-in-excel/ More advanced charting ideas: ========================= Tour de France - Distance vs. Pace - https://chandoo.org/wp/tour-de-france-radial-chart/ Stakeholder relationship network graph - https://chandoo.org/wp/network-relationship-chart/ Jittered plot with salary data - https://chandoo.org/wp/visualize-salary-increases-jitter-plot/ Joy plot in Excel - https://chandoo.org/wp/joyplot-in-excel/ and many more - https://chandoo.org/wp/tag/advanced-charting/ #StreamChartExcel #XMen	28	Science & Technology	PT29M32S	1772	2d	hd	false	https://i.ytimg.com/vi/Pq4ltHJcjeA/maxresdefault.jpg	1	1987	76	1	0	16
6	UC8uU_wruBMHeeRma49dtZKA	Chandoo	tqlawNFYrB0	2020-07-14T07:30:12Z	2020-07-14 07:30:12	How to get Grand Totals on Top for Excel Pivot Tables?	4 simple tricks 💥 to get grand totals on top for Excel pivot tables. Normally Excel won't allow you to place pivot table grand totals on top. But you can apply these tricks to get grand totals right where you want them. 1. Use 2 pivots instead 2. Use GETPIVOTDATA formula 3. Cell references or simple formulas 4. Use CUBE formulas In this video, I will explain all these tricks with demos. For sample file, visit: https://chandoo.org/wp/wp-content/uploads/2020/07/Grand-totals-on-top.xlsx Timestamps: 0:00 - introduction 1:50 - Using 2 pivot tables to get grand totals on top 4:02 - GETPIVOTDATA method 5:40 - Cell references & XLOOKUP method 8:21 - CUBE formula approach 12:06 - Recap of all 4 methods More on Pivot Tables: Introduction - https://chandoo.org/wp/excel-pivot-tables-tutorial/ Data model & relationships - https://chandoo.org/wp/introduction-to-excel-2013-data-model-relationships/ Time saving tricks - https://chandoo.org/wp/pivot-table-time-saving-tricks/ Advanced Pivot Table tricks - https://chandoo.org/wp/advanced-pivot-tables/ Playlists on Pivot Tables: Pivot Tables: https://www.youtube.com/playlist?list=PLmejDGrsgFyAurpKfvdwBsvBsRDsgvr2j Advanced Pivot Tables: https://www.youtube.com/playlist?list=PLmejDGrsgFyBH0zkiwAXsDLMMyGEO2hsx #PivotTables #ExcelTricks	28	Science & Technology	PT12M52S	772	2d	hd	false	https://i.ytimg.com/vi/tqlawNFYrB0/maxresdefault.jpg	1	2417	134	1	0	35
7	UC8uU_wruBMHeeRma49dtZKA	Chandoo	YK4IDGz46bc	2020-07-06T07:30:01Z	2020-07-06 07:30:01	6 Massively time saving Pivot Table tricks (Don't miss #4 & #6) ⏰	Pivot Tables are very useful. I have blogged and made videos about them many times already. But in this video, let me share some of my most favourite time saving tips. For more on this video, visit - https://chandoo.org/wp/pivot-table-time-saving-tricks/ 0:00 - Intro 0:51 - Double click to expand details of Pivot 1:37 - Format quickly with this right click option 2:20 - Include filtered items in subtotals 4:05 - Consistent axis in Pivot Charts 5:08 - Repeat item labels in tabular layout 5:55 - Multiple pages with Report filters More videos on Pivot Tables: Introduction to Pivot Tables - https://youtu.be/Kg7aZBtAWd0 Distinct count in Pivot Tables - https://youtu.be/QiGCsoKY1Is Link slicers to more than one pivot - https://youtu.be/0HU8Hej6ong Pivot Tables when you have lots of data - https://youtu.be/u4aeZ4ukrqI Advanced Pivot Table Tricks - Play list - https://www.youtube.com/playlist?list=PLmejDGrsgFyBH0zkiwAXsDLMMyGEO2hsx More articles on Pivot Tables: Introduction & 101 - https://chandoo.org/wp/excel-pivot-tables-tutorial/ Advanced Tricks - https://chandoo.org/wp/advanced-pivot-tables/ Working with data model & relationships - https://chandoo.org/wp/introduction-to-excel-2013-data-model-relationships/ #PivotTables #ExcelTips #Productivity	28	Science & Technology	PT7M22S	442	2d	hd	false	https://i.ytimg.com/vi/YK4IDGz46bc/maxresdefault.jpg	1	4530	256	3	0	59
8	UC8uU_wruBMHeeRma49dtZKA	Chandoo	S9_COxQ-_8E	2020-06-23T07:45:00Z	2020-06-23 07:45:00	Bill Jelen - MrExcel's Best Excel Tips (including a secret tip from FBI 😮)	What can I say about this? This is seriously awesome. I am proud to present Bill Jelen's best Excel tips. This features the magic cell by Dan, Copy paste jiggle by Dave, filtering tricks from mystery dude in Fort Wayne and more filtering goodness from FBI!!! - Wow. Just watch it already. Visit Bill's channel - https://www.youtube.com/user/bjele123 Bill's website - https://mrexcel.com #MrExcel #BestExcelTips	28	Science & Technology	PT25M12S	1512	2d	hd	false	https://i.ytimg.com/vi/S9_COxQ-_8E/maxresdefault.jpg	1	3305	191	0	0	73
9	UC8uU_wruBMHeeRma49dtZKA	Chandoo	P7w6JeNS_SA	2020-06-18T07:45:00Z	2020-06-18 07:45:00	Top 10 Excel formulas for IT people	🏆 Are you AND(“In IT”, “Use Excel”)? Then this video is for you. Here is my list of top 10 Excel formulas for people in IT. As software miners use Excel differently than other folks, this video highlights important use cases for you. These examples will particularly help project managers, IT analysts, testing people and business analysts. 👉👉👉Don’t forget to download the example workbook from here: https://chandoo.org/wp/top-10-excel-formulas-for-it-people/ Timestamps for the 10 formulas: 0:00 Intro 1:03 Counting values between dates 3:14 Lookup an item 5:12 Gap between two dates 7:34 Working days between two dates 9:46 nth smallest item 11:33 Moving averages 12:58 Extract portions from text 16:14 Combine text values 17:30 Make random data 20:25 Avoiding errors Got a suggestion or question? Please post them in the comments. #ExcelforITPeople #TopExcelFormulas	28	Science & Technology	PT22M14S	1334	2d	hd	false		1	6979	223	3	0	30
10	UC8uU_wruBMHeeRma49dtZKA	Chandoo	ycAhMMYlHjs	2020-06-16T07:45:00Z	2020-06-16 07:45:00	How to find last non-blank value - Excel lookup challenge	Here is a tricky Excel lookup problem. You want to find the last non-blank value for a lookup value. Each value you want to lookup has multiple items in adjacent columns. You need to get the very last item as answer. Watch the video to learn 3 possible solutions to this problem. For more on this, visit https://chandoo.org/wp/lookup-last-non-blank-value/ You can download sample workbook there. #lookupLastNonBlankValue #vlookup #xlookup	28	Science & Technology	PT14M2S	842	2d	hd	false		1	1256	71	0	0	21
