position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	QOJfyp0KMmM	2020-07-23T06:51:14Z	2020-07-23 06:51:14	I Created An A.I. to DESTROY Tetris	Ahh yeah its tetris, you might have heard of it. Tetris is a game which i am making, i have made it, thats what the video is, god what a terrible description. I create an AI to beat the world record for the longest tetris game. Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5 Art created by @Dachi.art https://www.instagram.com/dachi.art	27	Education	PT17M25S	1045	2d	hd	false	https://i.ytimg.com/vi/QOJfyp0KMmM/maxresdefault.jpg	1	1595115	217059	1957	0	21239
2	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	62IheUGZQLU	2020-03-23T21:00:01Z	2020-03-23 21:00:01	A.I. Learns to Run (Creature Creator)	Have a go yourself http://www.thebigcb.com/projects/CreatureCreator (FYI it will take a while to load because i suck at websites) Also don't use my website on mobile because it don't be workin. Or edge don't use edge. Or probably some other weird browsers. Use chrome, have some class. Record what you make and send it to me at one of these places Twitter: https://twitter.com/code_bullet Discord: https://discord.gg/UZDMYx5 Patreon: https://www.patreon.com/CodeBullet Art created by @Dachi.art https://www.instagram.com/dachi.art	23	Comedy	PT16M38S	998	2d	hd	false	https://i.ytimg.com/vi/62IheUGZQLU/maxresdefault.jpg	1	2951832	180818	3892	0	13222
3	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	tjQIO1rqTBE	2019-11-28T09:17:31Z	2019-11-28 09:17:31	I Created a PERFECT SNAKE A.I.	I used math, science and tears to create a snake AI which always wins (sometimes). Massive thanks to brilliant.org for supporting this episode, check them out here: https://www.brilliant.org/CodeBullet Also check out John Tapsells work: https://johnflux.com/ Heres my stuff Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5 Art created by @Dachi.art https://www.instagram.com/dachi.art	27	Education	PT24M4S	1444	2d	hd	false	https://i.ytimg.com/vi/tjQIO1rqTBE/maxresdefault.jpg	1	6874129	301487	5663	0	19052
4	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	-NJ9frfAWRo	2019-07-13T01:56:53Z	2019-07-13 01:56:53	A.I. Learns to play Snake using Deep Q Learning	Can an AI learn to play the perfect game of Snake? Huge thanks to Brilliant.org for supporting this channel, check them out: https://www.brilliant.org/CodeBullet Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5 Art created by @Dachi.art https://www.instagram.com/dachi.art	27	Education	PT15M15S	915	2d	hd	false	https://i.ytimg.com/vi/-NJ9frfAWRo/maxresdefault.jpg		2844936	126867	2103	0	9918
5	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	K-wIZuAA3EY	2019-04-20T02:11:50Z	2019-04-20 02:11:50	A.I. Learns To Walk	Watch AIs learn to walk while avoiding a DEATH LAZER. Huge thanks to Brilliant.org for supporting this channel, check them out: https://www.brilliant.org/CodeBullet Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5 Art created by @Dachi.art https://www.instagram.com/dachi.art	27	Education	PT16M15S	975	2d	hd	false	https://i.ytimg.com/vi/K-wIZuAA3EY/maxresdefault.jpg	1	7699223	253769	7454	0	16235
6	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	90oG7uyZT-4	2019-03-24T06:12:12Z	2019-03-24 06:12:12	1 Million Subscriber Special. Code Bullet QNA	Here be the questions - how did you learn to code 0:43 - whats the best way to learn coding 0:54 - how should i get started with ai 1:27 - what was the worst video you ever had to make 3:07 - what are you planning on doing after uni 4:11 - merch??? 5:05 - University vs online courses 5:35 - are you ok? 6:46 - this ones just an insult 7:05 - shoutouts and stuff 7:16 Channels that are pretty good aye thinMatrix: https://www.youtube.com/ThinMatrix Hopson: https://www.youtube.com/channel/UCeQhZOvNKSBRU0Mdg7V44wA Jabrils: https://www.youtube.com/channel/UCQALLeQPoZdZC4JNUboVEUg Code Parade: https://www.youtube.com/CodeParade Carykh : https://www.youtube.com/carykh the coding train: https://www.youtube.com/TheCodingTrain 3Blue1Brown: https://www.youtube.com/3Blue1Brown Seth Bling: https://www.youtube.com/SethBling sentdex: https://www.youtube.com/sentdex William Osman: https://www.youtube.com/WilliamOsman Michael Reeves: https://www.youtube.com/Michaelreeves Simone Giertz: https://www.youtube.com/SimoneGiertz Siraj Raval: https://www.youtube.com/SirajRaval Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5 Art created by @Dachi.art https://www.instagram.com/dachi.art	27	Education	PT11M53S	713	2d	hd	false	https://i.ytimg.com/vi/90oG7uyZT-4/maxresdefault.jpg	1	773723	48028	253	0	2900
7	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	r428O_CMcpI	2019-02-19T23:37:05Z	2019-02-19 23:37:05	A.I. Learns to DRIVE	Using a brand new algorithm, QLearning, I teach an AI to drive. Huge thanks to Brilliant for sponsoring this video, check them out at https://brilliant.org/codebullet Art created by @Dachi.art https://www.instagram.com/dachi.art Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5	27	Education	PT16M17S	977	2d	hd	false	https://i.ytimg.com/vi/r428O_CMcpI/maxresdefault.jpg	1	4271261	187700	2731	0	12355
8	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	fURH8z3hb6Y	2019-02-13T02:06:04Z	2019-02-13 02:06:04	BREAKING Storm The House with an AUTO CLICKER	Can I break storm the house by clicking over 300 times a second? Lets find out. Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5 Hi Simon	27	Education	PT11M24S	684	2d	hd	false	https://i.ytimg.com/vi/fURH8z3hb6Y/maxresdefault.jpg	1	9470185	249255	4914	0	11417
9	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	wHRubMACen0	2019-01-24T06:52:05Z	2019-01-24 06:52:05	DESTROYING Piano Tiles with an Auto clicker	I write an AI to play piano tiles and its pretty good Huge thanks to Brilliant.org for supporting this channel, check them out at https://brilliant.org/codebullet Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5	27	Education	PT10M42S	642	2d	hd	false	https://i.ytimg.com/vi/wHRubMACen0/maxresdefault.jpg	1	11576636	319298	7557	0	20111
10	UC0e3QhIYukixgh5VVpKHH9Q	Code Bullet	WSW-5m8lRMs	2018-12-21T23:27:15Z	2018-12-21 23:27:15	A.I. Learns to play Flappy Bird	AI teaches itself to play flappy bird huge thanks to Brilliant.org for sponsoring this video check them out: https://www.brilliant.org/codebullet Twitter: https://twitter.com/code_bullet Patreon: https://www.patreon.com/CodeBullet Discord: https://discord.gg/UZDMYx5	27	Education	PT7M46S	466	2d	hd	false	https://i.ytimg.com/vi/WSW-5m8lRMs/maxresdefault.jpg	1	12049627	285882	6994	0	12014
