position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	1KO_HZtHOWI	2020-07-31T14:30:00Z	2020-07-31 14:30:00	Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos	In this Python Programming Tutorial, we'll be learning how to get the most popular videos in a YouTube playlist. I use scripts like this a lot personally when I don't have time to watch an entire playlist and want to only see the most-watched videos. Surprisingly YouTube doesn't have this ability on their site, but Python allows us to do this programmatically. Let's get started... The code for this video can be found at: https://bit.ly/YouTubeAPI-03 YouTube API Tutorial - https://youtu.be/th5_9woFJmk F-Strings Tutorial - https://youtu.be/nghuHvKLhJA Sorting Tutorial - https://youtu.be/D3JvDWO-BY4 Slicing Tutorial - https://youtu.be/ajrtAuDg3yw YouTube API Docs - https://developers.google.com/youtube/v3 Google API Python Client - https://github.com/googleapis/google-api-python-client ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python	27	Education	PT22M8S	1328	2d	hd	false	https://i.ytimg.com/vi/1KO_HZtHOWI/maxresdefault.jpg	1	11782	565	3	0	96
2	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	coZbOM6E47I	2020-06-10T15:53:26Z	2020-06-10 15:53:26	Python YouTube API Tutorial: Calculating the Duration of a Playlist	In this Python Programming Tutorial, we'll be learning how to calculate the duration of a YouTube playlist. The duration of a playlist is likely one of the first things people will look for before watching, but YouTube doesn't currently have this information available on their site. So we will use the API to calculate this for us. Let's get started... The code for this video can be found at: https://bit.ly/YouTubeAPI-02 YouTube API Tutorial - https://youtu.be/th5_9woFJmk Regular Expressions Tutorial - https://youtu.be/K8L6KVGG-7o Datetime Tutorial - https://youtu.be/eirjjyP2qcQ YouTube API Docs - https://developers.google.com/youtube/v3 Google API Python Client - https://github.com/googleapis/google-api-python-client ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python	27	Education	PT37M38S	2258	2d	hd	false	https://i.ytimg.com/vi/coZbOM6E47I/maxresdefault.jpg	1	17832	739	5	0	142
3	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	th5_9woFJmk	2020-05-29T16:17:07Z	2020-05-29 16:17:07	Python YouTube API Tutorial: Getting Started - Creating an API Key and Querying the API	In this Python Programming Tutorial, we'll be learning how to use the YouTube API. We will learn how to create an API Key and connect to the YouTube API using Python. This will allow us to get public information from YouTube and do some analysis. In later videos, I will show how I use this API to grab useful information that might not be easily found on YouTube's site directly. Let's get started... The code for this video can be found at: https://bit.ly/YouTubeAPI-01 Google Developers Console - https://console.developers.google.com/ Google API Python Client - https://github.com/googleapis/google-api-python-client YouTube API - https://developers.google.com/youtube/v3 Environment Variable Tutorial - https://youtu.be/5iWhQWVXosU Virtual Environment Tutorial - https://youtu.be/Kg1Yvry_Ydk ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python	27	Education	PT20M49S	1249	2d	sd	false	https://i.ytimg.com/vi/th5_9woFJmk/maxresdefault.jpg	1	37535	1845	9	0	199
4	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	RO6JxDOVwLQ	2020-05-11T13:00:10Z	2020-05-11 13:00:10	Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation	In this Python Programming Tutorial, we'll be learning how to use the Patreon API and the Pillow library to automate the creation of images. I'm specifically using this to add credits to the end of my videos to thank my supporters. This video will focus on Patreon supporters specifically, but in the next video, we will see how to use the YouTube API to do the same thing with YouTube Members. Let's get started... Patreon API Documentation - https://docs.patreon.com/ Virtual Environment Tutorial - https://youtu.be/Kg1Yvry_Ydk Environment Variable Tutorial - https://youtu.be/5iWhQWVXosU List Comprehensions Tutorial - https://youtu.be/3dt4OGnU5sM Pillow Tutorial - https://youtu.be/6Qs3wObeWwc ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python	27	Education	PT52M33S	3153	2d	hd	false	https://i.ytimg.com/vi/RO6JxDOVwLQ/maxresdefault.jpg	1	20206	655	4	0	77
5	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	N6hyN6BW6ao	2020-04-01T16:30:04Z	2020-04-01 16:30:04	Python Pandas Tutorial (Part 11): Reading/Writing Data to Different Sources - Excel, JSON, SQL, Etc	In this video, we will be learning how to import and export data from multiple different sources. We will cover CSV, JSON, Excel, SQL, and more. This video is sponsored by Brilliant. Go to https://brilliant.org/cms to sign up for free. Be one of the first 200 people to sign up with this link and get 20% off your premium subscription. In this Python Programming video, we will be learning how to load and save data using multiple different sources. We will learn how to read/write data to CSV, JSON, Excel, SQL, and more. This covers the vast majority of formats you'll see in the data science field and will be extremely useful to know. Let's get started... Video Timestamps: Read CSV - 0:56 Write CSV - 3:20 Write TSV - 4:40 Read TSV - 6:00 Write Excel - 6:15 Read Excel - 10:42 (Start at 6:15 to see installed packages) Write JSON - 12:18 Read JSON - 15:41 Write SQL - 16:59 Read SQL - 24:57 (Start at 16:59 to see installed packages) The code for this video can be found at: bit.ly/Pandas-11 StackOverflow Survey Download Page - http://bit.ly/SO-Survey-Download Environment Variables Tutorial - https://youtu.be/5iWhQWVXosU ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Pandas	27	Education	PT32M45S	1965	2d	hd	false	https://i.ytimg.com/vi/N6hyN6BW6ao/maxresdefault.jpg	1	36447	1239	6	0	170
6	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	0Q_8taHAuQQ	2020-03-23T19:47:33Z	2020-03-23 19:47:33	Live Stream - Chat, Q&A, Brews, and Coding	This is my first live stream. I figured since many of us are staying home at the moment we could have a laid back chat, Q&A, drink some brews, and do some sample coding problems. ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python	27	Education	PT1H1M21S	81	2d	hd	false	https://i.ytimg.com/vi/0Q_8taHAuQQ/maxresdefault.jpg	1	37940	1977	9	0	231
7	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	UFuo7EHI8zc	2020-03-17T19:02:48Z	2020-03-17 19:02:48	Python Pandas Tutorial (Part 10): Working with Dates and Time Series Data	In this video, we will be learning how to work with DateTime and Time Series data in Pandas. This video is sponsored by Brilliant. Go to https://brilliant.org/cms to sign up for free. Be one of the first 200 people to sign up with this link and get 20% off your premium subscription. In this Python Programming video, we will be learning several different concepts about working with DateTimes and Time Series data in Pandas. We will learn how to convert values to datetimes, how to filter by dates, how to resample our dates to do some more in-depth analysis, and more. Let's get started... The code for this video can be found at: http://bit.ly/Pandas-10 StackOverflow Survey Download Page - http://bit.ly/SO-Survey-Download Datetime Formatting Codes - http://bit.ly/python-dt-fmt Pandas Date Offset Codes - http://bit.ly/pandas-dt-fmt ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Pandas	27	Education	PT35M41S	2141	2d	hd	false	https://i.ytimg.com/vi/UFuo7EHI8zc/maxresdefault.jpg	1	37176	1381	4	0	159
8	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	KdmPHEnPJPs	2020-02-24T14:00:04Z	2020-02-24 14:00:04	Python Pandas Tutorial (Part 9): Cleaning Data - Casting Datatypes and Handling Missing Values	In this video, we will be learning how to clean our data and cast datatypes. This video is sponsored by Brilliant. Go to https://brilliant.org/cms to sign up for free. Be one of the first 200 people to sign up with this link and get 20% off your premium subscription. In this Python Programming video, we will be learning how to clean our data. We will be learning how to handle remove missing values, fill missing values, cast datatypes, and more. This is an essential skill in Pandas because we will frequently need to modify our data to our needs. Let's get started... The code for this video can be found at: http://bit.ly/Pandas-09 StackOverflow Survey Download Page - http://bit.ly/SO-Survey-Download ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Pandas	27	Education	PT31M54S	1914	2d	hd	false	https://i.ytimg.com/vi/KdmPHEnPJPs/maxresdefault.jpg	1	31823	1245	4	0	94
9	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	txMdrV1Ut64	2020-02-14T14:38:33Z	2020-02-14 14:38:33	Python Pandas Tutorial (Part 8): Grouping and Aggregating - Analyzing and Exploring Your Data	In this video, we will be learning how to group and aggregate our data. This video is sponsored by Brilliant. Go to https://brilliant.org/cms to sign up for free. Be one of the first 200 people to sign up with this link and get 20% off your premium subscription. In this Python Programming video, we will be learning how to group and aggregate our data. This will allow us to explore our data in ways we have not yet done in this series. We will be able to answer questions such as: "What is the most popular social media site for each country?" We will be using the groupby method, and also some aggregate functions such as mean, median, value_counts, etc. Let's get started... Video Timestamps: Aggregate Column - 2:00 Aggregate DataFrame - 3:55 Value Counts - 7:51 Grouping - 12:30 Multiple Aggregates on Group - 26:00 People Who Know Python By Country - 27:20 Practice Question - 34:20 Concat Series - 37:27 The code for this video can be found at: http://bit.ly/Pandas-08 StackOverflow Survey Download Page - http://bit.ly/SO-Survey-Download ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Pandas	27	Education	PT49M6S	2946	2d	hd	false	https://i.ytimg.com/vi/txMdrV1Ut64/maxresdefault.jpg	1	54088	1923	9	0	274
10	UCCezIgC97PvUuR4_gbFUs5g	Corey Schafer	T11QYVfZoD0	2020-02-06T14:30:02Z	2020-02-06 14:30:02	Python Pandas Tutorial (Part 7): Sorting Data	In this video, we will be learning how to sort DataFrames in Pandas. This video is sponsored by Brilliant. Go to https://brilliant.org/cms to sign up for free. Be one of the first 200 people to sign up with this link and get 20% off your premium subscription. In this Python Programming video, we will be learning how to sort our data. We will learn how to sort single columns, sort multiple columns, and view the largest and smallest values in a DataFrame. Let's get started... The code for this video can be found at: http://bit.ly/Pandas-07 StackOverflow Survey Download Page - http://bit.ly/SO-Survey-Download ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Pandas	27	Education	PT15M40S	940	2d	hd	false	https://i.ytimg.com/vi/T11QYVfZoD0/maxresdefault.jpg	1	32178	1334	5	0	92
