position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	HrNaKSR1dGM	2020-08-15T16:30:11Z	2020-08-15 16:30:11	Sharing data with other developers in google data studio	Google Data Studio Beginners Tutorial for sharing data with other developers. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT3M10S	190	2d	hd	false		1	63	5	0	0	0
2	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	cNrvX3z12y0	2020-08-14T04:30:12Z	2020-08-14 04:30:12	Data Blending in Google Data Studio | Joining Data | Left Join	Google Data Studio Beginners Tutorial for blending data which helps in data join and more specifically a left join between two data sets. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT8M37S	517	2d	hd	false		1	44	1	0	0	0
3	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	7-dhnxMeZ3s	2020-08-14T04:30:11Z	2020-08-14 04:30:11	Scheduling Data Refresh in Google Data Studio	Google Data Beginners Tutorial for scheduling data refresh at regular interval. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT3M6S	186	2d	hd	false		1	20	0	0	0	0
4	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	BA5E2lTk4DY	2020-08-13T16:30:11Z	2020-08-13 16:30:11	Adding Additional Data Sources in Google Data Studio	Google Data Studio Beginners Tutorial for adding additional data sources for enhanced data analysis. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT2M24S	144	2d	hd	false		1	26	1	0	0	0
5	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	II-wZvOd8EA	2020-08-13T04:30:14Z	2020-08-13 04:30:14	Google Data Studio Live and Extract Data Connection	Google Data Studio beginners tutorial for connecting with live data connection and extract data connection for fast retrieval of data. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT7M46S	466	2d	hd	false		1	39	3	0	0	1
6	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	O6i5NAjftso	2020-08-12T16:30:12Z	2020-08-12 16:30:12	Connecting Excel file with Google data Studio	Google data studio beginners tutorial for connecting excel file and importing data inside data studio. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT2M22S	142	2d	hd	false		1	38	2	0	0	0
7	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	5uSUXJSffZ0	2020-08-12T04:30:15Z	2020-08-12 04:30:15	Connecting YouTube Account with Google Data Studio	Google data studio beginners tutorial for connecting youtube account and import entire youtube data in data studio for further custom data analysis. You'll get all the video titles and links etc. that you can further share with your team. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT5M27S	327	2d	hd	false		1	39	1	0	0	0
8	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	PZM5iUStlmY	2020-08-11T16:30:12Z	2020-08-11 16:30:12	How to import CSV files data in Google Data Studio	Google data studio beginners tutorial for importing CSV files data. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT2M53S	173	2d	hd	false		1	54	2	0	0	0
9	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	fkxBFhCEfSQ	2020-08-11T04:30:13Z	2020-08-11 04:30:13	How to Create Tree Map Chart in Google Data Studio	Google Data Studio Beginners Tutorial for creating tree map chart for efficient data visualization of multiple dimension values. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT3M50S	230	2d	hd	false		1	42	2	0	0	0
10	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	qh5QaSWjh78	2020-08-10T16:30:12Z	2020-08-10 16:30:12	How to Create Pivot Table in Google Data Studio	Google data studio beginners tutorial for creating pivot table chart. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT3M56S	236	2d	hd	false		1	60	1	0	0	0
11	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	ejJRjx7H7ps	2020-08-10T04:30:13Z	2020-08-10 04:30:13	How to Create Scatter Chart in Google Data Studio	Google Data Studio tutorial for beginners to create scatter chart for visualizing data. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT3M41S	221	2d	hd	false		1	45	2	0	0	0
12	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	hud1Yw_omns	2020-08-09T16:30:11Z	2020-08-09 16:30:11	How to Create GEO Map Chart in Google Data Studio	Google Data Studio beginners tutorial for creating Geo map chart step by step for visualizing geography based dimensions and measures data. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT5M23S	323	2d	hd	false		1	60	1	0	0	0
13	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	PZxgV9EdtZE	2020-08-09T04:30:13Z	2020-08-09 04:30:13	How to Create Google Map in Google Data Studio	Google data studio tutorial for beginners on how to create google maps chart for visualizing dimension and measures data. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT2M56S	176	2d	hd	false		1	84	2	0	0	0
14	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	m6qvLMDYd0g	2020-08-08T16:30:11Z	2020-08-08 16:30:11	Google Data Studio Table Chart	Google Data Studio Tutorial for Beginners for creating data tables which shows dimensions and measures in interactive manner. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT4M45S	285	2d	hd	false		1	71	3	0	0	0
15	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	wZEuXBc6ZYs	2020-08-08T04:30:12Z	2020-08-08 04:30:12	Bullet Chart in Google Data Studio	Google data studio beginners tutorial for creating bullet chart that shows the comparisons of two metrics like budget vs actual etc. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT6M35S	395	2d	hd	false		1	83	3	0	0	1
16	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	7OJs5RbGOio	2020-08-07T16:30:10Z	2020-08-07 16:30:10	Combo chart in Google Data Studio	Google Data Studio tutorial for beginners for creating and customizing combo chart. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT3M58S	238	2d	hd	false		1	79	2	0	0	0
17	UCk5tiFqPvdjsl7yT4mmokmg	Data Science Tutorials	GcYhvL0EBes	2020-08-07T04:30:13Z	2020-08-07 04:30:13	Line Chart in Google Data Studio	Google data studio tutorial for beginners for creating and customizing line chart. Google Data Studio Tutorial Playlist - https://www.youtube.com/playlist?list=PLH6mU1kedUy9M1lyquMyz0M89uJEHJCis Data Set Link - https://tinyurl.com/yd65vnf3	27	Education	PT4M11S	251	2d	hd	false		1	76	3	0	0	1
