position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	h8x-eP_pa-Y	2020-07-13T06:19:45Z	2020-07-13 06:19:45	Don't Just Run - Switch to Data Science - DataMites Training Institute	Don't Just Run - Be Smart - Switch to Data Science. For more details about "Certified Data Scientists" Program, please visit: https://datamites.com/data-science-training/certified-data-scientist/ DataMites is a leading training institute for data science and artificial intelligence certification courses. Courses Covers: Python / R Programming, Machine Learning, Statistics, Artificial Intelligence, Deep Learning, NLP, Computer Vision etc, DataMites Data Science Course Duration: 6 Months DataMites Data Science Course Process: Theory - Live ONLINE Training (2 Months) + Practical - Working on Live Projects (3 months) + Internship (Industry Based Live Project) + Placements Assistance For more details visit: https://datamites.com/ For Online Course details visit: https://datamites.com/data-science-online-courses-training/ For Classroom Training visit below pages Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/	27	Education	PT16S	16	2d	hd	false	https://i.ytimg.com/vi/h8x-eP_pa-Y/maxresdefault.jpg		79334	5	0	0	0
2	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	6Cit27kJp5A	2020-07-13T06:14:27Z	2020-07-13 06:14:27	Certified Data Scientist Course - Top Data Science Certification - DataMites	For more details about "Certified Data Scientists" Program, please visit: https://datamites.com/data-science-training/certified-data-scientist/ DataMites is a leading training institute for data science and artificial intelligence certification courses. Courses Covers: Python / R Programming, Machine Learning, Statistics, Artificial Intelligence, Deep Learning, NLP, Computer Vision etc, DataMites Data Science Course Duration: 6 Months DataMites Data Science Course Process: Theory - Live ONLINE Training (2 Months) + Practical - Working on Live Projects (3 months) + Internship (Industry Based Live Project) + Placements For more details visit: https://datamites.com/ For Online Course details visit: https://datamites.com/data-science-online-courses-training/ For Classroom Training visit below pages Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/	27	Education	PT57S	57	2d	hd	false	https://i.ytimg.com/vi/6Cit27kJp5A/maxresdefault.jpg		193	9	0	0	0
3	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	3wxJ1XpZhuM	2020-07-03T17:40:23Z	2020-07-03 17:40:23	What is Monte Carlo Simulation? - Machine Learning & Data Science	What is #Monte #Carlo #Simulation? Trainer: Mr.Ashok Veda - https://in.linkedin.com/in/ashokveda Watch above video to understand What is Monte Carlo Simulation? and How it will be used in Machine Learning & Data Science. DataMites is providing global valid data science courses. Get Certified in data science and machine learning now. Learn data science with python, statistics, maths, deep learning, tableau, and machine learning. For data science classroom training details please visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For machine learning classroom training details please visit: Bangalore: https://datamites.com/machine-learning-course-training-bangalore/ Chennai: https://datamites.com/machine-learning-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT4M10S	250	2d	hd	false	https://i.ytimg.com/vi/3wxJ1XpZhuM/maxresdefault.jpg		348	13	1	0	2
4	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	tIzSBDLNzTQ	2020-07-03T17:33:01Z	2020-07-03 17:33:01	What is Transfer Learning? - Machine Learning and Data Science	#What is #Transfer #Learning? Trainer: Mr.Ashok Veda - https://in.linkedin.com/in/ashokveda Watch above video to understand What is Transfer Learning? and How it will be used in Machine Learning & Data Science. DataMites is providing global valid data science courses. Get Certified in data science and machine learning now. Learn data science with python, statistics, maths, deep learning, tableau, and machine learning. For data science classroom training details please visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For machine learning classroom training details please visit: Bangalore: https://datamites.com/machine-learning-course-training-bangalore/ Chennai: https://datamites.com/machine-learning-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT3M25S	205	2d	hd	false	https://i.ytimg.com/vi/tIzSBDLNzTQ/maxresdefault.jpg		153	4	0	0	1
5	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	X0lo-TLWPOo	2020-07-03T17:26:12Z	2020-07-03 17:26:12	What is r2 score? - Machine learning & Data Science - DataMites	#What is #r2 #score? Trainer: Mr.Ashok Veda - https://in.linkedin.com/in/ashokveda Watch above video to understand What is r2 score? and How it will be used in Machine Learning & Data Science. DataMites is providing global valid data science courses. Get Certified in data science and machine learning now. Learn data science with python, statistics, maths, deep learning, tableau, and machine learning. For data science classroom training details please visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For machine learning classroom training details please visit: Bangalore: https://datamites.com/machine-learning-course-training-bangalore/ Chennai: https://datamites.com/machine-learning-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT11M55S	715	2d	hd	false	https://i.ytimg.com/vi/X0lo-TLWPOo/maxresdefault.jpg		220	7	0	0	1
6	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	ZVpxhKVJ2Jc	2020-07-03T17:20:09Z	2020-07-03 17:20:09	What is S-Curve or Sigmoid Curve - Machine Learning & Data Science	#What is #S-Curve/ #Sigmoid #Curve? Trainer: Mr.Ashok Veda - https://in.linkedin.com/in/ashokveda Watch above video to understand What is S-Curve or Sigmoid Curve,and How it will be used in Machine Learning & Data Science. DataMites is providing global valid data science courses. Get Certified in data science and machine learning now. Learn data science with python, statistics, maths, deep learning, tableau, and machine learning. For data science classroom training details please visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For machine learning classroom training details please visit: Bangalore: https://datamites.com/machine-learning-course-training-bangalore/ Chennai: https://datamites.com/machine-learning-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT11M10S	670	2d	hd	false	https://i.ytimg.com/vi/ZVpxhKVJ2Jc/maxresdefault.jpg		155	6	0	0	1
7	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	4Iuwe_t8MiA	2020-07-03T17:07:36Z	2020-07-03 17:07:36	What is Neural Network & Types of Neural Network - Machine Learning & Data Science	#What is #Neural #Network? and #Types of Neural Network. #NN Trainer: Mr.Ashok Veda - https://in.linkedin.com/in/ashokveda Watch above video to understand What is Neural Network & Types of Neural Network, How it will use in Machine Learning & Data Science. DataMites is providing global valid data science courses. Get Certified in data science and machine learning now. Learn data science with python, statistics, maths, deep learning, tableau, and machine learning. IABAC Certification. For data science classroom training details please visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT32M55S	1975	2d	hd	false	https://i.ytimg.com/vi/4Iuwe_t8MiA/maxresdefault.jpg		279	5	1	0	0
8	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	5SNSmnPXODM	2020-07-03T16:50:07Z	2020-07-03 16:50:07	What is Random State in Machine Learning?	#What is #Random #State in #Machine #Learning? Trainer: Mr.Ashok Veda - https://in.linkedin.com/in/ashokveda Watch above video to understand What is Random State in Machine Learning? DataMites is providing global valid data science courses. Get Certified in data science and machine learning now. Learn data science with python, statistics, maths, deep learning, tableau, and machine learning. For data science classroom training details please visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT11M19S	679	2d	hd	false	https://i.ytimg.com/vi/5SNSmnPXODM/maxresdefault.jpg		205	13	0	0	3
9	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	agvfUvUNI4A	2020-07-01T18:21:25Z	2020-07-01 18:21:25	What is One Hot Encoding	#What is #One #Hot #Encoding? Trainer: https://in.linkedin.com/in/ashokveda Watch above video to understand What is one-hot-encoding? DataMites is providing global valid data science courses. If you wants to be certified data scientist, then Join Datamites data science program, For Classroom training details visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT6M41S	401	2d	hd	false	https://i.ytimg.com/vi/agvfUvUNI4A/maxresdefault.jpg		214	14	0	0	0
10	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	MlVT4G6IeiU	2020-07-01T17:59:23Z	2020-07-01 17:59:23	What is Bayesian Statistics	#What is #Bayesian #Statistics? Trainer: https://in.linkedin.com/in/ashokveda Watch above video to understand What is Bayesian Statistics? DataMites is providing global valid data science courses. If you wants to be certified data scientist, then Join Datamites data science program, For Classroom training details visit: Bangalore: https://datamites.com/data-science-course-training-bangalore/ Chennai: https://datamites.com/data-science-course-training-chennai/ For Online training details visit: Data Science: https://datamites.com/data-science-online-courses-training/ Machine Learning: https://datamites.com/machine-learning-online-courses-training/ #DataScience #MachineLearning	27	Education	PT2M24S	144	2d	hd	false	https://i.ytimg.com/vi/MlVT4G6IeiU/maxresdefault.jpg		170	7	0	0	0
