position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	38ozTaFNXc0	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Poster 2 Track Stream - 2020-07-23	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT15H27M11S	1631	2d	sd	false	https://i.ytimg.com/vi/38ozTaFNXc0/maxresdefault.jpg		58	2	1	0	0
2	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	DjWHc4RyaB0	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Poster 1 Track Stream - 2020-07-24	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT15H59M	3540	2d	hd	false	https://i.ytimg.com/vi/DjWHc4RyaB0/maxresdefault.jpg		25	0	0	0	0
3	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	KWPTN8OY1to	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Poster 1 Track Stream - 2020-07-23	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT15H26M53S	1613	2d	hd	false	https://i.ytimg.com/vi/KWPTN8OY1to/maxresdefault.jpg		69	1	1	0	1
4	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	cxsuE5YCNwI	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Sprints Sunday Stream - 2020-07-26	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT13H58M10S	3490	2d	hd	false	https://i.ytimg.com/vi/cxsuE5YCNwI/maxresdefault.jpg		47	0	0	0	0
5	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	ekRqcv_ul1I	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Sprints Sunday Open Space Stream - 2020-07-26	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT14H53M42S	3222	2d	hd	false	https://i.ytimg.com/vi/ekRqcv_ul1I/maxresdefault.jpg		114	2	0	0	0
6	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	fgsdl_g90qM	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Sprints Saturday Afternoon Stream - 2020-07-25	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT10H54M8S	3248	2d	hd	false	https://i.ytimg.com/vi/fgsdl_g90qM/maxresdefault.jpg		218	6	2	0	0
7	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	xdW-Wew4OAE	2020-08-16T11:18:06Z	2020-08-16 11:18:06	EuroPython 2020 - Poster 2 Track Stream - 2020-07-24	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT15H59M9S	3549	2d	hd	false	https://i.ytimg.com/vi/xdW-Wew4OAE/maxresdefault.jpg		42	0	0	0	0
8	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	qUu9mBMQDdw	2020-08-12T12:12:06Z	2020-08-12 12:12:06	EuroPython 2020 - Parrot Track Stream - Part 1 - 2020-07-23	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT12H32M5S	1925	2d	hd	false	https://i.ytimg.com/vi/qUu9mBMQDdw/maxresdefault.jpg		489	16	0	0	
9	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	WAsIhG_ZlG4	2020-08-12T12:12:05Z	2020-08-12 12:12:05	EuroPython 2020 - Ni Track Stream - Part 1 - 2020-07-23	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT8H45M30S	2730	2d	hd	false	https://i.ytimg.com/vi/WAsIhG_ZlG4/maxresdefault.jpg		160	3	0	0	
10	UC98CzaYuFNAA_gOINFB0e4Q	EuroPython Conference	z9J1IVNIc-Y	2020-08-12T12:12:03Z	2020-08-12 12:12:03	EuroPython 2020 - Sprints Saturday Opening Stream - 2020-07-25	EuroPython 2020 Online - Unedited Live Stream Recording Edited videos will be available later in 2020. License: This video is licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/ Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/	28	Science & Technology	PT1H59M55S	3595	2d	hd	false			138	2	0	0	
