position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	0TW3IRddMC4	2020-08-28T02:27:14Z	2020-08-28 02:27:14	[PORTUGUESE] H2O.ai + IBM Brasil: Como potencializar e reduzir barreiras na adoção de IA e ML	Assista à gravação da nossa meetup virtual para entender como a parceria da H2O.ai + IBM acelera, potencializa e reduz barreiras na adoção de a IA e ML com o H2O Driverless AI rodando em GPUs.	28	Science & Technology	PT1H28S	28	2d	hd	false			10			0	0
2	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	HkKJ5yhIKUg	2020-08-26T16:57:43Z	2020-08-26 16:57:43	Virtual Meetup: The Future of AI Strategy & Innovations in Insurance	Slides from the presentation: https://bit.ly/2CYPsyC The insurance space is made for AI. Its challenges and processes are optimal for automation, smart analytics and optimization, which can significantly improve the outcome of a member. However, the industry is highly complicated with its regulations, legacies and unique domain specifics. In this meetup, you will learn about: - Current topics and challenges tackled with AI - How the future of AI strategy could look like - What are current AI innovations that drive the insurance Industry Speakers: Olaf Menzer, PhD, Senior Data Scientist – Decision Analytics, Pacific Life Kadir Hallac, PhD, Senior Director of Artificial Intelligence and Analytics, Aetna Michael Proksch PhD, Sr. Director, Customer Data Science, H2O.ai	28	Science & Technology	PT1H5M8S	308	2d	hd	false			59			0	1
3	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	Lr7Saie08Ac	2020-08-25T17:19:17Z	2020-08-25 17:19:17	Virtual Panel: Building a Resilient Lending Program for a World of Constant Change during COVID-19	COVID-19 has changed the landscape for personal and business lending. Rapidly changing conditions for consumers and companies, coupled with factors like high unemployment, make legacy risk and lending models obsolete. How should a lender think about creditworthiness under evolving circumstances? What new elements should be taken into account when making lending decisions? Are there techniques that companies can use to build more resilient lending programs and get back to business? In this Lendit Fintech virtual panel discussion, leading financial services companies and technology providers discuss the trends in lending techniques in the era of COVID-19 and beyond. Panelists: SriSatish Ambati - CEO/Founder at H2O.ai Abhinav Anand, Head of Consumer Lending at Marcus by Goldman Sachs Dawn Gillette, NBT Bank, SVP and Head of Fintech Partnerships Sam Sidhu, Customers Bank, Vice Chairman & COO	28	Science & Technology	PT59M52S	3592	2d	hd	false			65			0	0
4	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	pEIKKD7za8A	2020-08-20T02:57:39Z	2020-08-20 02:57:39	[SPANISH] Transformación de IA en Visión Banco	Watch out meetup about the AI transformation at Visión Banco, in Paraguay. With Rafael Coss, Alejandro Lopez y Adolfo Vera.	28	Science & Technology	PT1H4M42S	282	2d	hd	false			118			0	0
5	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	pRHM6rywOIQ	2020-08-18T22:29:32Z	2020-08-18 22:29:32	[Virtual Panel] The Journey to Becoming the #1 Kaggle Grandmaster	Watch the recording of our virtual panel with Sri Ambati, Guanshuo Xu, Marios Michailidis, and Olivier Grellier.	28	Science & Technology	PT1H7S	7	2d	hd	false	https://i.ytimg.com/vi/pRHM6rywOIQ/maxresdefault.jpg		574			0	0
6	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	tSOMtES4TUw	2020-08-18T10:23:19Z	2020-08-18 10:23:19	[APAC Meetup] H2O Driverless AI 1.9.0で未来を拓く	イベントからスライド: https://bit.ly/320ZNmm H2O Driverless AIは、応用機械学習において最も難解かつ有益な作業の一部を自動化することによってデータサイエンティストの生産性を高めます。例えば、特徴量エンジニアリング、モデルの選定、モデルのチューニング、アンサンブルラーニング、さらにはモデルの解釈可能性や運用環境でのデプロイなどの自動化です。Driverless AIを使うと、Kaggleで上位に位置するグランドマスターのレシピをリリース可能なコード（JavaおよびC++）に変換し、データサイエンスにおけるもっとも困難な課題とされる、アンダーフィッティングやオーバーフィッティング、データ漏洩、不適切なモデルの検証などのよくある間違いを避けることができます。ドメイン専門家と高度なデータサイエンティストは、自分でレシピを書き、オープンソースのデータサイエンスおよび機械学習ライブラリの豊富なエコシステムからお気に入りのツールを使ってDriverless AIをシームレスに拡張することができます。 今回のミートアップでは、H2O Driverless AI 1.9.0について、以下を含む新機能の概要をお伝えします。 ‐流行モデルのSEIRDを含むモデル構築のトレンドに関する時系列技術 ‐TensorFlowディープラーニングモデルによるコンピュータービジョン ‐PyTorch BERTのディープラーニングモデルによる言語モデル 当日はユースケースをご紹介するライブデモを行い、上記の新機能のメリットをお伝えいたします。 プレゼンター H2O.ai　小口尋之	28	Science & Technology	PT1H2M22S	142	2d	hd	false			48			0	0
7	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	Hk5WEPNEA_w	2020-08-13T22:21:26Z	2020-08-13 22:21:26	Responsible Automation Towards Interpretable & Fair AutoML	Automatic Machine Learning (AutoML) is a subfield of machine learning which aims to automate the training & tuning of machine learning models. One of the main goals of an AutoML tool is to train the “best” model possible in the least amount of computation time, with zero/minimal configuration by the user. AutoML tools reduce the expertise required for practitioners to train powerful machine learning models, which has expanded and accelerated the application of machine learning to problems in both academic research and industry. AutoML greatly speeds up the workflow and efficiency of even the most experienced data scientist. As automation and use of machine learning increases, in particular with the proliferation of open source AutoML tools, there’s an increased risk in misuse of, or harm by, machine learning models used in real world applications. In order to reduce the risk of harmful models being deployed, machine learning tools, and especially AutoML tools, can offer easy-to-use or automated interpretability and algorithmic fairness methods that can be used to evaluate and probe machine learning models. Interpretability and fairness methods should always be applied to machine learning models before they are deployed into production where they can make or influence important decisions affecting people’s lives. In this session, you will learn about: - Automated Machine Learning and open source H2O AutoML - Interpretability methods for H2O models - Algorithmic fairness (disparate impact) for H2O models - Demo using U.S. Home Mortgage Disclosure Act (HMDA) data Presenter: Erin LeDell, Chief Machine Learning Scientist at H2O.ai	28	Science & Technology	PT59M53S	3593	2d	hd	false	https://i.ytimg.com/vi/Hk5WEPNEA_w/maxresdefault.jpg		199			0	1
8	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	lkUhibNLMNk	2020-08-13T16:00:11Z	2020-08-13 16:00:11	Guanshuo Xu | Achieving #1 Rank in Kaggle Competitions Tier | Alaska2 Winning Sol | CTDS.Show	Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani In this episode, Sanyam Bhutani interviews Data Scientist at H2O.ai, the new King of Kaggle Competitions, new Rank 1: Dr. Guanshuo Xu Guanshuo has just secured the title with his win in Alaska2 Image Steganalysis competition, in his journey he has achieved 15 gold medals, 15 silver medals, out of these 10 are solo gold 13 are solo Silver! They talk about his journey on Kaggle, he shares a few advices around how you should approach Kaggle, and how his approach has changed, how he approaches competition and how he learned over the period of competing on Kaggle. They also briefly discuss his solution to the Alaska2 competition as a proxy to understanding his approach to competitions. They also talk about his role at H2O.ai and the projects that he is contributing to. Links: Alaska2 Comp Page: https://www.kaggle.com/c/alaska2-image-steganalysis/discussion Solution Writeup: https://www.kaggle.com/c/alaska2-image-steganalysis/discussion/168548 Follow: Dr. Guanshuo Xu: https://www.linkedin.com/in/guanshuo-xu/ https://www.kaggle.com/wowfattie Sanyam Bhutani: https://twitter.com/bhutanisanyam1 Blog: sanyambhutani.com About: https://sanyambhutani.com/tag/chaitimedatascience/ A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. You can expect weekly episodes every available as Video, Podcast, and blogposts. If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience Intro track: Flow by LiQWYD https://soundcloud.com/liqwyd #Rank1 #Kaggle #Competitions	28	Science & Technology	PT47M11S	2831	2d	hd	false	https://i.ytimg.com/vi/lkUhibNLMNk/maxresdefault.jpg		873			0	2
9	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	hJ65nv5aoLY	2020-08-12T19:44:16Z	2020-08-12 19:44:16	[APAC Meetup] Expanding Horizons with Automated Computer Vision Modeling	This presentation was recorded on August 11, 2020. Slides from the presentation can be accessed here: https://bit.ly/3aieEMV H2O Driverless AI brings the best practices of the world’s leading data scientists to your team to build high-quality production-ready models in hours, not weeks or months. Now, Driverless AI helps you solve more use cases with more data types using automatic machine learning (AutoML) for classification and regression with images. Users can now include images with other data types in a broader dataset or build models with images alone. Advanced or novice data scientists can build image-based models using state-of-the-art techniques, including TensorFlow CNNs, all with the power of full Driverless AI automation. This talk will cover: Image Problems: Overview of subsets of problems in Computer Vision H2O Driverless AI: An intro to H2O.ai's flagship product Images in H2O Driverless AI 1.9: Features and roadmap for our product, what can you expect Speaker: Sanyam Bhutani, H2O.ai	28	Science & Technology	PT57M13S	3433	2d	hd	false			100			0	0
10	UCk6ONJlPzjw3DohAeMSgsng	H2O.ai	RLxR5fqVQm0	2020-08-06T21:09:06Z	2020-08-06 21:09:06	From GLM to GBM: The Future of AI in Lending and Insurance	Insurance and credit lending are highly regulated industries that have relied heavily on mathematical modeling for decades. In order to provide explainable results for their models, data scientists and statisticians in both industries relied heavily on generalized linear models (GLMs). However, new machine learning algorithms like GBMs are not only more sophisticated estimators of risk, but due to a Nobel-laureate breakthrough known as Shapley values, they are now seemingly just as interpretable as traditional GLMs. More nuanced risk estimation means less payouts and write-offs for policy and credit issuers, but it also means a broader group of customers can participate in mainstream insurance and credit markets. In this webinar, you will learn about: - The Advantages of Machine Learning vs. Linear Models - Why you should think about the AI shift in perspective - How to move to new ML Methods (e.g. GBM) Presenters: Patrick Hall, Advisory Consultant at H2O.ai Michael Proksch, Senior Director, Customer Data Science at H2O.ai	28	Science & Technology	PT1H56S	56	2d	hd	false	https://i.ytimg.com/vi/RLxR5fqVQm0/maxresdefault.jpg		345			0	3
