position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	CToiCKH2G2w	2020-07-20T16:40:10Z	2020-07-20 16:40:10	Binomial Distribution Intro	Binomial Random Variable and the Binomial Distribution introductions with practice problems. Correction: the answer to part B, has a small typo. We are answering the question, what is the probability X is between 4 and 7 inclusive, therefore in the process of answering this question we need to compute P(X=6). The exponents for 0.6 and (1 - 0.4) should both be 6, not 6 and 7 as the video shows around the 10:30 time mark.	27	Education	PT15M	900	2d	hd	false		1	248	14	0	0	3
2	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	EUEoSt8cpEc	2020-05-12T16:38:17Z	2020-05-12 16:38:17	Chi Square Test of Independence Lecture	chisquare test contigency tables hypothesis test with example	27	Education	PT34M50S	2090	2d	hd	false	https://i.ytimg.com/vi/EUEoSt8cpEc/maxresdefault.jpg	1	396	13	0	0	1
3	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	G5H_r3XWEIA	2020-05-10T19:02:25Z	2020-05-10 19:02:25	Intro to Probability	Chance Experiment Sample Space Events Complement Intersection Union Disjoint or Mutually Exclusive Counting Probability	27	Education	PT27M5S	1625	2d	hd	false	https://i.ytimg.com/vi/G5H_r3XWEIA/maxresdefault.jpg	1	413	11	0	0	6
4	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	DZ4hzCh_K9U	2020-05-10T19:02:20Z	2020-05-10 19:02:20	Conditional Probability and Independence		27	Education	PT6M39S	399	2d	hd	false	https://i.ytimg.com/vi/DZ4hzCh_K9U/maxresdefault.jpg	1	193	9	0	0	0
5	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	keKJThoMj4s	2020-05-10T19:02:14Z	2020-05-10 19:02:14	Bayes Theorem and Law of Total Probability		27	Education	PT18M2S	1082	2d	hd	false	https://i.ytimg.com/vi/keKJThoMj4s/maxresdefault.jpg	1	239	21	0	0	0
6	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	_-3hdbJ3XNY	2020-04-28T21:27:15Z	2020-04-28 21:27:15	Comparing Two Proportions Hypothesis Test and Confidence Interval	test the equality of two proportions against the alternatives and confidence intervals for the difference between two proportions	27	Education	PT13M26S	806	2d	hd	false	https://i.ytimg.com/vi/_-3hdbJ3XNY/maxresdefault.jpg	1	269	7	0	0	1
7	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	WuKCz-rMtwI	2020-04-26T18:45:03Z	2020-04-26 18:45:03	LibreOffice Calc - Multiple Regression		27	Education	PT2M28S	148	2d	hd	false		1	492	12	0	0	1
8	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	QhHlhcr0ELU	2020-04-26T18:44:59Z	2020-04-26 18:44:59	LibreOffice Calc - Multiple Regression with Dummy	categorical predictor	27	Education	PT5M6S	306	2d	hd	false	https://i.ytimg.com/vi/QhHlhcr0ELU/maxresdefault.jpg	1	234	5	0	0	0
9	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	MmPmnQNEmQE	2020-04-26T18:44:55Z	2020-04-26 18:44:55	CART Tree Basics		27	Education	PT3M34S	214	2d	hd	false	https://i.ytimg.com/vi/MmPmnQNEmQE/maxresdefault.jpg	1	222	5	0	0	1
10	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	1W4v5hpbtM4	2020-04-16T20:24:41Z	2020-04-16 20:24:41	Paired Sample T test comparing means	matched sample t-test	27	Education	PT16M58S	1018	2d	hd	false	https://i.ytimg.com/vi/1W4v5hpbtM4/maxresdefault.jpg	1	313	10	0	0	1
