position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	C50UNga8LUY	2016-12-20T10:24:08Z	2016-12-20 10:24:08	Personalised Recommendations for Modes of Transport: A Sequence-based Approach	Author: Gunjan Kumar, Insight Centre for Data Analytics Abstract: In this paper we consider the problem of recommending modes of transport to users in an urban setting. In particular, we build on our past work in which a general framework for activity recommendation is proposed. To model the personal preferences and habits of users, the framework uses a sequence-based approach to capture the order as well as the context associated with user activity patterns. Here, we extend this work by introducing a machine learning approach to learn and take into account the natural variations in the regularity and repetition of individual user behaviour that occur. We demonstrate the versatility of our recommendation framework by applying it to the transport domain, and an evaluation using a real-world (mode of transport) dataset demonstrates the efficacy of the approach. More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT9M5S	545	2d	hd	false	https://i.ytimg.com/vi/C50UNga8LUY/maxresdefault.jpg		190	2	1	0	0
2	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	M5m1Fg2-5BU	2016-11-10T15:17:29Z	2016-11-10 15:17:29	Generating Local Explanations of Network Anomalies via Score Decomposition	Author: Timothy La Fond, Computer Science Department, Purdue University Abstract: An important application in network analysis is the detection of anomalous events in a network time series. These events could merely be times of interest in the network timeline or they could be examples of malicious activity or network malfunction. Once a set of events are identified by the anomaly detection algorithm, a more detailed examination of the graph at these times can reveal important details about the behavior of the network. In this paper we use the score decomposition of the global anomaly score of reported anomalies in several dynamic networks to identify the regions of most anomalous behavior and provide interpretations as to the nature of the anomalous events. We also define a new version of the Graph Edit Distance and Clustering Coefficient statistics which are better at finding the local explanations for anomalous behavior. More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT18M27S	1107	2d	hd	false	https://i.ytimg.com/vi/M5m1Fg2-5BU/maxresdefault.jpg		165	1	0	0	0
3	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	xVTZKokxrg0	2016-11-10T15:17:19Z	2016-11-10 15:17:19	Detection of Cyber-Physical Faults and Intrusions from Physical Correlations	Author: Andrey Lokhov, Los Alamos National Laboratory More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT21M55S	1315	2d	hd	false	https://i.ytimg.com/vi/xVTZKokxrg0/maxresdefault.jpg		206	2	0	0	0
4	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	kMs1_IYhLwE	2016-11-10T15:16:50Z	2016-11-10 15:16:50	Fast and Accurate Kmeans Clustering with Outliers	Author: Shalmoli Gupta, Department of Computer Science, University of Illinois at Urbana-Champaign More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT18M45S	1125	2d	hd	false	https://i.ytimg.com/vi/kMs1_IYhLwE/maxresdefault.jpg		2256	7	0	0	0
5	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	Wvgxo4UTUCc	2016-11-10T15:16:19Z	2016-11-10 15:16:19	Dealing with Class Imbalance using Thresholding	Author: Rumi Ghosh, Robert Bosch LLC. Abstract: We propose thresholding as an approach to deal with class imbalance. We define the concept of thresholding as a process of determining a decision boundary in the presence of a tunable parameter. The threshold is the maximum value of this tunable parameter where the conditions of a certain decision are satisfied. We show that thresholding is applicable not only for linear classifiers but also for non-linear classifiers. We show that this is the implicit assumption for many approaches to deal with class imbalance in linear classifiers. We then extend this paradigm beyond linear classification and show how non-linear classification can be dealt with under this umbrella framework of thresholding. The proposed method can be used for outlier detection in many real-life scenarios like in manufacturing. In advanced manufacturing units, where the manufacturing process has matured over time, the number of instances (or parts) of the product that need to be rejected (based on a strict regime of quality tests) becomes relatively rare and are defined as outliers. How to detect these rare parts or outliers beforehand? How to detect combination of conditions leading to these outliers? These are the questions motivating our research. This paper focuses on prediction of outliers and conditions leading to outliers using classification. We address the problem of outlier detection using classification. The classes are good parts (those passing the quality tests) and bad parts (those failing the quality tests and can be considered as outliers). The rarity of outliers transforms this problem into a class-imbalanced classification problem. More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT18M40S	1120	2d	hd	false	https://i.ytimg.com/vi/Wvgxo4UTUCc/maxresdefault.jpg		2786	30	1	0	0
6	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	15bikX-HVSA	2016-11-10T15:15:51Z	2016-11-10 15:15:51	Beauty and Brains: Detecting Anomalous Pattern Co-Occurrences	Author: Roel Bertens, Department of Information and Computing Sciences, Utrecht University More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT15M55S	955	2d	hd	false	https://i.ytimg.com/vi/15bikX-HVSA/maxresdefault.jpg		181	1	0	0	0
7	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	rlcuNHzMYW0	2016-11-10T15:15:25Z	2016-11-10 15:15:25	Interpretable Anomaly Detection for Monitoring of High Performance Computing Systems	Author: Elisabeth Baseman, Los Alamos National Laboratory More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT20M2S	1202	2d	hd	false	https://i.ytimg.com/vi/rlcuNHzMYW0/maxresdefault.jpg		354	3	0	0	0
8	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	dVkoJEIudKA	2016-11-10T15:15:04Z	2016-11-10 15:15:04	Moving from Anomalies to Known Phenomena	Author: Jeff Schneider, School of Computer Science, Carnegie Mellon University Abstract: Basic anomaly detection finds data points that are unusual relative to an expected distribution and there are good methods for defining expected distributions and quantifying deviation from them. However, using anomaly detectors in operational systems has proven to be a challenge. Naive flagging of anomalous points can lead to an overwhelming number of false positives and result in detection thresholds being lowered to the point of effectively turning off the anomaly detector. I will discuss two improvements for anomaly detection systems. The first is to observe that we are often not interested in individually anomalous data points. Instead, there are underlying phenomena we want to identify and those phenomena affect large groups of data points. Anomaly detection over sets of data can produce more significant results. Second, anomaly detection should be in a closed loop process that generates additional labeled data, updated models, and ever fewer detections, thus reducing load on the user. We will illustrate these ideas with some scientific and commercial use cases. More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT50M57S	3057	2d	hd	false	https://i.ytimg.com/vi/dVkoJEIudKA/maxresdefault.jpg		602	4	0	0	0
9	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	WcUtScVc2g8	2016-11-10T14:44:23Z	2016-11-10 14:44:23	A Generative Model of Urban Activities from Cellular Data	Author: Mogeng Yin, UC Berkeley Abstract: Activity based travel models are the main tools used to evaluate traffic conditions in the context of rapidly changing travel demand. However, data collection for activity based models is performed through travel surveys that are infrequent, expensive, and reflect the changes in transportation with significant delays. Thanks to the ubiquitous cell phone data, we see an opportunity to substantially complement these surveys with data extracted from network carrier mobile phone usage logs, such as call detail records (CDRs). Activity based travel demand models describe travel itineraries of individual users, namely (1) what activities users are participating in; (2) when users perform these activities; and (3) how users travel to the activity locales. In this paper, we first present a method of extracting user stay locations while not over-filtering short-term travel. Second, we apply Input-Output Hidden Markov Models (IO-HMMs) to reveal the activity patterns in real CDR data (with a focus on the San Francisco Bay Area regular commuters) collected by a major network carrier. No personally identifiable information (PII) was gathered or used in conducting this study. The mobility data that was analyzed was anonymous and aggregated in strict compliance with the carrier’s privacy policy. Our approach delivers actionable information to the practitioners in a form of a modular activity-based travel demand model, and captures the heterogeneous activity transition probabilities conditioned on spatial-temporal context. More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT18M40S	1120	2d	hd	false	https://i.ytimg.com/vi/WcUtScVc2g8/maxresdefault.jpg		445	1	0	0	1
10	UCPsUUDUlcTJuP-fRa7z85aQ	KDD2016 video	Nv2kfpccZ64	2016-11-10T14:43:52Z	2016-11-10 14:43:52	Deep learning for driving detection on mobile phones	Author: Allen Tran, Metromile Inc. Abstract: Sensor based activity recognition is a critical component of mobile phone based applications aimed at driving detection. Current methodologies consist of hand-engineered features input into discriminative models, and experiments to date have been restricted to small scale studies of O(10) users. Here we show how convolutional neural networks can be used to learn features from raw and spectrogram sensor time series collected from the phone accelerometer and gyroscope. While with limited training data such an approach under performs existing models, we show that convolutional neural networks outperform currently used discriminative models when the training dataset size is sufficiently large. We also test performance of the model implemented on the Android platform and we validate our methodology using sensor data collected from over 2000 mobile phone users. More on http://www.kdd.org/kdd2016/ KDD2016 Conference is published on http://videolectures.net/	22	People & Blogs	PT24M7S	1447	2d	hd	false	https://i.ytimg.com/vi/Nv2kfpccZ64/maxresdefault.jpg		622	3	1	0	0
