position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	TPsV7N4bZZg	2020-08-20T18:40:33Z	2020-08-20 18:40:33	Power BI Desktop Update - August 2020	We have exciting updates this month! The updates include support for Perspectives in Personalize visuals, rectangular select for data points, dynamic formatting support to more visuals, Direct Query support for Q&A, several new AppSource visuals, and more! Check out the full video to learn more about all the updates and enhancements. #PowerBI Perspectives support for Personalize visuals (preview) -- 00:15 Rectangular lasso select for data points (preview) -- 07:27 Added dynamic formatting support to more visuals -- 11:54 Direct Query support for Q&A (preview) -- 15:27 Linear Gauge by xViz -- 15:57 Learn more -- https://xviz.com/blogs/xviz-linear-gauge-progress-bar-for-ms-power-bi/ Download -- https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200000543?tab=Overview Advanced Pie & Donut by xViz -- 16:24 Learn more -- https://xviz.com/blogs/xviz-adv-pie-and-donut-for-power-bi/ Download -- https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200001917?src=Manufacturing&tab=Overview Ratings visual by TME AG -- 16:49 Download -- https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200001595?tab=Overview Toggle switch by TME AG -- 17:08 Download -- https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200001596?tab=Overview Drill down Pie PRO by ZoomCharts -- 17:25 Download -- https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200001678?tab=Overview ADWISE RoadMap -- 17:46 Learn more -- https://www.adwise.cz/adwise-roadmap/?lang=en Download -- https://appsource.microsoft.com/cs-cz/product/power-bi-visuals/WA200001904?tab=Overview Updates to ArcGIS Maps -- 18:16 Extending Admin capabilities for AppSource visuals -- 18:55 Learn more -- https://docs.microsoft.com/en-us/power-bi/admin/organizational-visuals#power-bi-visuals-tenant-settings Agile CRM Analytics for Dynamics 365 -- 21:40 Download -- https://appsource.microsoft.com/product/power-bi/agile_analytics.dynamics365-power-bi-crm-reports Text/CSV By Example (preview) -- 22:15 Cherwell connector -- 23:13 Automation Anywhere connector -- 23:34 Acterys connector -- 23:54 Follow us on Twitter - https://twitter.com/mspowerbi More questions? Try asking the Power BI Community @ https://community.powerbi.com/	28	Science & Technology	PT24M35S	1475	2d	hd	false	https://i.ytimg.com/vi/TPsV7N4bZZg/maxresdefault.jpg		16952	215	7	0	
2	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	0n5Y6a6sPIQ	2020-08-14T18:05:34Z	2020-08-14 18:05:34	Read-only license for Power BI | Community Webinars	Is there a read-only license for Power BI for your end-users? Is Power BI licensing too complicated to find the best option? In this session, learn about the options you have for your end-users while being cost-effective in your Power BI implementation. Learn more: https://community.powerbi.com #MVPWebinar #PowerBIMVPWebinar	28	Science & Technology	PT43M21S	2601	2d	hd	true	https://i.ytimg.com/vi/0n5Y6a6sPIQ/maxresdefault.jpg		5972	118	7	0	
3	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	fHDDzEqtJcc	2020-08-05T18:26:22Z	2020-08-05 18:26:22	Introduction to XMLA endpoints | Community Webinars	In this video, learn how an admin can leverage the XMLA (XML for Analysis) feature with Power BI and the different options to use the XMLA endpoint with SQL Management Studio, Tabular Editor, and Visual Studio Data Tools. Learn more: https://community.powerbi.com #MVPWebinar #PowerBIMVPWebinar	28	Science & Technology	PT59M37S	3577	2d	hd	true	https://i.ytimg.com/vi/fHDDzEqtJcc/maxresdefault.jpg		3895	63	2	0	
4	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	BCNYMJKyjEo	2020-08-03T22:45:54Z	2020-08-03 22:45:54	Power BI Desktop Update - July 2020	We have great updates this month! These updates include several enhancements to Q&A, gradient legend support, ability to further customize slicer header text, the general availability release for both relative time filter and model view enabled for live connect, the ability to launch external tools from Power BI Desktop, and more! Gradient legend - 00:15 Ability to further customize slicer header text - 02:40 Relative time filter in now generally available - 03:15 Enhancements to Q&A - 03:35 Azure Maps visual (preview) - 06:30 Updates to Multi-Axis Chart by xViz - 13:03 Learn more - https://xviz.com/blogs/latest-features-of-multi-axis-chart-in-power-bi/ Download - https://appsource.microsoft.com/en-us/product/power-bi-visuals/WA200000183?tab=Overview Support for Excel financial functions - 13:32 Model view enabled for live connect is now generally available - 15:56 Global option to disable automatic type detection - 16:27 YouTube Analytics by MAQ Software - 17:16 Download - https://appsource.microsoft.com/product/power-bi/maqsoftware1587623472284.maqsoftware_youtubetemplate Launch external tools from Power BI Desktop (preview) - 17:46 #PowerBI Follow us on Twitter - https://twitter.com/mspowerbi More questions? Try asking the Power BI Community @ https://community.powerbi.com/	28	Science & Technology	PT20M54S	1254	2d	sd	true	https://i.ytimg.com/vi/BCNYMJKyjEo/maxresdefault.jpg		50289	428	10	0	
5	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	CzUjVg52Wno	2020-07-31T21:32:44Z	2020-07-31 21:32:44	Thank you to the Power BI Community for five Years	Watch this event to see how the #PowerBI Community empowers people and hear directly from community members, Microsoft MVP's, customers, and partners. To celebrate Microsoft's Power BI five year milestone, we thank the entire Power BI Community for their dedication and amazing contributions. To learn more about the Power BI Community, visit: https://community.powerbi.com #PowerBI5	28	Science & Technology	PT58M2S	3482	2d	hd	true	https://i.ytimg.com/vi/CzUjVg52Wno/maxresdefault.jpg		2804	61	1	0	
6	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	mD9gbgvLbEk	2020-07-27T19:32:59Z	2020-07-27 19:32:59	Performance, Optimization, and Intelligent Error Handling in Power Query | Community Webinars	There are two cornerstones to building optimized and low maintenance queries in Power BI. The first is making sure queries have been designed to refresh at optimal speeds. Primary topics for performance tuning include: removing columns and rows, applied step configuration and order precedence, query folding, managing variables, and tables vs lists for transformations. The other important cornerstone is intelligently identifying and handling errors as they occur during scheduled refreshes. Primary topics for error handling include: replacing vs removing errors, collecting error metadata, and configuring the refresh to either fail or refresh successfully when errors occur. Learn more, here: https://community.powerbi.com #PowerBI #PowerBIMVPWebinar	28	Science & Technology	PT1H2M	120	2d	hd	true	https://i.ytimg.com/vi/mD9gbgvLbEk/maxresdefault.jpg		5212	162	1	0	
7	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	eMt7ewkNvkg	2020-07-24T22:42:42Z	2020-07-24 22:42:42	Power BI Design Patterns | Community Webinars	Building a data model in Power BI is the most important task you should do properly in your Power BI solution. This session is about real-world design patterns of Power BI and the most common design pattern models: 1.) Building the Star Schema with fact table and dimension tables, and understanding the relationships 2.) Building common models such as Budget vs. Actual with fact tables with different granularity 3.) Building an Inventory model with a snapshot fact table. Learn more, here: https://community.powerbi.com #PowerBI #PowerBIMVPWebinar	28	Science & Technology	PT58M52S	3532	2d	sd	true	https://i.ytimg.com/vi/eMt7ewkNvkg/maxresdefault.jpg		9414	221	3	0	
8	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	7dfEPhdru-4	2020-07-21T18:16:47Z	2020-07-21 18:16:47	Power BI Ideas using Azure Active Directory authentication | Community Webinars	In this session, you will learn how to move onto the new #PowerBI Ideas using Microsoft Azure Active Directory authentication. Learn more: https://ideas.powerbi.com and https://community.powerbi.com #MVPWebinar #PowerBIMVPWebinar	28	Science & Technology	PT10M15S	615	2d	hd	true	https://i.ytimg.com/vi/7dfEPhdru-4/maxresdefault.jpg		2944	49	1	0	
9	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	rzlgUPd6C6U	2020-07-07T22:42:27Z	2020-07-07 22:42:27	How Arla Foods enabled Big Data and Self-Service Analytics with Power BI	In this video, Kasper Pors Hansen from Arla Foods explains how they merged siloed systems into a one data foundation to enable successful self-service BI across the organization. Learn more, here: https://community.powerbi.com/ #PowerBi #Azure	28	Science & Technology	PT3M48S	228	2d	hd	true	https://i.ytimg.com/vi/rzlgUPd6C6U/maxresdefault.jpg		5895	58	2	0	
10	UCy--PYvwBwAeuYaR8JLmrfg	Microsoft Power BI	RDEi6sflPSQ	2020-07-07T22:41:15Z	2020-07-07 22:41:15	Humana’s journey to one centralized data platform with Power BI	In this video, learn how Humana leveraged Azure services to combine 47 disparate data sources and BI tools into a singular analytics platform and service solution. By standardizing on one platform using Power BI as the business intelligence tool, Humana has seen incredible benefits throughout the company. Learn more, here: https://community.powerbi.com/ #PowerBI #Azure	28	Science & Technology	PT7M15S	435	2d	hd	true	https://i.ytimg.com/vi/RDEi6sflPSQ/maxresdefault.jpg		6136	91	5	0	
