position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	VzDkWvaHUMk	2020-08-27T13:59:49Z	2020-08-27 13:59:49	What is Design Thinking? A Stepwise Guide to Design Thinking Process	What is Design thinking, you ask? This video is your one-stop guide to understanding design thinking along with its process. In this session, Prachi Taneja, User Research and Design Professional at a leading E-Commerce company and Mentor at Springboard India, explains how to put the design thinking process into practice. The design thinking process includes Empathy → Problem Definition →Ideation →Prototyping →Testing. Design thinking is a framework that combines the design's problem solving roots with empathy for the user. Prachi will cover the explanation of the entire process in detail. She will also explain the interpretations of the design thinking process. Bonus: She will explain a design thinking exercise at the end of the session. This video is your handy guide to learn and career transition into UI/UX design. Here are a few related blogs: What is UI UX Design? Why Should You Learn Them Together? https://bit.ly/34DvEfy What is the best way to Learn UI UX Design? https://bit.ly/2EymgPL How to Design: Basic Principles to Keep in Mind While Creating UI/UX Design: https://bit.ly/34E4iWOUX Researcher vs UX Designer: What is the Difference? https://bit.ly/32pLwQe Presenting a short and concise guide on how to become a UX designer. Read it to know and understand how you can career transition into UX design: https://bit.ly/2YBwVQs About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/springboard-india/ Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #DesignThinking #DesignThikingProcess #UXDesign #UXDesigner #UIUXDesign #UIUXDesigner #Futurist #UserExperience #UserInterface #Design	27	Education	PT1H15M25S	925	2d	hd	false	https://i.ytimg.com/vi/VzDkWvaHUMk/maxresdefault.jpg		339	17	1	0	1
2	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	W2p4IaZYae4	2020-08-25T13:39:39Z	2020-08-25 13:39:39	The Power of Storytelling | Why Storytelling for User Experience (UX) is Vital for any Business	Wondering the importance of storytelling for designers? This video is your comprehensive guide to understand the power of storytelling. In this session, Lakshyya Mahalwal, Product Design Lead at Syfe and Mentor at Springboard India, explains how storytelling for User Experience(UX) is crucial for any business. She will explain the art of storytelling from scratch with the help of Aristotle’s seven elements of storytelling. She will also explain how stories help along with the methods of storytelling. She will be covering various aspects of storytelling involving, storytelling as a powerful tool, storytelling for better user experience along with tips to use storytelling in your design process. She will further share some interesting rules of storytelling from Pixar. This video is your handy guide if you are planning to learn and transition into UX design. Here are a few related blogs: What is UX Design? Everything You Need to Know About UX Design and Didn’t Know Whom to Ask: https://bit.ly/2FRS6Hz How to Become a UX Designer? 7-step Guide to Kickstart your UX Design Career: https://bit.ly/32n9s6H What Does a UX Designer Do: Role Mapping from User Research to Testing and Continuous Improvement: https://bit.ly/34uNnpr How to get UX Design Jobs? https://bit.ly/3jaUqb1 User Experience Researcher: Your One-Stop Guide to Becoming One: https://bit.ly/3l9FTy6 Presenting a short and concise guide on how to become a UX designer. Read it to know and understand how you can career transition into UX design (I have pinged Neeraj asking for the UTM link) About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #UXDesign #Storytelling #UXStorytelling #UXDesigner #UXResearcher #Futurist #UserExperience	27	Education	PT1H45S	45	2d	hd	false	https://i.ytimg.com/vi/W2p4IaZYae4/maxresdefault.jpg		522	31	0	0	4
3	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	mq-eFGpC8pY	2020-08-20T14:03:13Z	2020-08-20 14:03:13	Data Preparation Steps | Understanding Datatypes, EDA & Feature Engineering	In this video, Subrat Swain, Project Manager at HSBC Global Banking and Markets, and Mentor at Springboard India, explains the three important data preparation steps. This video is designed to help you understand the data types in detail as well as exploratory data analysis (EDA) along with its various steps and feature engineering. Subrat will discuss various categories of data which will help you decide the types of statistical techniques you can use in machine learning. He will also explain six major EDA techniques that are used before applying any machine learning concept. He will further explain the steps under feature engineering that are used while selecting the features involving, ChiSquare Test, ANOVA test and Correlation. This video is your comprehensive guide if you are planning to career transition into data science and machine learning and want to learn about EDA and data preparation. Here are a few related blogs: What is Time Series Forecasting? Everything you Need to Know: https://bit.ly/34iPBZ4 Time Series Analysis: Interactive Time Series Maps for COVID-19 Spread with GeoPandas and Ipywidgets: https://bit.ly/3l2DPIo Ridge Regression with SGD Using Python: Hands-on Session with Springboard’s Data Science Mentor: https://bit.ly/3iYHcOsHands-on Training with Machine Learning Algorithms: Decision Tree and Random Forest: https://bit.ly/32arZ65 Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #DataPreparation #DataScience #MachineLearning #Analytics #EDA #FeatureEngineering #Datatypes #ExploratoryDataAnalysis #DataAnalysis #DataPreparationSteps	27	Education	PT41M52S	2512	2d	hd	false	https://i.ytimg.com/vi/mq-eFGpC8pY/maxresdefault.jpg		529	23	1	0	1
4	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	0vfu92FFkGA	2020-08-19T14:09:19Z	2020-08-19 14:09:19	Data Analyst Interview Questions & Answers | Data Analytics Jobs Resume Building	According to Forbes, companies who aren’t heavily invested in analytics in 2020 probably won’t be in business in 2021. Data analytics has always been on a steady growth trajectory, however, COVID-19 has made the need for data even greater. This video will give you a 360-degree view of how to have a sustainable career growth in data analytics. In this session, Rupam Bhattacharjee, International Business Strategist, Co-Founder at Waysaheadglobal, and Mentor at Springboard, has curated the list of most asked data analytics interview questions and the best ways to answer them. He also shares a checklist that you can follow for your next data analytics job interview. He further explains the job prospects in data analytics and how to land the job of your dreams. Along with core technical skill sets required to become a data analyst, Rupam will also provide you with a preview of business understanding. This video is a cheat sheet if you are planning to step into the dynamic and challenging world of data analytics. Here are a few related blogs: Data Analytics Interview Questions and Answers: https://bit.ly/3aADpEf How to Become a Data Analyst – 5 Steps to Become a Superhero Data Analyst: https://bit.ly/2CEjIP9 Salary Trends in Data Analytics in India: https://bit.ly/2CGrCaX Top 6 Tips to Crack a Data Analytics Interview:https://bit.ly/319Hj3J Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #Analytics #DataAnalytics #DataAnalyticsInterviewQuestions #InterviewQuestions #DataAnalyst #DataAnalyticsJobs #DataAnalystJobs #DataAnalysis #DataAnalyticsCareer #CareerTransition #CareerAdvice #DataAnalyticsResume #DataAnalystResume #ResumeBuilding #Interview	27	Education	PT1H31M49S	1909	2d	hd	false	https://i.ytimg.com/vi/0vfu92FFkGA/maxresdefault.jpg		1250	88	0	0	1
5	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	YQgPrJ7p8tQ	2020-08-14T13:47:52Z	2020-08-14 13:47:52	Understanding Statistical Methods Used for Hypothesis Testing | Hypothesis Testing Steps	In this session, Sonia Motwani, Analytics Professional at a leading Fintech company and Teaching Assistant at Springboard, explains statistical methods used for hypothesis testing. This video is aimed to help you understand the nitty-gritties of hypothesis testing. A statistical hypothesis, sometimes called confirmatory data analysis, is a hypothesis that is testable on the basis of observing a process that is modelled via a set of random variables. This method of statistical inference involves performing various checks on data. Sonia will be using techniques like z-test, t-test, p-value, confidence intervals chi-squared to perform these checks. She will explain the what, why and how of hypothesis testing. She will also discuss the steps to test a hypothesis. This video will help you go beyond the basics and dive deeper into the specific factors that influence your calculations and results. This video is second in the series to understand hypothesis testing. You can refer to the 1st session here: https://www.youtube.com/watch?v=4iRB4e25cGA Here are a few related blogs: What is Data Analysis? A Quick Guide to Data Analysis Tools, Definition and Data Analyst Jobs: https://bit.ly/2CrG6ex Top 5 Data Analytics Projects: https://bit.ly/3kJJnHp Introduction to Bayes Theorem & Naive Bayes Algorithm with Application in Data Analytics Using Python https://bit.ly/3409BQc Data Analytics Applications in Aarogya Setu App for Tracing COVID 19: https://bit.ly/3kLzBon How to Become a Data Analyst – 5 Steps to Become a Superhero Data Analyst: https://bit.ly/31Qyo6j How to Get Data Analytics Jobs? https://bit.ly/31S2JSc Data Modelling & Analysing Coronavirus (COVID19) Spread using Data Science & Data Analytics in Python Code:https://bit.ly/340sMt8 Top 6 Tips to Crack a Data Analytics Interview: https://bit.ly/3kK0clK Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #Hypothesis #HypothesisTesting #StatisticalMethods #Statistics #StatisticsHypothesisTesting #HypothesisTestingSteps #HypothesisTestingMethodology	27	Education	PT1H7M6S	426	2d	hd	false	https://i.ytimg.com/vi/YQgPrJ7p8tQ/maxresdefault.jpg		849	52	0	0	2
6	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	-8bjo781_fg	2020-08-13T14:18:57Z	2020-08-13 14:18:57	Data Analytics Project: IPL Analysis Using Python | Understanding Descriptive Statistics	In this video, Survesh Chauhan, Data Scientist at Novartis & Mentor at Springboard India, explains an analysis of the IPL (Indian Premier League) dataset using a problem statement. With the help of the dataset, he explains descriptive statistics in detail in order to find out the mean, median, mode, variance, standard deviation and box plots from the IPL dataset. Descriptive Statistics is a major division of statistics that helps us understand a large chunk of data with summary charts and tables. Survesh will be using Python to explain how you can handle various outliers that will occur during the time of analysis. This video is a handy expert guide if you are planning to learn and transition into data science and it is suitable for both beginners who are just starting off with data analysis tutorials and for advanced learners who are preparing for data analytics jobs. If you're interested in receiving the stepwise analysis explained in this session, please share your email address in this google form https://bit.ly/2PUYcIR and we will send it to you in 48 hours. Here are a few related blogs: Data Modelling & Analysing Coronavirus (COVID19) Spread: https://bit.ly/3gdP65I Data Science Tutorial: Exploratory Data Analysis Using Python https://bit.ly/3fdhCTB Deep Dive into K-Nearest Neighbors (KNN) Machine Learning Algorithm: https://bit.ly/2D32jjh What is Linear Regression Algorithm? Introduction & Implementation https://bit.ly/3126rYN Time Series Analysis: Interactive Time Series Maps for COVID-19 Spread with GeoPandas and Ipywidgets: https://bit.ly/2P4Eni6 Use of Data Science in the Game of Cricket﻿: https://bit.ly/3kGkTil Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #DataAnalysis #DataAnlyticsProject #IPL #IPLAnalysis #DescriptiveStatistics #Statistics #DataAnalyst #Data Analytics #IPLDataset #Dataset	27	Education	PT40M46S	2446	2d	hd	false	https://i.ytimg.com/vi/-8bjo781_fg/maxresdefault.jpg		1035	47	0	0	9
7	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	4iRB4e25cGA	2020-08-11T13:39:12Z	2020-08-11 13:39:12	Defining a Data Analytics Problem Statement & Understanding Hypothesis Testing	Did you know that Analytics problems need to be defined in detail in order to approach it correctly? A 'SMART' framework is adopted in order to define the problem statement and this video will prepare you for it. In the session, Sonia Motwani, Analytics Professional at a leading Fintech company and Teaching Assistant at Springboard, explains the Analytics framework and will try to solve a problem with this methodology. She will help you in understanding and defining an analytics problem statement in a stepwise manner, including the approach you have to follow while defining a problem statement. She will further explain how the SMART framework is used to define problem statements along with an introduction to Hypothesis. She will also share a guide on creating a Hypothesis. A Hypothesis is an educated guess of what you think will happen when you do your experiment. Hypothesis testing is used to assess the plausibility of a hypothesis by using sample data. This is a seven-step process that Sonia will be discussing during the session. This video is a handy guide if you are planning to learn and transition into data analytics, and is suitable for both freshers or technology professionals who are just starting off with data analytics tutorials and also for advanced learners who are preparing for data analyst jobs. Here are a few related blogs: What is Data Analysis? A Quick Guide to Data Analysis Tools, Definition and Data Analyst Jobs: https://bit.ly/2YV4u0z Top 5 Data Analytics Projects: https://bit.ly/2YUZRDP Introduction to Bayes Theorem & Naive Bayes Algorithm with Application in Data Analytics Using Python https://bit.ly/3fFTv0c Data Analytics Applications in Aarogya Setu App for Tracing COVID 19: https://bit.ly/3fQuvmN How to Become a Data Analyst – 5 Steps to Become a Superhero Data Analyst: https://bit.ly/2O4pM5T How to Get Data Analytics Jobs?https://bit.ly/38nJqmx Salary Trends in Data Analytics in India: https://bit.ly/38p03y9 Data Modelling & Analysing Coronavirus (COVID19) Spread using Data Science & Data Analytics in Python Code: https://bit.ly/38qfOFi Top 6 Tips to Crack a Data Analytics Interview: https://bit.ly/38v7N1F Top Data Analytics Companies You Should Look out for this Year: https://bit.ly/2YTRyb9 Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG About Springboard Springboard is on a mission to transform one million lives by 2030. More than 20,000 students across 100+ countries have used Springboard to advance their careers. Springboard believes that each student is unique, and needs a learning experience designed to fit their life’s pace, supported by advisors and mentors. The company offers mentor-guided online programs that empower students to shape their future. Graduates have landed jobs with employers like Microsoft, LinkedIn, Facebook, and Boeing. Springboard has also trained corporate teams at the likes of Visa, Gusto, and The North Face. Springboard offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #AnalyticsProblem #DataAnalytics #Hypothesis #HypothesisTesting #SMARTFramework #Framework #DataAnalyticsFramework #HypothesisTestingMethodology #DataAnalyst #DataAnalystJobs #DataAnalyticsJobs	27	Education	PT1H4M50S	290	2d	hd	false	https://i.ytimg.com/vi/4iRB4e25cGA/maxresdefault.jpg		914	43	0	0	3
8	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	YFUCV3_ZN0c	2020-08-07T15:31:32Z	2020-08-07 15:31:32	Exploratory Data Analysis & Preprocessing Titanic Dataset for Data Modelling	In this video, Abhishek Periwal, ML Decision Scientist at Flipkart & Mentor at Springboard India, explains exploratory data analysis with the help of the titanic dataset. The dataset contains the details of the passengers who had boarded the ship. In this video, Abhishek analyses features, finds any relations or trends of features with the target variable, finds null values and transforms variables for model consumption. He does a basic transformation that is required for data modelling, using libraries like NumPy, Pandas, MatpotLib, and Seaborn. This video is a handy expert guide if you are planning to learn and transition into data science and it is suitable for both freshers or technology professionals who are just starting off with data science tutorials and for advanced learners who are preparing for data science jobs. If you're interested in receiving the stepwise analysis explained in this session, please share your email address in this google form https://bit.ly/2Djn5Lz and we will send it to you within 48 hours. Here are a few related blogs: Data Modelling & Analysing Coronavirus (COVID19) Spread: https://bit.ly/3gdP65I Data Science Tutorial: Exploratory Data Analysis Using Python https://bit.ly/3fdhCTB Deep Dive into K-Nearest Neighbors (KNN) Machine Learning Algorithm: https://bit.ly/2D32jjh What is Linear Regression Algorithm? Introduction & Implementation https://bit.ly/3126rYN Time Series Analysis: Interactive Time Series Maps for COVID-19 Spread with GeoPandas and Ipywidgets: https://bit.ly/2P4Eni6 Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG Who are we? Springboard is a leading online platform for workforce upskilling, headquartered in San Francisco with an office in Bangalore, offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #ExploratoryDataAnalysis #Preprocessing #DataAnalysis #DataModelling #Modelling #NumPy #Pandas #Seaborn #DataSciencetutorial #Flipkart #DecisionScientist	27	Education	PT44M39S	2679	2d	hd	false	https://i.ytimg.com/vi/YFUCV3_ZN0c/maxresdefault.jpg		754	31	1	0	5
9	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	iTS6KTNrLzI	2020-08-05T12:39:18Z	2020-08-05 12:39:18	What Does a Data Scientist Do? | A Day in the Life of a Maersk Data Scientist	Wondering what does a data scientist do in real-life and why are data scientist jobs a hot career option today? This video is your one-stop guide to understand the responsibility of a data scientist. In this session, Akul Sharma, Data Scientist at Maersk and Mentor at Springboard India, shares a sneak-peek into his workday. He will speak about how data science is not just a part of his professional life but he also loves to implement data science even in his day to day problems. He will further help you understand what data scientist really do along with the prerequisite skills that you need to become a successful data scientist. This video is a handy guide if you are planning to learn and transition into data science, and is suitable for both freshers and technology professionals who are just starting off with data science tutorials and also for advanced learners who are preparing for data science jobs. Bonus: In this video, Akul will also address myths around data scientist jobs. Here are a few related blogs: What Does a Data Scientist Do? https://bit.ly/3fqwPAN A Day in the Life of a Data Scientist Explained https://bit.ly/3fsKS8X What are the required skills for data science? https://bit.ly/2BXGa5s Data Scientist Job Descriptions: How to write an effective Data Scientist resume? https://bit.ly/3fsL1cv Mentoring vs Teaching – Which Learning Method Should You Choose? https://bit.ly/39ZwXpL What is Data Science in Simple Words? Data Science from Scratch Explained by a Data Professional https://bit.ly/3gIoWZf 15 Data Science Interview Questions and Answers #3 – Curated by a ZestMoney Data Scientist: https://bit.ly/30rwaea Common Myths About Data Scientist Jobs In India And What The Reality Holds: https://bit.ly/3a4QyFm Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG Who are we? Springboard is a leading online platform for workforce upskilling, headquartered in San Francisco with an office in Bangalore, offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #DataScience #DataScientist #DataScientistJobs #DataScienceJobs #DataScienceApplications #CareerAdvice #CareerTransition #Maersk	27	Education	PT54M21S	3261	2d	hd	false	https://i.ytimg.com/vi/iTS6KTNrLzI/maxresdefault.jpg		1576	40	0	0	12
10	UCg5UINpJgS4uqWZkv2Qh1Mw	Springboard India	Y7Xkqqfz1UU	2020-07-31T13:46:53Z	2020-07-31 13:46:53	Unsupervised Learning Algorithms: Introduction to Market Basket Analysis & Density Based Algorithms	In this session, Arihant Jain, Data Scientist at ZestMoney & Mentor at Springboard India, explains two important unsupervised learning algorithms - market basket analysis algorithm and density based algorithm This video is designed to help you understand the two algorithms and their implementation using a business case study. Market basket analysis is one of the fundamental techniques used by large retailers to uncover the association between items but there is more to it and this session will prepare you for it. This hands-on session is your one-stop guide to understanding and implementing market basket analysis and density based algorithms in your projects. This session will cover the following topics: - Different Types of Learning - Applications of Unsupervised Learning - Introduction to Clustering & K Means Clustering - Density-based Spatial Clustering of Applications with Noise (DBSCAN) - Understanding Market Basket Analysis - Introduction to Association Rules Analysis - Understanding Apriori Algorithm & its Use Case - Unsupervised Learning Drawbacks - Hands On Tutorial Also, we have the step-by-step guide for this analysis to give away post the session. If you're interested in receiving the stepwise analysis explained in this session please share your email address in this google form https://bit.ly/2Pa41Sm and we will send it to you in 48 hours. Here are a few related blogs: Supervised vs Unsupervised Learning: A Beginner’s Guide: https://bit.ly/315Udi4Hands-on Training with Machine Learning Algorithms: Decision Tree and Random Forest: https://bit.ly/317Aaj1 Regression vs Classification in Machine Learning: What is The Difference? https://bit.ly/2CVRujf Recommender System with Python: Collaborative Filtering for Movie Recommendation System https://bit.ly/30ZKaLk NLP Project: How to Build an Automated Question Answering Model from FAQs Using Word-embeddings https://bit.ly/3hLGrb4 Deep Learning Project Ideas: Text Generation Using Recurrent Neural Networks (RNNs) and Transformers in NLP https://bit.ly/33cJB3C Presenting a short and concise guide to Data Science Salary in India. Read it to know and understand how your future pay will look like after transitioning to Data Science: https://bit.ly/3eCGRPI Here is a research guide that would help you in choosing your mentor: https://bit.ly/3gfWsFG Who are we? Springboard is a leading online platform for workforce upskilling, headquartered in San Francisco with an office in Bangalore, offers fully-online, job-guaranteed courses for early- and mid-career professionals in analytics, data science, design, software engineering and other new-economy fields where the demand for talent exceeds supply. Springboard students enjoy unlimited one-on-one support from expert mentors and career coaches, and a uniquely human experience that leads to higher completion rates and job placements. Learn more on our website: https://bit.ly/2YCXaqr For more information, please write to us at india@springboard.com or call us at +91 9071123424 Follow Springboard: Facebook: https://www.facebook.com/springboardind/ LinkedIn: https://www.linkedin.com/company/spri... Twitter: https://twitter.com/springboard_ind Medium: https://medium.com/@springboard_ind #UnsupervisedLearningAlgorithm #MarketBasketAnalysis #DensityBasedAlgorithm #MachineLearning #DataScience #Algorithms #Clustering #KMeansClustering #AprioriAlgorithm	27	Education	PT1H10M35S	635	2d	hd	false	https://i.ytimg.com/vi/Y7Xkqqfz1UU/maxresdefault.jpg		665	27	0	0	2
