position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	GrJP9FLV3FE	2020-08-01T18:13:06Z	2020-08-01 18:13:06	XGBoost in Python from Start to Finish	NOTE: You can support StatQuest by purchasing the Jupyter Notebook and Python code seen in this video here: https://statquest.org/product/jupyter-notebook-xgboost-in-python/ NOTE: This StatQuest assumes that you are already familiar with: XGBoost for Regression: https://youtu.be/OtD8wVaFm6E XGBoost for Classification: https://youtu.be/8b1JEDvenQU XGBoost: Crazy Cool Optimizations: https://youtu.be/oRrKeUCEbq8 Regularization: https://youtu.be/Q81RR3yKn30 Cross Validation: https://youtu.be/fSytzGwwBVw Confusion Matrices: https://youtu.be/Kdsp6soqA7o For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 2:56 Import Modules 4:34 Import Data 13:43 Missing Data Part 1: Identifying 18:37 Missing Data Part 2: Dealing with it 24:03 Format Data Part 1: X and y 25:55 Format Data Part 2: One-Hot Encoding 33:25 XGBoost - Missing Data and One-Hot Encoding 36:43 Build a Preliminary XGBoost Model 45:01 Optimize Parameters with Cross Validation (GridSearchCV) 49:44 Build and Draw Final XGBoost Model #StatQuest #ML #XGBoost	27	Education	PT56M43S	3403	2d	hd	false	https://i.ytimg.com/vi/GrJP9FLV3FE/maxresdefault.jpg	1	14480	830	3	0	150
2	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	Y5tyrAxhmUc	2020-07-20T04:00:03Z	2020-07-20 04:00:03	The Elements of StatQuest (Webinar)	This Webinar and Q&A was brought to you by XP Inc. For more information about XP Inc, see: https://www.xpinc.com/ For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Introduction 1:16 The History of StatQuest 4:55 Rule #1: Focus on the Main Ideas 9:59 Rule #2: Have empathy with your audience 11:31 Rule #3: Use pictures 14:17 Rules #4 and #5: Repetition is helpful and Do the math 21:01 Rule #6 Don't repeat existing explanations 23:08 Rule #7 Limit presentation to 3 Main Ideas 24:50 Don't use a laser pointer 27:27 Dare to look stupid 29:16 Summary 32:58 Q&A: How to communicate 34:32 Q&A: The future of Big Data 39:58 Q&A: What about AutoML? 43:54 How to prepare for the future of Data Science 48:03 Academics vs Industry 52:11 Data Science vs PowerPoint 57:00 Are Neural Nets overrated? 1:00:17 What is the story behind the silly songs and BAM? 1:02:35 What is my favorite ML algorithm? 1:03:32 When and why did I decide to become a full time YouTuber 1:07:18 What do I think of the 5% cutoff for p-values? 1:12:50 A silly song!!! #StatQuest	27	Education	PT1H13M39S	819	2d	hd	false	https://i.ytimg.com/vi/Y5tyrAxhmUc/maxresdefault.jpg	1	4224	232	0	0	88
3	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	wl1myxrtQHQ	2020-07-13T04:00:18Z	2020-07-13 04:00:18	The Chain Rule	The Chain Rule is a method for finding complex derivatives and is used all the time in Statistics and Machine Learning. This video breaks it down into its two simple pieces and shows you how they easily come together. We then use the Chain Rule to solve a common Machine Learning problem - optimizing the Residual Squared Loss Function. For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 2:02 A super simple example 6:32 A slightly more complicated example 9:16 The Chain Rule when the relationship is not obvious 11:47 The Chain Rule for the Residual Sum of Squares #StatQuest #TheChainRule	27	Education	PT18M24S	1104	2d	hd	false	https://i.ytimg.com/vi/wl1myxrtQHQ/maxresdefault.jpg	1	8832	433	1	0	93
4	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	0oc49DyA3hU	2020-07-06T04:00:01Z	2020-07-06 04:00:01	Hypothesis Testing and The Null Hypothesis	One of the most basic concepts in statistics is hypothesis testing and something called The Null Hypothesis. This video breaks these concepts down into easy to understand pieces so that you can understand their motivation and their uses. By the time you're done with this video, Hypothesis Testing and the Null Hypothesis will be Clearly Explained!!! NOTE: If you'd like to learn about The Alternative Hypothesis, check out... And if you'd like to learn about p-values, check out... p-values: What they are and how to interpret them: https://youtu.be/vemZtEM63GY How to Calculate p-values: https://youtu.be/JQc3yx0-Q9E For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 0:22 Background 2:32 First hypothesis 4:09 Rejecting a hypothesis 4:40 Second hypothesis 7:14 Failing to reject a hypothesis 8:21 Rejecting vs Failing to Reject 9:01 Motivation for the Null Hypothesis 9:51 The Null Hypothesis 13:44 The next steps #StatQuest #NullHypothesis	27	Education	PT14M41S	881	2d	hd	false	https://i.ytimg.com/vi/0oc49DyA3hU/maxresdefault.jpg	1	12627	529	5	0	70
5	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	5koKb5B_YWo	2020-07-06T04:00:00Z	2020-07-06 04:00:00	Alternative Hypotheses: Main Ideas!!!	In Statistics, when we do Hypothesis Testing, we are supposed to have two hypotheses: A primary, or Null Hypothesis and an Alternative Hypothesis. This StatQuest explains why we need the Alternative Hypothesis, even though Hypothesis Testing tends to focus on the Null. NOTE: This StatQuest follows up on Hypothesis Testing and the Null Hypothesis: https://youtu.be/0oc49DyA3hU And if you'd like to learn about p-values, check out... p-values: What they are and how to interpret them: https://youtu.be/vemZtEM63GY How to Calculate p-values: https://youtu.be/JQc3yx0-Q9E Lastly, if you would like to learn about Statistical Tests, see: https://www.youtube.com/playlist?list=PLblh5JKOoLUIzaEkCLIUxQFjPIlapw8nU For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 1:49 The Alternative Hypothesis 3:21 Testing the Null vs Alternative for 2 groups 5:38 Testing the Null vs Alternative for 3 or more groups 8:00 Summary and next steps #StatQuest #AlternativeHypothesis	27	Education	PT9M50S	590	2d	hd	false	https://i.ytimg.com/vi/5koKb5B_YWo/maxresdefault.jpg	1	6255	275	0	0	37
6	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	8A7L0GsBiLQ	2020-06-30T17:34:48Z	2020-06-30 17:34:48	Support Vector Machines in Python from Start to Finish.	NOTE: You can support StatQuest by purchasing the Jupyter Notebook and Python code seen in this video here: https://statquest.org/product/jupyter-notebook-support-vector-machines-in-python/ This webinar was recorded 20200609 at 11:00am (New York Time) NOTE: This StatQuest assumes that you are already familiar with: Support Vector Machines: https://youtu.be/efR1C6CvhmE The Radial Basis Function: https://youtu.be/Qc5IyLW_hns Regularization: https://youtu.be/Q81RR3yKn30 Cross Validation: https://youtu.be/fSytzGwwBVw Confusion Matrices: https://youtu.be/Kdsp6soqA7o For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 4:16 Import Modules 6:36 Import Data 11:27 Missing Data Part 1: Identifying 16:57 Missing Data Part 2: Dealing with it 21:04 Downsampling the data 24:35 Format Data Part 1: X and y 26:35 Format Data Part 2: One-Hot Encoding 31:25 Format Data Part 3: Centering and Scaling 32:45 Build a Preliminary SVM 34:55 Optimize Parameters with Cross Validation (GridSearchCV) 37:58 Build and Draw Final SVM #StatQuest #ML #SVM	27	Education	PT44M49S	2689	2d	hd	false	https://i.ytimg.com/vi/8A7L0GsBiLQ/maxresdefault.jpg	1	7766	385	0	0	98
7	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	isEcgoCmlO0	2020-06-15T15:36:26Z	2020-06-15 15:36:26	Live 2020-06-15!!! Bootstrapping, Main Ideas	Today we're going to talk about Bootstrapping. This is one of those fancy sounding things that is actually quite simple and crazy powerful. Today we will walk through how Bootstrapping can be used to test hypotheses with p-values. For more information about using Bootstrapping to calculate p-values, see: https://web.stanford.edu/class/archive/cs/cs109/cs109.1178/lectureHandouts/170-samples.pdf ...and... http://www.stat.ucla.edu/~rgould/110as02/bshypothesis.pdf And to learn more about the minimum number of measurements required for Bootstrapping, see: https://stats.stackexchange.com/questions/33300/determining-sample-size-necessary-for-bootstrap-method-proposed-method For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...buying a StatQuest Study Guide... https://statquest.org/studyguides/ ...or a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer	27	Education	PT32M5S	1925	2d	hd	false	https://i.ytimg.com/vi/isEcgoCmlO0/maxresdefault.jpg	1	7775	437	4	0	92
8	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	q90UDEgYqeI	2020-06-07T01:50:06Z	2020-06-07 01:50:06	Decision Trees in Python from Start to Finish	NOTE: You can support StatQuest by purchasing the Jupyter Notebook and Python code seen in this video here: https://statquest.org/product/jupyter-notebook-classification-trees-in-python-from-start-to-finish/ This webinar was recorded 20200528 at 11:00am (New York time). NOTE: This StatQuest assumes are already familiar with: Decision Trees: https://youtu.be/7VeUPuFGJHk Cross Validation: https://youtu.be/fSytzGwwBVw Confusion Matrices: https://youtu.be/Kdsp6soqA7o Cost Complexity Pruning: https://youtu.be/D0efHEJsfHo Bias and Variance and Overfitting: https://youtu.be/EuBBz3bI-aA For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 5:23 Import Modules 7:40 Import Data 11:18 Missing Data Part 1: Identifying 15:57 Missing Data Part 2: Dealing with it 21:16 Format Data Part 1: X and y 23:33 Format Data Part 2: One-Hot Encoding 37:29 Build Preliminary Tree 46:31 Pruning Part 1: Visualize Alpha 51:22 Pruning Part 2: Cross Validation 56:46 Build and Draw Final Tree #StatQuest #ML #ClassificationTrees	27	Education	PT1H6M24S	384	2d	sd	false	https://i.ytimg.com/vi/q90UDEgYqeI/maxresdefault.jpg	1	14249	620	5	0	157
9	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	H3EjCKtlVog	2020-06-03T12:36:37Z	2020-06-03 12:36:37	Gaussian Naive Bayes, Clearly Explained!!!	Gaussian Naive Bayes takes are of all your Naive Bayes needs when your training data are continuous. If that sounds fancy, don't sweat it! This StatQuest will clear up all your doubts in a jiffy! NOTE: This StatQuest assumes that you are already familiar with... Multinomial Naive Bayes: https://youtu.be/O2L2Uv9pdDA The Log Function: https://youtu.be/VSi0Z04fWj0 The Normal Distribution: https://youtu.be/rzFX5NWojp0 The difference between Probability and Likelihood: https://youtu.be/pYxNSUDSFH4 For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 1:00 Creating Gaussian distributions from Training Data 2:34 Classification example 4:46 Underflow and Log() function 7:27 Some variables have more say than others #statquest #naivebayes	27	Education	PT9M41S	581	2d	hd	false	https://i.ytimg.com/vi/H3EjCKtlVog/maxresdefault.jpg	1	21877	815	2	0	112
10	UCtYLUTtgS3k1Fg4y5tAhLbw	StatQuest with Josh Starmer	O2L2Uv9pdDA	2020-06-03T12:35:57Z	2020-06-03 12:35:57	Naive Bayes, Clearly Explained!!!	When most people want to learn about Naive Bayes, they want to learn about the Multinomial Naive Bayes Classifier - which sounds really fancy, but is actually quite simple. This video walks you through it one step at a time and by the end, you'll no longer be naive about Naive Bayes!!! Get the StatQuest Study Guide here: https://statquest.org/studyguides/ For a complete index of all the StatQuest videos, check out: https://statquest.org/video-index/ If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join ...a cool StatQuest t-shirt or sweatshirt (USA/Europe): https://teespring.com/stores/statquest (everywhere): https://www.redbubble.com/people/starmer/works/40421224-statquest-double-bam?asc=u&p=t-shirt ...buying one or two of my songs (or go large and get a whole album!) https://joshuastarmer.bandcamp.com/ ...or just donating to StatQuest! https://www.paypal.me/statquest Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter: https://twitter.com/joshuastarmer 0:00 Awesome song and introduction 1:08 Histograms and conditional probabilities 4:22 Classifying "Dear Friend" 7:33 Review of concepts 9:00 Classifying "Lunch Money x 5" 10:54 Pseudocounts 12:35 Why Naive Bayes is Naive #statquest #naivebayes	27	Education	PT15M12S	912	2d	hd	false	https://i.ytimg.com/vi/O2L2Uv9pdDA/maxresdefault.jpg	1	59434	2573	35	0	352
