position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	348a-EubKOg	2020-07-07T06:27:50Z	2020-07-07 06:27:50	SQL OUTER JOIN		27	Education	PT8M38S	518	2d	hd	true	https://i.ytimg.com/vi/348a-EubKOg/maxresdefault.jpg	1	144			0	
2	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	BoW9oTRGoFA	2020-06-30T06:13:50Z	2020-06-30 06:13:50	SQL INNER JOIN		27	Education	PT8M33S	513	2d	hd	false	https://i.ytimg.com/vi/BoW9oTRGoFA/maxresdefault.jpg	1	159			0	
3	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	bqZuegSt_Fw	2020-06-30T02:06:51Z	2020-06-30 02:06:51	SQL WHERE Function, OR AND Function, DISTINCT Function		27	Education	PT10M11S	611	2d	hd	true	https://i.ytimg.com/vi/bqZuegSt_Fw/maxresdefault.jpg		155			0	
4	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	4ijm9zpOuRo	2020-06-30T02:06:38Z	2020-06-30 02:06:38	SQL SELECT FROM Function	Database website: https://www.w3schools.com/sql/trysql.asp?filename=trysql_op_in	27	Education	PT11M19S	679	2d	hd	true	https://i.ytimg.com/vi/4ijm9zpOuRo/maxresdefault.jpg		143			0	
5	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	ceX08P04Azg	2020-06-29T22:27:23Z	2020-06-29 22:27:23	How to Use the Database and SQL Tutorial Website	Database website: https://www.w3schools.com/sql/trysql.asp?filename=trysql_op_in	27	Education	PT5M	300	2d	sd	true		1	143			0	
6	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	rbX253HKp4s	2020-04-16T10:24:14Z	2020-04-16 10:24:14	What Is Machine Learning? A Useful Quick & Easy No Mathematics Explanation	1. PowerPoint Slide Download https://drive.google.com/file/d/10MCuFsvWD3jC_uHOP8kIDK_02JtPeqYR/view?usp=sharing 2. Gradient Descent Algorithm Details: https://www.youtube.com/watch?v=sDv4f4s2SB8	27	Education	PT11M37S	697	2d	sd	false		1	99			0	
7	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	K6yHncPCnzY	2019-12-02T22:31:51Z	2019-12-02 22:31:51	Sensitivity Analysis in Python	1. Sensivity Analysis in Python Code https://drive.google.com/open?id=1-WwbgV_YeS_ZcZEfj8WbPrucAoTO9PsA 2. Linear Programming in Python Lecture Video https://www.youtube.com/watch?v=1hECt5mVfWo&list=PL_iP0SGUzx9SR_33wUp58T1B-lzO8qNrq&index=4	27	Education	PT10M5S	605	2d	hd	false		1	1777			0	
8	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	1hECt5mVfWo	2019-12-01T03:18:40Z	2019-12-01 03:18:40	Linear Programming and Optimization Analysis in Python (Python and pulp Tutorial Starts from 7'53")	1. Linear Programming Using Python & pulp Code: https://drive.google.com/open?id=1hr6CKld5uMggX4dSjDp159L9X5raK0jk 2. Linear Programming Using Python & pulp Tutorial Lecture PowerPoint https://drive.google.com/open?id=1LVbSeJfugQU4D8-vXbNJrQ4VJiYknRXU 3. Python (Jupyter) Installation Guide https://drive.google.com/open?id=0Bz9Gf6y-6XtTc0xXNUtLMXdXQTA 4. Introduction to Linear Programming (Optimization Analysis) Tutorial Videos https://www.youtube.com/watch?v=qvyCnB-GPsE&list=PL_iP0SGUzx9SFNNhZ7Zm2oEoXwJule4aO&index=2	27	Education	PT19M31S	1171	2d	hd	false		1	2131			0	
9	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	JwteBpgMYuE	2019-10-27T07:42:13Z	2019-10-27 07:42:13	How to Upload Source Data to Jupyter Notebook in Python	How to import source data into Jupyter Notebook for data analysis.	27	Education	PT4M1S	241	2d	hd	false		1	7790			0	
10	UCLSFrH7H3Memua6CV7bdVcQ	The Data Science Show	YO8Ar66fYqQ	2019-06-20T17:52:08Z	2019-06-20 17:52:08	Time Series Forecasting: Seasonality Analysis in Excel Using Holt-Winters Method	Holt-Winters seasonality analysis example in Excel. The Holt-Winters method is an algorithm for handling triple exponential smoothing.	27	Education	PT32M22S	1942	2d	sd	false		1	4553			0	
