position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	5QhqkZxf1js	2020-08-20T12:27:36Z	2020-08-20 12:27:36	Building 3500$ Deep Learning Workstation | Deep Learning PC build From Scratch	In this video, I am building Deep Learning PC build from scratch. Now just a disclaimer, in order to learn deep learning you don't need to have such an expensive setup. Whatever laptop or personal computer you have should still work ok. If you have a requirements for running heavy jobs, you can utilize cloud for that. For me, NVIDIA gave 2500$ Titan RTX GPU for free and than I spent close to 1000$ for other parts to build this PC. My plan is to run some heavy deep learning jobs on this computer and I will be making videos on that in future. Special thanks to my nephew (Harsh Patel) who helped me a lot during entire PC build process. Thanks Harsh! :) PC Parts ======== Processor: AMD Ryzen 7 3700 8-Core Motherboard: Asus ROG Strix B450-F Gaming Motherboard GPU: NVIDIA Titan RTX SSD: Sabrent Rocket Q 1TB SSD Power Supply: Thermaltake 650 W power supply 32 GB RAM Cooling Graphite Thermal Pad (To keep the CPU cool) BenQ 27 inch monitor Thermaltake V200 Tempered Glass Case (Cabin) Magnetic LED strip (for inside lighting) Wireless keyboard and mouse Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT6M23S	383	2d	hd	false	https://i.ytimg.com/vi/5QhqkZxf1js/maxresdefault.jpg	1	3171	207	1	0	34
2	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	IU5fuoYBTAM	2020-08-18T16:00:12Z	2020-08-18 16:00:12	Stochastic Gradient Descent vs Batch Gradient Descent vs Mini Batch Gradient Descent |DL Tutorial 14	Stochastic gradient descent, batch gradient descent and mini batch gradient descent are three flavors of a gradient descent algorithm. In this video I will go over differences among these 3 and then implement them in python from scratch using housing price dataset. At the end of the video we have an exercise for you to solve. Previous video: https://www.youtube.com/watch?v=PQCE9ChuIDY&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=13 Code of this tutorial: https://github.com/codebasics/py/blob/master/DeepLearningML/8_sgd_vs_gd/gd_and_sgd.ipynb Exercise: Go at the end of above link to find description for exercise Deep learning playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO Machine learning playlist : https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Prerequisites for this series:    1: Python tutorials (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0     2: Pandas tutorials(first 8 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uuASpe-1LjfG5f14Bnozjwy 3: Machine learning playlist (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT36M47S	2207	2d	hd	false	https://i.ytimg.com/vi/IU5fuoYBTAM/maxresdefault.jpg	1	1009	77	1	0	23
3	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	PQCE9ChuIDY	2020-08-15T14:00:10Z	2020-08-15 14:00:10	Implement Neural Network In Python | Deep Learning Tutorial 13 (Tensorflow2.0, Keras & Python)	In this video we will implement a simple neural network with single neuron from scratch in python. This is also an implementation of a logistic regression in python from scratch. You know that logistic regression can be thought of as a simple neural network. The pre requisite for this tutorial is the previous tutorial on gradient descent (link below). We will be using gradient descent python funciton written in previous video to implement our own custom neural network class. Watch previous video on gradient descent: https://youtu.be/pXGBHV3y8rs Code of this tutorial: https://github.com/codebasics/py/blob/master/DeepLearningML/7_nn_from_scratch/7_neural_network_from_scratch.ipynb Next video: https://www.youtube.com/watch?v=IU5fuoYBTAM&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=14 Previous video: https://www.youtube.com/watch?v=pXGBHV3y8rs&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=12 Deep learning playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO Machine learning playlist : https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Prerequisites for this series:    1: Python tutorials (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0     2: Pandas tutorials(first 8 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uuASpe-1LjfG5f14Bnozjwy 3: Machine learning playlist (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT13M23S	803	2d	hd	false	https://i.ytimg.com/vi/PQCE9ChuIDY/maxresdefault.jpg	1	1292	77	0	0	26
4	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	E1yyaLRUnLo	2020-08-14T18:10:33Z	2020-08-14 18:10:33	Loss or Cost Function | Deep Learning Tutorial 11 (Tensorflow2.0, Keras & Python)	Loss or a cost function is an important concept we need to understand if you want to grasp how a neural network trains itself. We will go over various loss functions in this video such as mean absolute error (a.k.a MAE), mean squared error (a.k.a MSE), log loss or binary cross entropy. After going through theory we will implement these loss functions in python. It is important to go through this implementation as it might be useful during your interviews (if you are targeting a role of a data scientist or a machine learning engineer) Code: https://github.com/codebasics/py/blob/master/DeepLearningML/5_loss/5_loss_or_cost_function.ipynb Exercise: Go at the end of the above notebook to see the exercise Why not MSE for logistic regression: https://towardsdatascience.com/why-not-mse-as-a-loss-function-for-logistic-regression-589816b5e03c Next video: https://www.youtube.com/watch?v=pXGBHV3y8rs&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=12 Previous video: https://www.youtube.com/watch?v=Wibxjrxf5ko&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=10 Deep learning playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO Machine learning playlist : https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Prerequisites for this series:    1: Python tutorials (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0     2: Pandas tutorials(first 8 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uuASpe-1LjfG5f14Bnozjwy 3: Machine learning playlist (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT24M37S	1477	2d	hd	false	https://i.ytimg.com/vi/E1yyaLRUnLo/maxresdefault.jpg	1	904	43	0	0	12
5	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	pXGBHV3y8rs	2020-08-14T17:35:49Z	2020-08-14 17:35:49	Gradient Descent For Neural Network | Deep Learning Tutorial 12 (Tensorflow2.0, Keras & Python)	Gradient descent is the heart of all supervised learning models. It is important to understand this technique if you are pursuing a career as a data scientist or a machine learning engineer. In this video we will see a very simple explanation of what a gradient descent is for a neural network or a logistic regression (remember logistic regression is a very simple single neuron neural network). We will than implement gradient descent from scratch in python. In my machine learning tutorial series I already have a video on gradient descent but that one is on linear regression whereas this video is for logistic regression for neural network. Here is the link of my linear regression GD video, GD tutorial on regression: https://www.youtube.com/watch?v=vsWrXfO3wWw Code of this tutorial: https://github.com/codebasics/py/blob/master/DeepLearningML/6_gradient_descent/6_gradient_descent.ipynb Next video: https://www.youtube.com/watch?v=PQCE9ChuIDY&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=13 Previous video: https://www.youtube.com/watch?v=E1yyaLRUnLo&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=11 Deep learning playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO Machine learning playlist : https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Prerequisites for this series:    1: Python tutorials (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0     2: Pandas tutorials(first 8 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uuASpe-1LjfG5f14Bnozjwy 3: Machine learning playlist (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT41M34S	2494	2d	hd	false	https://i.ytimg.com/vi/pXGBHV3y8rs/maxresdefault.jpg	1	1122	67	1	0	17
6	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	Wibxjrxf5ko	2020-08-04T14:00:10Z	2020-08-04 14:00:10	Matrix Basics | Deep Learning Tutorial 10 (Tensorflow2.0, Keras & Python)	Matrix fundamentals are essential to understand how deep learning works. In this video we will go over what is matrix, matrix multiplication, dot product etc. We will also do some coding in numpy to multiply matrix, find out dot product and so on. As usual I have intersting exercise for you to solve so make sure you work on that exercise. Code shown in this video: https://github.com/codebasics/py/blob/master/DeepLearningML/4_matrix_math/4_matrix_math.ipynb Exercise: https://github.com/codebasics/py/blob/master/DeepLearningML/4_matrix_math/4_matrix_math.md Useful reading on matrix fundamentals: https://www.mathsisfun.com/algebra/matrix-introduction.html Next video: https://www.youtube.com/watch?v=rYQIQrGmydU&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=11 Previous video: https://www.youtube.com/watch?v=cT4pQT5Da0Q&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=9 Deep learning playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO Machine learning playlist : https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Prerequisites for this series:    1: Python tutorials (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0     2: Pandas tutorials(first 8 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uuASpe-1LjfG5f14Bnozjwy 3: Machine learning playlist (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT11M42S	702	2d	hd	false	https://i.ytimg.com/vi/Wibxjrxf5ko/maxresdefault.jpg	1	2172	139	1	0	22
7	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	cHfang3LC1Y	2020-08-02T13:30:10Z	2020-08-02 13:30:10	How much money do I make on youtube? Detailed youtube statistics of my channel	In this video I will share all details on how much money I make on youtube. I will also share how many subscribers I get everyday, which videos perform the best and will give you a detailed overview of youtube studio. Youtube studio is an analytics platform created especially for youtube influencers like me. It helps me monitor health of my channel and gives me lot of insights on planning the work for the future. Here is the channel which me and my brother launched. Where we both will teach you how to start a youtube channel and make it successful. My brother is a young CEO of a successful software company that he founded at a very young age and he will also share many useful content on this channel such as how to start a business from ground up, how to build a digital marketing agency etc. So please subscribe to this channel: D&B talks channel:https://www.youtube.com/channel/UCb9AfI-bsXibgECEzyT7Bdw/featured Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT28M28S	1708	2d	hd	false	https://i.ytimg.com/vi/cHfang3LC1Y/maxresdefault.jpg	1	4789	330	9	0	113
8	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	cT4pQT5Da0Q	2020-08-01T13:30:10Z	2020-08-01 13:30:10	Derivatives | Deep Learning Tutorial 9 (Tensorflow2.0, Keras & Python)	Derivatives and partial derivatives are important concepts that we need to understand in order to gain knowledge on how neural network training works. We will be covering error back-propagation algorithm, gradient descent, chaining rule etc in upcoming videos. This video on derivatives and partial derivatives is a pre-requisite for those advanced level videos later. Derivative is very much similar to a slope. But it is a function and used for non linear equations. Slope is a constant and is used for linear equations. At the end of this video I have an exercise for you to solve. Please find derivative for those 6 equations and let me know how many you got right out of 6. Exercise: https://github.com/codebasics/py/blob/master/DeepLearningML/3_derivatives/derivatives_exercise.md Derivatives: https://www.mathsisfun.com/calculus/derivatives-introduction.html Next video: https://www.youtube.com/watch?v=Wibxjrxf5ko&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=10 Previous video: https://www.youtube.com/watch?v=icZItWxw7AI&list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO&index=8 Deep learning playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO Machine learning playlist : https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Prerequisites for this series:    1: Python tutorials (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0     2: Pandas tutorials(first 8 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uuASpe-1LjfG5f14Bnozjwy 3: Machine learning playlist (first 16 videos): https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw   Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT12M35S	755	2d	hd	false	https://i.ytimg.com/vi/cT4pQT5Da0Q/maxresdefault.jpg	1	2083	135	0	0	44
9	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	GKGIYPmdXGc	2020-07-31T12:30:01Z	2020-07-31 12:30:01	NVIDIA TITAN RTX UNBOXING	Titan RTX full specs: https://www.nvidia.com/en-us/deep-learning-ai/products/titan-rtx/ NVIDIA gifted me this monster GPU (worth 2500$) to support my work on youtube. Thanks NVIDIA. I am planning to create some awesome deep learning tutorials using this GPU. Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT3M2S	182	2d	hd	false	https://i.ytimg.com/vi/GKGIYPmdXGc/maxresdefault.jpg	1	2026	105	5	0	46
10	UCh9nVJoWXmFb7sLApWGcLPQ	codebasics	3r-zD_i4rbs	2020-07-21T12:30:13Z	2020-07-21 12:30:13	Data science career tips from Ken Jee (Data scientist and a youtuber)	I had a conversation with Ken Jee who is a head of data science department in the scouts consulting group. He also runs a youtube channel on data science. Ken Jee's channel: https://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg We discussed the following topics, 00:00 About ken 14:41 What's the most important trait/soft skills you look for when interviewing a candidate? 18:12 Do we need to know complex algorithms for python for data science? 22:43 I have to learn python and some libraries like Numpy, Pandas, Matplotlob.. does it sufficient? 25:13 As a beginner which sort of personal projects I should choose? 27:19 How we can deployment any Ml and Dl model in production with help of Flask or any other Platform? 28:49 How we can become expert in Data Analytics and Visualization Tools Like Tableau and Power BI 29:15 How much Important to having knowledge regarding the DataBase Management Like SQL 30:35 What is the best way to upskill me. Should I do more projects or compete in Kaggle competitions? 31:01 How the current situations impact the opportunity to become data scientist for freshers 35:25 Why data science jobs now get in a big demand? 40:12 How to prepare for data science interviews? 44:56 Which language you prefer for Sports Analytics R or Python? 45:23 Is Seaborn HeatMaps the best visualization for sports(Football, NBA, Cricket)? 48:05 What type of challenge you faced in data science projects? 51:25 Discuss Neural Networks and Backpropagation in Machine learning. Ken's project playlist: https://www.youtube.com/watch?v=MpF9HENQjDo&list=PL2zq7klxX5ASFejJj80ob9ZAnBHdz5O1t&index=1 Data structures in python playlist: https://www.youtube.com/playlist?list=PLeo1K3hjS3uu_n_a__MI_KktGTLYopZ12 Gradient descent python: https://www.youtube.com/watch?v=vsWrXfO3wWw Statistics book: https://amzn.to/3hdWJJt Website: http://codebasicshub.com/ Facebook: https://www.facebook.com/codebasicshub Twitter: https://twitter.com/codebasicshub Patreon: https://www.patreon.com/codebasics	27	Education	PT53M31S	3211	2d	hd	false	https://i.ytimg.com/vi/3r-zD_i4rbs/maxresdefault.jpg	1	3162	138	0	0	22
