Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender
Shri Bishnu Pada Ray,BJP,1,Graduate,59,1241034,Andaman & Nicobar Islands,0,0,M
Shri P. R. Ganeshan,RJD,0,Not Given,71,329563,Andaman & Nicobar Islands,0,0,M
Shri Pradeep Kumar Ekka,JDP,0,Others,37,410000,Andaman & Nicobar Islands,0,0,M
Shri T. Ali,IND,0,12th Pass,37,445957,Andaman & Nicobar Islands,296000,0,M
Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,3986000,Andaman & Nicobar Islands,0,0,M
Shri Vakiath Valappil Khalid,IND,0,8th Pass,41,57000,Andaman & Nicobar Islands,48362,0,M
Shri. Kuldeep Rai Sharma,INC,1,Graduate Professional,41,5409630,Andaman & Nicobar Islands,10374,0,M
Shri. M. S. Mohan,BSP,0,10th Pass,50,5452500,Andaman & Nicobar Islands,300000,0,M
Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,1488456,Andaman & Nicobar Islands,62000,0,M
Smti. R. S. Uma Bharathy,NCP,1,Graduate,44,73000,Andaman & Nicobar Islands,0,0,M
Ramesh Rathod,TDP,2,12th Pass,43,3410000,Adilabad,815241,0,M
A Laxman Rao,IND,0,10th Pass,47,1560000,Adilabad,0,0,M
Ade Tukaram,BJP,0,10th Pass,55,865000,Adilabad,370000,0,M
Banka Sahadev,IND,0,Not Given,56,118000,Adilabad,0,0,M
G Pentanna,IND,0,Post Graduate,36,436000,Adilabad,13000,0,M
Kotnak Ramesh,INC,0,12th Pass,39,2600000,Adilabad,0,0,M
Masram Nago Rao,PRAP,0,Post Graduate,59,350000,Adilabad,0,0,M
N Ramdas,IND,0,5th Pass,35,,Adilabad,0,0,M
Rathod Sadashiv Naik,BSP,0,Graduate,50,1150000,Adilabad,0,0,M
G V Harsha Kumar,INC,1,Post Graduate,50,7289000,Amalapuram,1014298,0,M
Akumarthi Suryanarayana,Trilinga Praja Pragati Party,0,5th Pass,50,395000,Amalapuram,0,0,M
Bheemarao Ramji Muthabathula,PPOI,0,10th Pass,39,50000,Amalapuram,0,0,M
Doctor G Varalakshmi,TDP,0,Graduate Professional,51,10853316,Amalapuram,0,0,F
G Sampada Rao,BSP,0,Graduate Professional,39,20000,Amalapuram,0,0,M
K Uma Maheswara Rao,BJP,0,Graduate Professional,65,16079000,Amalapuram,0,0,M
Kiran Kumar Binepe,PBHP,0,Not Given,43,15887,Amalapuram,0,0,M
Masa Ramadasu,RDMP,0,Not Given,45,20000,Amalapuram,0,0,M
P V Chakravarthi,RPI(KH),0,Graduate Professional,54,200000,Amalapuram,0,0,M
Pothula Prameela Devi,PRAP,0,Graduate,55,550000,Amalapuram,0,0,F
Yalangi Ramesh,IND,0,Graduate Professional,45,520000,Amalapuram,0,0,M
Sabbam Hari,INC,0,12th Pass,55,85032286,Anakapalle,450000,1,M
Allu Aravind,PRAP,1,Graduate,62,452181969,Anakapalle,53958644,0,M
Bheemisetti Nageswararao,RJD,0,Post Graduate,41,1120500,Anakapalle,200000,0,M
Boyina Nageswara Rao,JD(U),0,5th Pass,52,500000,Anakapalle,380898,0,M
Kirla Appa Rao,BJP,0,Not Given,57,50000,Anakapalle,0,0,M
Nanda Gopal Gandham,IND,0,Others,60,148180000,Anakapalle,30000000,0,M
Nookarapu Surya Prakasa Rao,TDP,0,Graduate,50,119726600,Anakapalle,0,0,M
Pathala Satya Rao,IND,0,Literate,46,150000,Anakapalle,0,0,M
Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,3500,Anakapalle,0,0,M
Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,6046173,Anakapalle,1798837,0,M
Anantha Venkata Rami Reddy,INC,0,Post Graduate,52,13015000,Anantapur,0,1,M
Amarnath,LSP,0,Graduate,32,488500,Anantapur,0,0,M
Ambati Rama Krishna Reddy,BJP,0,Graduate Professional,41,25550000,Anantapur,251000,0,M
Devella Murali,IND,0,5th Pass,45,,Anantapur,0,0,M
G Hari,PPOI,0,Post Graduate,30,80000,Anantapur,0,0,M
Gaddala Nagabhushanam,BSP,2,Post Graduate,48,575000,Anantapur,9000,0,M
J C Ramanujula Reddy,IND,0,8th Pass,52,2543000,Anantapur,0,0,M
K P Narayana Swamy,IND,0,Graduate,41,,Anantapur,0,0,M
Kalava Srinivasulu,TDP,0,Post Graduate,44,4205517,Anantapur,1950000,0,M
Krushnapuram Gayathri Devi,CPI(ML)(L),0,5th Pass,36,1057900,Anantapur,750000,0,F
Mansoor,PRAP,0,10th Pass,56,33790000,Anantapur,0,0,M
T Chandra Sekhar,IND,0,Not Given,30,800000,Anantapur,0,0,M
V. Kishore Chandra Deo,INC,0,Post Graduate,62,247410000,Araku,0,1,M
A Gumpa Swamy,IND,0,Illiterate,60,,Araku,0,0,M
G Balayya Dora,RJD,0,Graduate,38,509264,Araku,0,0,M
Illa Rami Reddy,IND,0,Literate,54,,Araku,0,0,M
Jayalakshmi Sambudu,IND,0,Not Given,39,,Araku,0,0,F
K Appa Rao,IND,0,10th Pass,48,1103000,Araku,0,0,M
Kurusa  Bojjaiah,BJP,0,10th Pass,56,1028805,Araku,0,0,M
Lake Raja Rao,BSP,0,12th Pass,50,350000,Araku,0,0,M
Meenaka Simhachalam,PRAP,0,Graduate,43,2029200,Araku,0,0,M
Midiyam Babu Rao,CPM,0,Graduate Professional,58,707000,Araku,0,0,M
Vadigala Pentayya,LSP,0,Graduate,56,1045000,Araku,780000,0,M
Panabaka Lakshmi,INC,0,Post Graduate,50,16635386,Bapatla,0,1,F
Battula Rosayya,BJP,0,Not Given,52,,Bapatla,0,0,M
Dara Sambaiah,BSP,0,Not Given,62,7170000,Bapatla,698162,0,M
Garikapati Sudhakar,RDMP,0,8th Pass,32,60000,Bapatla,0,0,M
Golla Babu Rao,IND,0,Post Graduate,34,50000,Bapatla,0,0,M
Gorremuchu Chinna Rao,IND,0,5th Pass,42,258000,Bapatla,110985,0,M
Gudipalli Sathya Babuji,IND,0,Graduate,40,3900000,Bapatla,0,0,M
Malyadri Sriram,TDP,0,Post Graduate,55,15870952,Bapatla,0,0,M
Nuthakki Rama Rao,PRAP,0,Post Graduate,61,32825159,Bapatla,0,0,M
Komatireddy Raj Gopal Reddy,INC,0,Graduate,41,194763618,Bhongir,6057899,1,M
Chintha Samba Murthy,BJP,0,Graduate,50,165000,Bhongir,0,0,M
Gandam Chandramouli,PRAP,0,Post Graduate,49,2700000,Bhongir,0,0,M
Mamidigalla John Babu,IND,0,Not Given,40,,Bhongir,0,0,M
Medi Narsimha,IND,0,10th Pass,31,360000,Bhongir,0,0,M
Nomula Narsimhaiah,CPM,3,Post Graduate,53,10247088,Bhongir,0,0,M
Palla Prabhakar Reddy,PPOI,0,Graduate,65,6600000,Bhongir,50000,0,M
Peruku Anjaiah,IND,0,12th Pass,46,570000,Bhongir,0,0,M
Poosa Bala Kishan,IND,0,12th Pass,35,42000,Bhongir,0,0,M
