Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities
Kuldeep Rai Sharma,INC,0,Graduate Professional,52,132233012,Andaman And Nicobar Islands,80450870
Ayan Mandal,AITC,0,Graduate,30,7270440,Andaman And Nicobar Islands,1500000
C G Saji Kumar,All India Hindustan Congress Party,0,12th Pass,48,120000,Andaman And Nicobar Islands,0
C U Rasheed,IND,0,12th Pass,34,202808,Andaman And Nicobar Islands,1700000
Gour Chandra Majumder,IND,0,Graduate,52,6062000,Andaman And Nicobar Islands,0
Henry,IND,0,10th Pass,50,56459,Andaman And Nicobar Islands,0
K Kalimuthu,IND,0,8th Pass,66,5850000,Andaman And Nicobar Islands,0
K Venkat Ram Babu,IND,0,10th Pass,45,352000,Andaman And Nicobar Islands,0
Minati Biswas,IND,0,8th Pass,51,3198500,Andaman And Nicobar Islands,400000
Paritosh Kumar Haldar,IND,0,Post Graduate,61,19916000,Andaman And Nicobar Islands,1311000
Prakash Minj,BSP,0,Post Graduate,43,1250000,Andaman And Nicobar Islands,240000
S Sudershan Rao,IND,0,Doctorate,58,8760000,Andaman And Nicobar Islands,8000000
Sanjay Meshack,AAP,0,12th Pass,49,99887782,Andaman And Nicobar Islands,1791076
V V Khalid,IND,0,8th Pass,51,1512000,Andaman And Nicobar Islands,350000
Vishal Jolly,BJP, 1 ,Graduate Professional,46,85140573,Andaman And Nicobar Islands,4633914
Chinta Anuradha,YSRCP,0,Graduate,46,85993362,Amalapuram,2431407
Ganti Harish Madhur,TDP,0,Graduate Professional,30,73049918,Amalapuram,1537488
Janga Goutham,INC,0,Graduate,49,14768500,Amalapuram,0
Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,6785061,Amalapuram,0
Mojas Raja Sekhar Duggirala,Janasena Party, 1 ,Post Graduate,59,28930012,Amalapuram,0
Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,Nil,Amalapuram,0
Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,12796,Amalapuram,0
Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,550000,Amalapuram,0
Rajani Chelle,Jana Jagruti Party,0,Graduate,30,261767,Amalapuram,0
Revu Sudhakar,IND,0,10th Pass,34,11000,Amalapuram,0
Dr.Beesetti Venkata Satyavathi,YSRCP,0,Graduate Professional,52,91526244,Anakapalle,11139279
Adari Anand Kumar,TDP,0,10th Pass,43,410547212,Anakapalle,205591400
Appala Naidu Tummagonta,IND,0,10th Pass,38,Nil,Anakapalle,0
Chintala Partha Sarathi,Janasena Party,0,Post Graduate,56,335308506,Anakapalle,110928567
Dr Gandi Venkata Satyanarayana Rao,BJP,0,Post Graduate,65,57688924,Anakapalle,9497894
K B Swaroop,Jana Jagruti Party,0,Graduate Professional,51,24454500,Anakapalle,0
