Institute ID,Name,City,State,PR Score,PR Rank,Score,Year,Rank
IR17-I-2-18243,Indian Institute of Science Bangalore,Bengaluru,Karnataka,83.33,1,83.28,2017,1
IR17-I-2-1-319,Jawaharlal Nehru University,New Delhi,Delhi,47.27,3,61.53,2017,2
IR17-I-2-18500,Banaras Hindu University,Varanasi,Uttar Pradesh,44.01,4,58.92,2017,3
IR17-I-2-30673,Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,6.92,55,58.25,2017,4
IR17-I-2-10326,Jadavpur University,Kolkata,West Bengal,28.81,9,57.32,2017,5
IR17-I-2-18292,Anna University,Chennai,Tamil Nadu,43.94,5,56.50,2017,6
IR17-I-2-1-2813521158,University of Hyderabad,Hyderabad,Telangana,27.06,11,56.30,2017,7
IR17-I-2-18552,University of Delhi,Delhi,Delhi,30.76,7,55.37,2017,8
IR17-I-2-18267,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,26.12,12,54.70,2017,9
IR17-I-2-1-618,Savitribai Phule Pune University,Pune,Maharashtra,11.20,35,52.81,2017,10
IR17-I-2-18189,Aligarh Muslim University,Aligarh,Uttar Pradesh,16.62,21,52.74,2017,11
IR17-I-2-1-2814289415,Jamia Millia Islamia,New Delhi,Delhi,9.73,42,51.75,2017,12
IR17-I-2-18599,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,49.96,2,51.46,2017,13
IR17-I-2-18572,Vellore Institute of Technology,Vellore,Tamil Nadu,32.95,6,51.36,2017,14
IR17-I-2-1-243,Indian Agricultural Research Institute,New Delhi,Delhi,11.52,34,51.20,2017,15
IR17-I-2-18606,Calcutta University,Kolkata,West Bengal,17.15,20,48.90,2017,16
IR17-I-2-15598,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,3.53,86,48.84,2017,17
IR17-I-2-18364,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,27.67,10,48.27,2017,18
IR17-I-2-18581,Visva Bharati,Kolkata,West Bengal,4.71,69,48.19,2017,19
IR17-I-2-1-624,Siksha`O` Anusandhan University,Bhubaneswar,Odisha,15.57,23,46.72,2017,20
IR17-I-2-18230,Homi Bhabha National Institute,Mumbai,Maharashtra,8.70,47,46.45,2017,21
IR17-I-2-18559,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,3.79,84,46.45,2017,21
IR17-I-2-18414,Osmania University,Hyderabad,Telangana,11.16,36,45.52,2017,23
IR17-I-1-30713,"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,3.83,83,44.99,2017,24
IR17-I-2-18261,Institute of Chemical Technology,Mumbai,Maharashtra,20.69,16,44.95,2017,25
IR17-I-2-17784,Jamia Hamdard,New Delhi,Delhi,1.87,110,44.84,2017,26
IR17-I-2-30702,Gauhati University,Guwahati,Assam,2.48,102,44.42,2017,27
IR17-I-2-18567,Bharathiar University,Coimbatore,Tamil Nadu,9.11,45,44.29,2017,28
IR17-I-2-18317,Kerala University,Thiruvananthapuram,Kerala,0.89,132,43.95,2017,29
IR17-I-2-10563,Tezpur University,Tezpur,Assam,7.09,54,43.78,2017,30
IR17-I-1-700,TATA Institute of Social Sciences,Mumbai,Maharashtra,23.31,13,43.71,2017,31
IR17-I-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),Thanjavur,Tamil Nadu,11.10,37,43.50,2017,32
IR17-I-2-1-2814248400,Panjab University,Chandigarh,Chandigarh,18.99,18,43.13,2017,33
IR17-I-2-1-596,S.R.M Institute of Science and Technology,Chennai,Tamil Nadu,10.80,41,43.07,2017,34
IR17-I-1-1-249,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,13.45,31,43.06,2017,35
IR17-I-2-1-457,Mysore University,Mysore,Karnataka,3.44,88,42.83,2017,36
IR17-I-2-18424,Pondicherry University,Puducherry,Pondicherry,4.67,70,42.70,2017,37
IR17-I-2-1-697,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,0.67,144,42.48,2017,38
IR17-I-2-1-661,Sri Ramachandra University,Chennai,Tamil Nadu,8.86,46,42.46,2017,39
IR17-I-2-18276,Anand Agricultural University,Anand,Gujarat,2.75,100,42.26,2017,40
IR17-I-2-18341,University of Madras,Chennai,Tamil Nadu,10.82,40,41.85,2017,41
IR17-I-2-1-668,Sri Venkateswara University,Tirupati,Andhra Pradesh,1.94,108,41.48,2017,42
IR17-I-2-1-31,Andhra University,Visakhapatnam,Andhra Pradesh,20.72,15,41.38,2017,43
IR17-I-2-18472,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,11.08,38,41.30,2017,44
IR17-I-2-1-299,Jagadguru Sri Shivarathreeshwara University,Mysore,Karnataka,14.99,25,41.18,2017,45
IR17-I-2-1-2813959492,Thapar University,Patiala,Punjab,13.17,32,40.78,2017,46
IR17-I-2-30671,Dr. D. Y. Patil Vidyapeeth Pune,Pune,Maharashtra,11.61,33,40.59,2017,47
IR17-I-2-18409,North Eastern Hill University,Shillong,Meghalaya,3.24,93,40.51,2017,48
IR17-I-2-1-336,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,20.95,14,40.47,2017,49
IR17-I-2-18214,Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,0.59,157,40.10,2017,50
IR17-I-2-1-178,Dr. Y.S.Parmar University of Horticulture & Forestry,Solan,Himachal Pradesh,0.64,150,39.54,2017,51
IR17-I-2-18259,AMITY University,Gautam Budh Nagar,Uttar Pradesh,18.06,19,39.17,2017,52
IR17-I-2-18508,Banasthali Vidyapith,Banasthali,Rajasthan,7.46,52,38.74,2017,53
IR17-I-2-18580,Bharati Vidyapeeth,Pune,Maharashtra,30.64,8,38.73,2017,54
IR17-I-2-18474,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,5.81,62,38.68,2017,55
IR17-I-2-1-33,Annamalai University,Annamalainagar,Tamil Nadu,3.67,85,38.59,2017,56
IR17-I-2-18607,Calicut University,Calicut,Kerala,4.74,68,38.45,2017,57
IR17-I-2-1-448,Mizoram University,Aizwal,Mizoram,0.03,214,38.36,2017,58
IR17-I-2-1-373,Kurukshetra University,Kurushetra,Haryana,2.33,106,38.26,2017,59
IR17-I-2-10933,Shiv Nadar University,Chithera,Uttar Pradesh,5.24,66,37.95,2017,60
IR17-I-2-21078,Symbiosis International University,Pune,Maharashtra,14.31,28,37.67,2017,61
IR17-I-2-1-N002,KLE Academy of Higher Education and Research,Belagavi,Karnataka,0.69,141,37.25,2017,62
IR17-I-2-1-2809340824,University of Jammu,Jammu Tawi,Jammu And Kashmir,0.59,157,37.23,2017,63
IR17-I-2-18200,Goa University-Goa,Goa,Goa,5.09,67,37.16,2017,64
IR17-I-2-1-11112,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,Chennai,Tamil Nadu,14.69,26,37.13,2017,65
IR17-I-2-18305,Kalyani University,Kalyani,West Bengal,0.02,223,36.84,2017,66
IR17-I-2-18356,Mahatma Gandhi Unversity,Kottayam,Kerala,2.43,103,36.79,2017,67
IR17-I-2-18446,Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan,0.60,155,36.78,2017,68
IR17-I-2-1-663,Sri Sathya Sai Institute of Higher Learning,Anantapur,Andhra Pradesh,0.94,130,36.75,2017,69
IR17-I-2-1-445,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,0.09,185,36.47,2017,70
IR17-I-2-18312,Karunya Institute of Technology and Sciences-Coimbatore,Coimbatore,Tamil Nadu,7.82,50,36.44,2017,71
IR17-I-2-1-2812766280,Dayalbagh Educational Institute,Agra,Uttar Pradesh,15.65,22,36.36,2017,72
IR17-I-2-1-351,University of Kashmir,Srinagar,Jammu And Kashmir,0.10,184,36.32,2017,73
IR17-I-2-1-159,Dibrugarh University,Dibrugarh,Assam,0.68,143,36.28,2017,74
IR17-I-2-18406,Nirma University,Ahmedabad,Gujarat,14.37,27,36.21,2017,75
IR17-I-2-18449,Rajiv Gandhi University,Rono Hills,Arunachal Pradesh,0.57,160,36.15,2017,76
IR17-I-2-18342,Madurai Kamraj University,Madurai,Tamil Nadu,3.33,92,36.04,2017,77
IR17-I-2-1-670,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,0.05,202,35.92,2017,78
